mouse_ID	drosophila_ID	orthotype	OMAgroup
ENSMUSG00000099517.2	FBgn0053842	n:m	
ENSMUSG00000099517.2	FBgn0053845	n:m	
ENSMUSG00000099517.2	FBgn0053848	n:m	
ENSMUSG00000099517.2	FBgn0053851	n:m	
ENSMUSG00000099517.2	FBgn0053854	n:m	
ENSMUSG00000099517.2	FBgn0053857	n:m	
ENSMUSG00000099517.2	FBgn0053860	n:m	
ENSMUSG00000099517.2	FBgn0053863	n:m	
ENSMUSG00000099517.2	FBgn0053866	n:m	
ENSMUSG00000100210.2	FBgn0053803	n:m	497237
ENSMUSG00000100210.2	FBgn0051613	n:m	
ENSMUSG00000100210.2	FBgn0053806	n:m	
ENSMUSG00000100210.2	FBgn0053809	n:m	
ENSMUSG00000100210.2	FBgn0053812	n:m	
ENSMUSG00000100210.2	FBgn0053815	n:m	
ENSMUSG00000100210.2	FBgn0053818	n:m	
ENSMUSG00000100210.2	FBgn0053821	n:m	
ENSMUSG00000100210.2	FBgn0053824	n:m	
ENSMUSG00000100210.2	FBgn0053827	n:m	
ENSMUSG00000100210.2	FBgn0053830	n:m	
ENSMUSG00000100210.2	FBgn0053833	n:m	
ENSMUSG00000100210.2	FBgn0053836	n:m	
ENSMUSG00000100210.2	FBgn0053839	n:m	
ENSMUSG00000100210.2	FBgn0053842	n:m	
ENSMUSG00000100210.2	FBgn0053845	n:m	
ENSMUSG00000100210.2	FBgn0053848	n:m	
ENSMUSG00000100210.2	FBgn0053851	n:m	
ENSMUSG00000100210.2	FBgn0053854	n:m	
ENSMUSG00000100210.2	FBgn0053857	n:m	
ENSMUSG00000100210.2	FBgn0053860	n:m	
ENSMUSG00000100210.2	FBgn0053863	n:m	
ENSMUSG00000100210.2	FBgn0053866	n:m	
ENSMUSG00000069274.3	FBgn0053909	n:m	
ENSMUSG00000069274.3	FBgn0051611	n:m	
ENSMUSG00000069274.3	FBgn0053907	n:m	
ENSMUSG00000069274.3	FBgn0053905	n:m	
ENSMUSG00000069274.3	FBgn0053903	n:m	
ENSMUSG00000069274.3	FBgn0053901	n:m	
ENSMUSG00000069274.3	FBgn0053899	n:m	681434
ENSMUSG00000069274.3	FBgn0053897	n:m	
ENSMUSG00000069274.3	FBgn0053895	n:m	
ENSMUSG00000069274.3	FBgn0053893	n:m	
ENSMUSG00000069274.3	FBgn0053891	n:m	
ENSMUSG00000069274.3	FBgn0053889	n:m	
ENSMUSG00000069274.3	FBgn0053887	n:m	
ENSMUSG00000069274.3	FBgn0053885	n:m	
ENSMUSG00000069274.3	FBgn0053883	n:m	
ENSMUSG00000069274.3	FBgn0053881	n:m	
ENSMUSG00000069274.3	FBgn0053879	n:m	
ENSMUSG00000069274.3	FBgn0053877	n:m	
ENSMUSG00000069274.3	FBgn0053875	n:m	
ENSMUSG00000069274.3	FBgn0053873	n:m	
ENSMUSG00000069274.3	FBgn0053871	n:m	
ENSMUSG00000069274.3	FBgn0053869	n:m	
ENSMUSG00000069274.3	FBgn0013981	n:m	
ENSMUSG00000069273.2	FBgn0053803	n:m	
ENSMUSG00000069273.2	FBgn0051613	n:m	497238
ENSMUSG00000069273.2	FBgn0053806	n:m	
ENSMUSG00000069273.2	FBgn0053809	n:m	
ENSMUSG00000069273.2	FBgn0053812	n:m	
ENSMUSG00000069273.2	FBgn0053815	n:m	
ENSMUSG00000069273.2	FBgn0053818	n:m	
ENSMUSG00000069273.2	FBgn0053821	n:m	
ENSMUSG00000069273.2	FBgn0053824	n:m	
ENSMUSG00000069273.2	FBgn0053827	n:m	
ENSMUSG00000069273.2	FBgn0053830	n:m	
ENSMUSG00000069273.2	FBgn0053833	n:m	
ENSMUSG00000069273.2	FBgn0053836	n:m	
ENSMUSG00000069273.2	FBgn0053839	n:m	
ENSMUSG00000069273.2	FBgn0053842	n:m	
ENSMUSG00000069273.2	FBgn0053845	n:m	
ENSMUSG00000069273.2	FBgn0053848	n:m	
ENSMUSG00000069273.2	FBgn0053851	n:m	
ENSMUSG00000069273.2	FBgn0053854	n:m	
ENSMUSG00000069273.2	FBgn0053857	n:m	
ENSMUSG00000069273.2	FBgn0053860	n:m	
ENSMUSG00000069273.2	FBgn0053863	n:m	
ENSMUSG00000069273.2	FBgn0053866	n:m	
ENSMUSG00000099583.2	FBgn0053803	n:m	
ENSMUSG00000099583.2	FBgn0051613	n:m	
ENSMUSG00000099583.2	FBgn0053806	n:m	497239
ENSMUSG00000099583.2	FBgn0053809	n:m	
ENSMUSG00000099583.2	FBgn0053812	n:m	
ENSMUSG00000099583.2	FBgn0053815	n:m	
ENSMUSG00000099583.2	FBgn0053818	n:m	
ENSMUSG00000099583.2	FBgn0053821	n:m	
ENSMUSG00000099583.2	FBgn0053824	n:m	
ENSMUSG00000099583.2	FBgn0053827	n:m	
ENSMUSG00000099583.2	FBgn0053830	n:m	
ENSMUSG00000099583.2	FBgn0053833	n:m	
ENSMUSG00000099583.2	FBgn0053836	n:m	
ENSMUSG00000099583.2	FBgn0053839	n:m	
ENSMUSG00000099583.2	FBgn0053842	n:m	
ENSMUSG00000099583.2	FBgn0053845	n:m	
ENSMUSG00000099583.2	FBgn0053848	n:m	
ENSMUSG00000099583.2	FBgn0053851	n:m	
ENSMUSG00000099583.2	FBgn0053854	n:m	
ENSMUSG00000099583.2	FBgn0053857	n:m	
ENSMUSG00000099583.2	FBgn0053860	n:m	
ENSMUSG00000099583.2	FBgn0053863	n:m	
ENSMUSG00000099583.2	FBgn0053866	n:m	
ENSMUSG00000061482.7	FBgn0053909	n:m	
ENSMUSG00000061482.7	FBgn0051611	n:m	
ENSMUSG00000061482.7	FBgn0053907	n:m	
ENSMUSG00000061482.7	FBgn0053905	n:m	
ENSMUSG00000061482.7	FBgn0053903	n:m	
ENSMUSG00000061482.7	FBgn0053901	n:m	
ENSMUSG00000061482.7	FBgn0053899	n:m	
ENSMUSG00000061482.7	FBgn0053897	n:m	681436
ENSMUSG00000061482.7	FBgn0053895	n:m	
ENSMUSG00000061482.7	FBgn0053893	n:m	
ENSMUSG00000061482.7	FBgn0053891	n:m	
ENSMUSG00000061482.7	FBgn0053889	n:m	
ENSMUSG00000061482.7	FBgn0053887	n:m	
ENSMUSG00000061482.7	FBgn0053885	n:m	
ENSMUSG00000061482.7	FBgn0053883	n:m	
ENSMUSG00000061482.7	FBgn0053881	n:m	
ENSMUSG00000061482.7	FBgn0053879	n:m	
ENSMUSG00000061482.7	FBgn0053877	n:m	
ENSMUSG00000061482.7	FBgn0053875	n:m	
ENSMUSG00000061482.7	FBgn0053873	n:m	
ENSMUSG00000061482.7	FBgn0053871	n:m	
ENSMUSG00000061482.7	FBgn0053869	n:m	
ENSMUSG00000061482.7	FBgn0013981	n:m	
ENSMUSG00000060678.5	FBgn0053909	n:m	
ENSMUSG00000060678.5	FBgn0051611	n:m	
ENSMUSG00000060678.5	FBgn0053907	n:m	
ENSMUSG00000060678.5	FBgn0053905	n:m	
ENSMUSG00000060678.5	FBgn0053903	n:m	
ENSMUSG00000060678.5	FBgn0053901	n:m	
ENSMUSG00000060678.5	FBgn0053899	n:m	
ENSMUSG00000060678.5	FBgn0053897	n:m	
ENSMUSG00000060678.5	FBgn0053895	n:m	
ENSMUSG00000060678.5	FBgn0053893	n:m	681438
ENSMUSG00000060678.5	FBgn0053891	n:m	
ENSMUSG00000060678.5	FBgn0053889	n:m	
ENSMUSG00000060678.5	FBgn0053887	n:m	
ENSMUSG00000060678.5	FBgn0053885	n:m	
ENSMUSG00000060678.5	FBgn0053883	n:m	
ENSMUSG00000060678.5	FBgn0053881	n:m	
ENSMUSG00000060678.5	FBgn0053879	n:m	
ENSMUSG00000060678.5	FBgn0053877	n:m	
ENSMUSG00000060678.5	FBgn0053875	n:m	
ENSMUSG00000060678.5	FBgn0053873	n:m	
ENSMUSG00000060678.5	FBgn0053871	n:m	
ENSMUSG00000060678.5	FBgn0053869	n:m	
ENSMUSG00000060678.5	FBgn0013981	n:m	
ENSMUSG00000069310.4	FBgn0053803	n:m	
ENSMUSG00000069310.4	FBgn0051613	n:m	
ENSMUSG00000069310.4	FBgn0053806	n:m	
ENSMUSG00000069310.4	FBgn0053809	n:m	497240
ENSMUSG00000069310.4	FBgn0053812	n:m	
ENSMUSG00000069310.4	FBgn0053815	n:m	
ENSMUSG00000069310.4	FBgn0053818	n:m	
ENSMUSG00000069310.4	FBgn0053821	n:m	
ENSMUSG00000069310.4	FBgn0053824	n:m	
ENSMUSG00000069310.4	FBgn0053827	n:m	
ENSMUSG00000069310.4	FBgn0053830	n:m	
ENSMUSG00000069310.4	FBgn0053833	n:m	
ENSMUSG00000069310.4	FBgn0053836	n:m	
ENSMUSG00000069310.4	FBgn0053839	n:m	
ENSMUSG00000069310.4	FBgn0053842	n:m	
ENSMUSG00000069310.4	FBgn0053845	n:m	
ENSMUSG00000069310.4	FBgn0053848	n:m	
ENSMUSG00000069310.4	FBgn0053851	n:m	
ENSMUSG00000069310.4	FBgn0053854	n:m	
ENSMUSG00000069310.4	FBgn0053857	n:m	
ENSMUSG00000069310.4	FBgn0053860	n:m	
ENSMUSG00000069310.4	FBgn0053863	n:m	
ENSMUSG00000069310.4	FBgn0053866	n:m	
ENSMUSG00000069267.2	FBgn0053803	n:m	
ENSMUSG00000069267.2	FBgn0051613	n:m	
ENSMUSG00000069267.2	FBgn0053806	n:m	
ENSMUSG00000069267.2	FBgn0053809	n:m	
ENSMUSG00000069267.2	FBgn0053812	n:m	497242
ENSMUSG00000069267.2	FBgn0053815	n:m	
ENSMUSG00000069267.2	FBgn0053818	n:m	
ENSMUSG00000069267.2	FBgn0053821	n:m	
ENSMUSG00000069267.2	FBgn0053824	n:m	
ENSMUSG00000069267.2	FBgn0053827	n:m	
ENSMUSG00000069267.2	FBgn0053830	n:m	
ENSMUSG00000069267.2	FBgn0053833	n:m	
ENSMUSG00000069267.2	FBgn0053836	n:m	
ENSMUSG00000069267.2	FBgn0053839	n:m	
ENSMUSG00000069267.2	FBgn0053842	n:m	
ENSMUSG00000069267.2	FBgn0053845	n:m	
ENSMUSG00000069267.2	FBgn0053848	n:m	
ENSMUSG00000069267.2	FBgn0053851	n:m	
ENSMUSG00000069267.2	FBgn0053854	n:m	
ENSMUSG00000069267.2	FBgn0053857	n:m	
ENSMUSG00000069267.2	FBgn0053860	n:m	
ENSMUSG00000069267.2	FBgn0053863	n:m	
ENSMUSG00000069267.2	FBgn0053866	n:m	
ENSMUSG00000069266.5	FBgn0053909	n:m	
ENSMUSG00000069266.5	FBgn0051611	n:m	
ENSMUSG00000069266.5	FBgn0053907	n:m	
ENSMUSG00000069266.5	FBgn0053905	n:m	
ENSMUSG00000069266.5	FBgn0053903	n:m	
ENSMUSG00000069266.5	FBgn0053901	n:m	
ENSMUSG00000069266.5	FBgn0053899	n:m	
ENSMUSG00000069266.5	FBgn0053897	n:m	
ENSMUSG00000069266.5	FBgn0053895	n:m	
ENSMUSG00000069266.5	FBgn0053893	n:m	
ENSMUSG00000069266.5	FBgn0053891	n:m	
ENSMUSG00000069266.5	FBgn0053889	n:m	
ENSMUSG00000069266.5	FBgn0053887	n:m	
ENSMUSG00000069266.5	FBgn0053885	n:m	
ENSMUSG00000069266.5	FBgn0053883	n:m	
ENSMUSG00000069266.5	FBgn0053881	n:m	
ENSMUSG00000069266.5	FBgn0053879	n:m	
ENSMUSG00000069266.5	FBgn0053877	n:m	
ENSMUSG00000069266.5	FBgn0053875	n:m	
ENSMUSG00000069266.5	FBgn0053873	n:m	
ENSMUSG00000069266.5	FBgn0053871	n:m	
ENSMUSG00000069266.5	FBgn0053869	n:m	
ENSMUSG00000069266.5	FBgn0013981	n:m	
ENSMUSG00000060093.6	FBgn0053909	n:m	
ENSMUSG00000060093.6	FBgn0051611	n:m	
ENSMUSG00000060093.6	FBgn0053907	n:m	
ENSMUSG00000060093.6	FBgn0053905	n:m	
ENSMUSG00000060093.6	FBgn0053903	n:m	
ENSMUSG00000060093.6	FBgn0053901	n:m	
ENSMUSG00000060093.6	FBgn0053899	n:m	
ENSMUSG00000060093.6	FBgn0053897	n:m	
ENSMUSG00000060093.6	FBgn0053895	n:m	
ENSMUSG00000060093.6	FBgn0053893	n:m	
ENSMUSG00000060093.6	FBgn0053891	n:m	681439
ENSMUSG00000060093.6	FBgn0053889	n:m	
ENSMUSG00000060093.6	FBgn0053887	n:m	
ENSMUSG00000060093.6	FBgn0053885	n:m	
ENSMUSG00000060093.6	FBgn0053883	n:m	
ENSMUSG00000060093.6	FBgn0053881	n:m	
ENSMUSG00000060093.6	FBgn0053879	n:m	
ENSMUSG00000060093.6	FBgn0053877	n:m	
ENSMUSG00000060093.6	FBgn0053875	n:m	
ENSMUSG00000060093.6	FBgn0053873	n:m	
ENSMUSG00000060093.6	FBgn0053871	n:m	
ENSMUSG00000060093.6	FBgn0053869	n:m	
ENSMUSG00000060093.6	FBgn0013981	n:m	
ENSMUSG00000069265.2	FBgn0053803	n:m	
ENSMUSG00000069265.2	FBgn0051613	n:m	
ENSMUSG00000069265.2	FBgn0053806	n:m	
ENSMUSG00000069265.2	FBgn0053809	n:m	
ENSMUSG00000069265.2	FBgn0053812	n:m	
ENSMUSG00000069265.2	FBgn0053815	n:m	
ENSMUSG00000069265.2	FBgn0053818	n:m	
ENSMUSG00000069265.2	FBgn0053821	n:m	
ENSMUSG00000069265.2	FBgn0053824	n:m	497251
ENSMUSG00000069265.2	FBgn0053827	n:m	
ENSMUSG00000069265.2	FBgn0053830	n:m	
ENSMUSG00000069265.2	FBgn0053833	n:m	
ENSMUSG00000069265.2	FBgn0053836	n:m	
ENSMUSG00000069265.2	FBgn0053839	n:m	
ENSMUSG00000069265.2	FBgn0053842	n:m	
ENSMUSG00000069265.2	FBgn0053845	n:m	
ENSMUSG00000069265.2	FBgn0053848	n:m	
ENSMUSG00000069265.2	FBgn0053851	n:m	
ENSMUSG00000069265.2	FBgn0053854	n:m	
ENSMUSG00000069265.2	FBgn0053857	n:m	
ENSMUSG00000069265.2	FBgn0053860	n:m	
ENSMUSG00000069265.2	FBgn0053863	n:m	
ENSMUSG00000069265.2	FBgn0053866	n:m	
ENSMUSG00000036110.14	FBgn0033234	1:1	547540
ENSMUSG00000036083.15	FBgn0058263	n:m	
ENSMUSG00000036083.15	FBgn0033048	n:m	551739
ENSMUSG00000036083.15	FBgn0034783	n:m	
ENSMUSG00000036083.15	FBgn0034785	n:m	
ENSMUSG00000036083.15	FBgn0039886	n:m	
ENSMUSG00000021335.13	FBgn0058263	n:m	
ENSMUSG00000021335.13	FBgn0033048	n:m	
ENSMUSG00000021335.13	FBgn0034783	n:m	
ENSMUSG00000021335.13	FBgn0034785	n:m	
ENSMUSG00000021335.13	FBgn0039886	n:m	
ENSMUSG00000021336.17	FBgn0058263	n:m	
ENSMUSG00000021336.17	FBgn0033048	n:m	
ENSMUSG00000021336.17	FBgn0034783	n:m	
ENSMUSG00000021336.17	FBgn0034785	n:m	
ENSMUSG00000021336.17	FBgn0039886	n:m	
ENSMUSG00000050799.3	FBgn0053910	1:m	
ENSMUSG00000050799.3	FBgn0061209	1:m	
ENSMUSG00000050799.3	FBgn0053908	1:m	
ENSMUSG00000050799.3	FBgn0053906	1:m	
ENSMUSG00000050799.3	FBgn0053904	1:m	
ENSMUSG00000050799.3	FBgn0053902	1:m	
ENSMUSG00000050799.3	FBgn0053900	1:m	
ENSMUSG00000050799.3	FBgn0053898	1:m	
ENSMUSG00000050799.3	FBgn0053896	1:m	
ENSMUSG00000050799.3	FBgn0053894	1:m	
ENSMUSG00000050799.3	FBgn0053892	1:m	
ENSMUSG00000050799.3	FBgn0053890	1:m	
ENSMUSG00000050799.3	FBgn0053888	1:m	
ENSMUSG00000050799.3	FBgn0053886	1:m	
ENSMUSG00000050799.3	FBgn0053884	1:m	
ENSMUSG00000050799.3	FBgn0053882	1:m	
ENSMUSG00000050799.3	FBgn0053880	1:m	801591
ENSMUSG00000050799.3	FBgn0053878	1:m	
ENSMUSG00000050799.3	FBgn0053876	1:m	
ENSMUSG00000050799.3	FBgn0053874	1:m	
ENSMUSG00000050799.3	FBgn0053872	1:m	
ENSMUSG00000050799.3	FBgn0053870	1:m	
ENSMUSG00000050799.3	FBgn0053868	1:m	
ENSMUSG00000060081.1	FBgn0051618	n:m	
ENSMUSG00000060081.1	FBgn0053808	n:m	
ENSMUSG00000060081.1	FBgn0053814	n:m	
ENSMUSG00000060081.1	FBgn0053817	n:m	
ENSMUSG00000060081.1	FBgn0053820	n:m	
ENSMUSG00000060081.1	FBgn0053823	n:m	
ENSMUSG00000060081.1	FBgn0053826	n:m	
ENSMUSG00000060081.1	FBgn0053829	n:m	
ENSMUSG00000060081.1	FBgn0053832	n:m	862353
ENSMUSG00000060081.1	FBgn0053835	n:m	
ENSMUSG00000060081.1	FBgn0053838	n:m	
ENSMUSG00000060081.1	FBgn0053841	n:m	
ENSMUSG00000060081.1	FBgn0053844	n:m	
ENSMUSG00000060081.1	FBgn0053847	n:m	
ENSMUSG00000060081.1	FBgn0053850	n:m	
ENSMUSG00000060081.1	FBgn0053853	n:m	
ENSMUSG00000060081.1	FBgn0053856	n:m	
ENSMUSG00000060081.1	FBgn0053859	n:m	
ENSMUSG00000060081.1	FBgn0053862	n:m	
ENSMUSG00000060081.1	FBgn0053865	n:m	
ENSMUSG00000021338.17	FBgn0033212	1:1	549279
ENSMUSG00000006717.7	FBgn0035355	1:m	794265
ENSMUSG00000006717.7	FBgn0035356	1:m	
ENSMUSG00000006711.15	FBgn0035833	n:1	831371
ENSMUSG00000035936.6	FBgn0039349	1:1	661720
ENSMUSG00000113061.1	FBgn0010411	n:1	
ENSMUSG00000006191.17	FBgn0034214	1:1	866023
ENSMUSG00000016477.18	FBgn0024371	n:1	
ENSMUSG00000038732.15	FBgn0033476	n:1	525803
ENSMUSG00000038462.3	FBgn0021906	1:1	694645
ENSMUSG00000021357.14	FBgn0266670	1:1	785934
ENSMUSG00000076430.1	FBgn0026417	n:1	
ENSMUSG00000038372.14	FBgn0031661	1:1	546860
ENSMUSG00000044734.16	FBgn0051902	n:m	
ENSMUSG00000044734.16	FBgn0265137	n:m	
ENSMUSG00000044734.16	FBgn0033112	n:m	
ENSMUSG00000044734.16	FBgn0033113	n:m	
ENSMUSG00000044734.16	FBgn0028988	n:m	
ENSMUSG00000044734.16	FBgn0024294	n:m	
ENSMUSG00000044734.16	FBgn0028983	n:m	
ENSMUSG00000045827.10	FBgn0051902	n:m	
ENSMUSG00000045827.10	FBgn0265137	n:m	
ENSMUSG00000045827.10	FBgn0033112	n:m	
ENSMUSG00000045827.10	FBgn0033113	n:m	
ENSMUSG00000045827.10	FBgn0028988	n:m	
ENSMUSG00000045827.10	FBgn0024294	n:m	
ENSMUSG00000045827.10	FBgn0028983	n:m	
ENSMUSG00000051029.8	FBgn0051902	n:m	
ENSMUSG00000051029.8	FBgn0265137	n:m	
ENSMUSG00000051029.8	FBgn0033112	n:m	
ENSMUSG00000051029.8	FBgn0033113	n:m	
ENSMUSG00000051029.8	FBgn0028988	n:m	
ENSMUSG00000051029.8	FBgn0024294	n:m	
ENSMUSG00000051029.8	FBgn0028983	n:m	
ENSMUSG00000054266.2	FBgn0051902	n:m	
ENSMUSG00000054266.2	FBgn0265137	n:m	
ENSMUSG00000054266.2	FBgn0033112	n:m	
ENSMUSG00000054266.2	FBgn0033113	n:m	847725
ENSMUSG00000054266.2	FBgn0028988	n:m	
ENSMUSG00000054266.2	FBgn0024294	n:m	
ENSMUSG00000054266.2	FBgn0028983	n:m	
ENSMUSG00000038327.8	FBgn0051902	n:m	
ENSMUSG00000038327.8	FBgn0265137	n:m	
ENSMUSG00000038327.8	FBgn0033112	n:m	
ENSMUSG00000038327.8	FBgn0033113	n:m	
ENSMUSG00000038327.8	FBgn0028988	n:m	
ENSMUSG00000038327.8	FBgn0024294	n:m	
ENSMUSG00000038327.8	FBgn0028983	n:m	
ENSMUSG00000071452.4	FBgn0051902	n:m	
ENSMUSG00000071452.4	FBgn0265137	n:m	
ENSMUSG00000071452.4	FBgn0033112	n:m	
ENSMUSG00000071452.4	FBgn0033113	n:m	
ENSMUSG00000071452.4	FBgn0028988	n:m	
ENSMUSG00000071452.4	FBgn0024294	n:m	
ENSMUSG00000071452.4	FBgn0028983	n:m	
ENSMUSG00000057726.3	FBgn0051902	n:m	
ENSMUSG00000057726.3	FBgn0265137	n:m	
ENSMUSG00000057726.3	FBgn0033112	n:m	
ENSMUSG00000057726.3	FBgn0033113	n:m	
ENSMUSG00000057726.3	FBgn0028988	n:m	
ENSMUSG00000057726.3	FBgn0024294	n:m	
ENSMUSG00000057726.3	FBgn0028983	n:m	
ENSMUSG00000069248.11	FBgn0051902	n:m	
ENSMUSG00000069248.11	FBgn0265137	n:m	
ENSMUSG00000069248.11	FBgn0033112	n:m	
ENSMUSG00000069248.11	FBgn0033113	n:m	
ENSMUSG00000069248.11	FBgn0028988	n:m	
ENSMUSG00000069248.11	FBgn0024294	n:m	
ENSMUSG00000069248.11	FBgn0028983	n:m	847712
ENSMUSG00000052180.15	FBgn0051902	n:m	
ENSMUSG00000052180.15	FBgn0265137	n:m	
ENSMUSG00000052180.15	FBgn0033112	n:m	
ENSMUSG00000052180.15	FBgn0033113	n:m	
ENSMUSG00000052180.15	FBgn0028988	n:m	
ENSMUSG00000052180.15	FBgn0024294	n:m	
ENSMUSG00000052180.15	FBgn0028983	n:m	
ENSMUSG00000060147.15	FBgn0051902	n:m	
ENSMUSG00000060147.15	FBgn0265137	n:m	
ENSMUSG00000060147.15	FBgn0033112	n:m	
ENSMUSG00000060147.15	FBgn0033113	n:m	
ENSMUSG00000060147.15	FBgn0028988	n:m	
ENSMUSG00000060147.15	FBgn0024294	n:m	
ENSMUSG00000060147.15	FBgn0028983	n:m	
ENSMUSG00000038286.11	FBgn0038974	1:1	547507
ENSMUSG00000058672.7	FBgn0003889	n:1	
ENSMUSG00000045136.6	FBgn0003889	n:1	696185
ENSMUSG00000038246.7	FBgn0039557	n:1	
ENSMUSG00000021413.9	FBgn0037093	1:1	
ENSMUSG00000021416.11	FBgn0035169	n:1	
ENSMUSG00000021417.15	FBgn0035169	n:1	547066
ENSMUSG00000046573.7	FBgn0013432	1:1	530802
ENSMUSG00000021420.13	FBgn0020766	1:1	859625
ENSMUSG00000039087.17	FBgn0003053	1:1	
ENSMUSG00000021427.10	FBgn0028327	1:1	696493
ENSMUSG00000021428.9	FBgn0036187	1:1	547152
ENSMUSG00000039004.6	FBgn0024234	n:1	830951
ENSMUSG00000038991.17	FBgn0030329	1:1	780368
ENSMUSG00000001707.8	FBgn0050185	1:1	
ENSMUSG00000021432.15	FBgn0036695	1:1	665212
ENSMUSG00000038683.16	FBgn0030629	1:m	
ENSMUSG00000038683.16	FBgn0030630	1:m	848224
ENSMUSG00000021361.7	FBgn0034902	1:1	527774
ENSMUSG00000021365.15	FBgn0035101	n:1	
ENSMUSG00000087370.3	FBgn0033550	n:1	
ENSMUSG00000021368.15	FBgn0039158	1:1	833504
ENSMUSG00000051335.6	FBgn0027597	n:1	
ENSMUSG00000038546.9	FBgn0262114	n:1	516374
ENSMUSG00000038175.10	FBgn0260866	1:1	844619
ENSMUSG00000021374.10	FBgn0061200	1:1	548574
ENSMUSG00000021375.10	FBgn0019968	1:1	548406
ENSMUSG00000037966.15	FBgn0038079	n:1	
ENSMUSG00000037933.16	FBgn0000183	n:1	
ENSMUSG00000113255.1	FBgn0036510	n:1	840561
ENSMUSG00000037851.13	FBgn0027086	1:1	490198
ENSMUSG00000021448.7	FBgn0015296	n:1	
ENSMUSG00000062248.5	FBgn0010314	n:m	
ENSMUSG00000062248.5	FBgn0037613	n:m	846366
ENSMUSG00000047842.7	FBgn0037754	1:1	522182
ENSMUSG00000021460.16	FBgn0033761	1:1	547175
ENSMUSG00000021464.14	FBgn0010407	n:1	
ENSMUSG00000021468.8	FBgn0086532	1:1	805414
ENSMUSG00000021474.9	FBgn0037239	n:1	862627
ENSMUSG00000025872.5	FBgn0037569	1:1	640875
ENSMUSG00000025869.11	FBgn0039868	1:1	826015
ENSMUSG00000047547.14	FBgn0024814	n:1	843275
ENSMUSG00000025873.16	FBgn0025608	1:1	716164
ENSMUSG00000074895.10	FBgn0035709	n:m	
ENSMUSG00000074895.10	FBgn0035823	n:m	841557
ENSMUSG00000074895.10	FBgn0265089	n:m	
ENSMUSG00000074895.10	FBgn0015218	n:m	
ENSMUSG00000025875.14	FBgn0031760	n:1	641209
ENSMUSG00000025876.15	FBgn0034013	n:1	
ENSMUSG00000005320.9	FBgn0010389	1:1	548907
ENSMUSG00000021486.7	FBgn0033413	1:1	750622
ENSMUSG00000021484.8	FBgn0039160	n:1	797357
ENSMUSG00000021494.9	FBgn0015331	1:1	547295
ENSMUSG00000058569.8	FBgn0069242	n:m	
ENSMUSG00000058569.8	FBgn0053105	n:m	498657
ENSMUSG00000021504.14	FBgn0039258	1:1	847305
ENSMUSG00000021500.16	FBgn0030631	1:1	547363
ENSMUSG00000035493.10	FBgn0260745	1:1	
ENSMUSG00000021540.16	FBgn0011648	n:1	
ENSMUSG00000014164.15	FBgn0001301	n:1	
ENSMUSG00000005312.15	FBgn0031057	n:1	
ENSMUSG00000060176.4	FBgn0000352	n:1	550026
ENSMUSG00000021550.6	FBgn0034614	1:1	799839
ENSMUSG00000021555.15	FBgn0034982	1:1	847215
ENSMUSG00000044792.7	FBgn0026666	n:1	546820
ENSMUSG00000042243.10	FBgn0013770	n:1	
ENSMUSG00000114635.1	FBgn0034443	1:1	719448
ENSMUSG00000021440.7	FBgn0032228	n:m	
ENSMUSG00000021440.7	FBgn0033874	n:m	
ENSMUSG00000021440.7	FBgn0037396	n:m	
ENSMUSG00000074870.4	FBgn0032228	n:m	
ENSMUSG00000074870.4	FBgn0033874	n:m	
ENSMUSG00000074870.4	FBgn0037396	n:m	
ENSMUSG00000074867.4	FBgn0037931	n:1	
ENSMUSG00000094942.7	FBgn0038047	n:1	
ENSMUSG00000113450.1	FBgn0264744	n:m	
ENSMUSG00000113450.1	FBgn0031610	n:m	
ENSMUSG00000021456.8	FBgn0032820	n:1	
ENSMUSG00000069805.10	FBgn0032820	n:1	764975
ENSMUSG00000021466.12	FBgn0003892	n:1	801874
ENSMUSG00000033122.14	FBgn0032614	n:m	
ENSMUSG00000033122.14	FBgn0051810	n:m	
ENSMUSG00000033122.14	FBgn0051809	n:m	
ENSMUSG00000033122.14	FBgn0032615	n:m	
ENSMUSG00000021476.9	FBgn0024183	n:1	
ENSMUSG00000021477.9	FBgn0013770	n:1	
ENSMUSG00000021483.8	FBgn0038902	1:1	548697
ENSMUSG00000033063.8	FBgn0013997	n:1	
ENSMUSG00000038212.16	FBgn0035400	n:1	547458
ENSMUSG00000021520.4	FBgn0039576	1:m	
ENSMUSG00000021520.4	FBgn0030733	1:m	805536
ENSMUSG00000021519.11	FBgn0037008	1:1	834798
ENSMUSG00000021518.4	FBgn0037010	1:1	766715
ENSMUSG00000021510.11	FBgn0039329	n:1	
ENSMUSG00000071281.12	FBgn0036294	n:1	
ENSMUSG00000021536.7	FBgn0004852	n:1	501069
ENSMUSG00000021595.18	FBgn0026079	1:1	684103
ENSMUSG00000021598.9	FBgn0036581	1:1	671305
ENSMUSG00000021606.8	FBgn0031684	1:1	516259
ENSMUSG00000021608.15	FBgn0052699	n:1	
ENSMUSG00000021610.8	FBgn0030456	1:1	832833
ENSMUSG00000017756.9	FBgn0261794	n:1	
ENSMUSG00000021569.10	FBgn0051453	1:1	848769
ENSMUSG00000021573.15	FBgn0266417	n:1	
ENSMUSG00000034152.6	FBgn0266671	1:1	742359
ENSMUSG00000021576.6	FBgn0086378	1:1	547854
ENSMUSG00000021577.14	FBgn0261439	1:1	731943
