zebrafish_ID	baboon_ID	orthotype	OMAgroup
ENSDARG00000029064	ENSPANG00000006351	1:1	750651
ENSDARG00000023672	ENSPANG00000004633	1:1	818457
ENSDARG00000004433	ENSPANG00000002013	1:1	551235
ENSDARG00000036155	ENSPANG00000009461	1:1	679242
ENSDARG00000034344	ENSPANG00000007550	1:1	553076
ENSDARG00000052615	ENSPANG00000016641	1:1	307764
ENSDARG00000019572	ENSPANG00000000647	1:1	552146
ENSDARG00000101419	ENSPANG00000023953	1:1	766737
ENSDARG00000052565	ENSPANG00000004634	1:1	497787
ENSDARG00000052567	ENSPANG00000000132	1:1	801478
ENSDARG00000044011	ENSPANG00000012216	1:1	
ENSDARG00000087574	ENSPANG00000024511	1:1	549052
ENSDARG00000090788	ENSPANG00000021991	1:m	
ENSDARG00000090788	ENSPANG00000002303	1:m	548651
ENSDARG00000015759	ENSPANG00000018367	1:1	641203
ENSDARG00000021392	ENSPANG00000015819	1:1	
ENSDARG00000071384	ENSPANG00000004190	1:1	756783
ENSDARG00000052494	ENSPANG00000001381	n:1	851808
ENSDARG00000102824	ENSPANG00000021944	1:1	551819
ENSDARG00000080010	ENSPANG00000023417	1:1	786323
ENSDARG00000076526	ENSPANG00000000639	1:1	547218
ENSDARG00000074535	ENSPANG00000015960	1:1	554893
ENSDARG00000068264	ENSPANG00000025471	1:1	863558
ENSDARG00000057272	ENSPANG00000024558	1:1	810856
ENSDARG00000105434	ENSPANG00000021591	1:1	836863
ENSDARG00000103666	ENSPANG00000016876	1:1	
ENSDARG00000102831	ENSPANG00000013568	1:1	787730
ENSDARG00000104945	ENSPANG00000014009	1:1	802319
ENSDARG00000068582	ENSPANG00000009299	1:1	553805
ENSDARG00000052374	ENSPANG00000012854	1:1	716164
ENSDARG00000052371	ENSPANG00000001916	1:1	813771
ENSDARG00000052368	ENSPANG00000002754	1:1	843275
ENSDARG00000075467	ENSPANG00000025579	1:1	795711
ENSDARG00000026137	ENSPANG00000012839	1:1	862628
ENSDARG00000090309	ENSPANG00000005453	1:1	863186
ENSDARG00000076811	ENSPANG00000010909	n:1	683972
ENSDARG00000077943	ENSPANG00000005282	1:1	843024
ENSDARG00000093006	ENSPANG00000005283	1:1	
ENSDARG00000079854	ENSPANG00000011369	1:1	516207
ENSDARG00000029609	ENSPANG00000005925	1:1	553226
ENSDARG00000075597	ENSPANG00000003558	n:1	
ENSDARG00000030938	ENSPANG00000011407	n:1	843340
ENSDARG00000038870	ENSPANG00000006850	1:1	515583
ENSDARG00000059944	ENSPANG00000010655	1:1	551367
ENSDARG00000052290	ENSPANG00000014740	1:1	522159
ENSDARG00000038858	ENSPANG00000012876	1:1	530499
ENSDARG00000071345	ENSPANG00000012875	1:1	833769
ENSDARG00000052277	ENSPANG00000026467	n:1	
ENSDARG00000011094	ENSPANG00000008601	1:1	752866
ENSDARG00000059911	ENSPANG00000005724	1:1	
ENSDARG00000039963	ENSPANG00000020832	n:1	
ENSDARG00000039964	ENSPANG00000005555	n:1	
ENSDARG00000039966	ENSPANG00000007794	n:1	
ENSDARG00000073999	ENSPANG00000000667	n:1	642560
ENSDARG00000019579	ENSPANG00000020686	1:1	709654
ENSDARG00000040190	ENSPANG00000010254	n:1	508589
ENSDARG00000040198	ENSPANG00000020588	1:1	825480
ENSDARG00000005482	ENSPANG00000019273	1:1	858148
ENSDARG00000038834	ENSPANG00000009234	1:1	646734
ENSDARG00000090071	ENSPANG00000005807	1:1	549999
ENSDARG00000101072	ENSPANG00000016191	n:1	
ENSDARG00000063663	ENSPANG00000017078	1:1	852861
ENSDARG00000087417	ENSPANG00000011232	n:1	
ENSDARG00000019963	ENSPANG00000023643	1:1	862627
ENSDARG00000030224	ENSPANG00000010835	n:1	
ENSDARG00000043359	ENSPANG00000011466	1:1	851655
ENSDARG00000013335	ENSPANG00000013721	1:1	762153
ENSDARG00000060007	ENSPANG00000022950	1:1	552373
ENSDARG00000015653	ENSPANG00000010161	1:1	826324
ENSDARG00000023988	ENSPANG00000020110	1:1	848263
ENSDARG00000099749	ENSPANG00000005002	n:m	550412
ENSDARG00000099749	ENSPANG00000012017	n:m	
ENSDARG00000077736	ENSPANG00000017461	1:1	790934
ENSDARG00000098158	ENSPANG00000003904	n:1	
ENSDARG00000102463	ENSPANG00000013331	1:1	792590
ENSDARG00000104138	ENSPANG00000009845	1:1	790200
ENSDARG00000098783	ENSPANG00000004759	1:1	864214
ENSDARG00000102934	ENSPANG00000017817	1:1	862840
ENSDARG00000104404	ENSPANG00000025297	n:1	
ENSDARG00000098334	ENSPANG00000025570	n:1	
ENSDARG00000104291	ENSPANG00000016847	1:1	756440
ENSDARG00000102317	ENSPANG00000014312	1:m	846145
ENSDARG00000102317	ENSPANG00000012204	1:m	
ENSDARG00000101794	ENSPANG00000011468	1:1	
ENSDARG00000098660	ENSPANG00000025592	1:1	861462
ENSDARG00000101324	ENSPANG00000008368	1:1	
ENSDARG00000102000	ENSPANG00000009232	n:1	
ENSDARG00000099889	ENSPANG00000000175	1:1	824003
ENSDARG00000079795	ENSPANG00000004039	1:1	
ENSDARG00000087814	ENSPANG00000022408	1:1	
ENSDARG00000105271	ENSPANG00000022286	1:1	839017
ENSDARG00000103467	ENSPANG00000010878	1:1	556086
ENSDARG00000040314	ENSPANG00000022188	1:1	844672
ENSDARG00000076839	ENSPANG00000020078	n:1	
ENSDARG00000069968	ENSPANG00000000210	1:1	551922
ENSDARG00000045408	ENSPANG00000002535	1:m	
ENSDARG00000045408	ENSPANG00000003665	1:m	
ENSDARG00000095212	ENSPANG00000026228	n:m	
ENSDARG00000095212	ENSPANG00000009650	n:m	
ENSDARG00000096927	ENSPANG00000026228	n:m	752686
ENSDARG00000096927	ENSPANG00000009650	n:m	
ENSDARG00000009402	ENSPANG00000026228	n:m	
ENSDARG00000009402	ENSPANG00000009650	n:m	
ENSDARG00000108987	ENSPANG00000018242	1:1	557940
ENSDARG00000086897	ENSPANG00000013614	n:m	
ENSDARG00000086897	ENSPANG00000024149	n:m	
ENSDARG00000086897	ENSPANG00000022816	n:m	
ENSDARG00000086897	ENSPANG00000009037	n:m	
ENSDARG00000086897	ENSPANG00000013750	n:m	
ENSDARG00000086897	ENSPANG00000010048	n:m	
ENSDARG00000086897	ENSPANG00000014877	n:m	
ENSDARG00000086897	ENSPANG00000012857	n:m	
ENSDARG00000098032	ENSPANG00000005167	1:1	
ENSDARG00000020548	ENSPANG00000023499	n:m	
ENSDARG00000020548	ENSPANG00000013644	n:m	
ENSDARG00000063621	ENSPANG00000015282	1:1	
ENSDARG00000077497	ENSPANG00000018252	1:1	797428
ENSDARG00000069945	ENSPANG00000019391	1:1	270810
ENSDARG00000069944	ENSPANG00000017830	1:1	774029
ENSDARG00000077301	ENSPANG00000017579	1:1	744901
ENSDARG00000063624	ENSPANG00000016512	1:1	863707
ENSDARG00000043102	ENSPANG00000013296	1:1	309536
ENSDARG00000038879	ENSPANG00000009439	1:1	833248
ENSDARG00000038882	ENSPANG00000011010	1:1	547047
ENSDARG00000079238	ENSPANG00000007299	1:1	515021
ENSDARG00000023190	ENSPANG00000018586	1:1	515829
ENSDARG00000089641	ENSPANG00000019097	n:1	
ENSDARG00000015676	ENSPANG00000006665	1:1	862151
ENSDARG00000091658	ENSPANG00000017115	1:1	754720
ENSDARG00000058960	ENSPANG00000015120	n:1	
ENSDARG00000015968	ENSPANG00000020730	1:1	
ENSDARG00000063596	ENSPANG00000018077	1:1	824157
ENSDARG00000100108	ENSPANG00000016371	1:1	833363
ENSDARG00000059029	ENSPANG00000022977	1:1	829950
ENSDARG00000070019	ENSPANG00000022930	1:1	
ENSDARG00000059035	ENSPANG00000018606	1:1	800882
ENSDARG00000027803	ENSPANG00000004078	1:1	861518
ENSDARG00000075327	ENSPANG00000017581	1:1	685654
ENSDARG00000075713	ENSPANG00000008663	1:1	828844
ENSDARG00000033987	ENSPANG00000013402	1:1	
ENSDARG00000025285	ENSPANG00000019663	1:1	787478
ENSDARG00000057677	ENSPANG00000016562	1:1	810567
ENSDARG00000079659	ENSPANG00000020219	1:1	824499
ENSDARG00000030949	ENSPANG00000023015	1:1	494998
ENSDARG00000090421	ENSPANG00000024962	1:1	848573
ENSDARG00000069888	ENSPANG00000019961	n:m	
ENSDARG00000069888	ENSPANG00000014833	n:m	
ENSDARG00000034313	ENSPANG00000002966	1:1	547139
ENSDARG00000041502	ENSPANG00000010720	n:1	830952
ENSDARG00000023508	ENSPANG00000006474	1:m	549020
ENSDARG00000023508	ENSPANG00000018673	1:m	
ENSDARG00000105014	ENSPANG00000017475	1:1	665578
ENSDARG00000030758	ENSPANG00000006051	n:1	
ENSDARG00000079363	ENSPANG00000004953	1:1	548726
ENSDARG00000010373	ENSPANG00000010610	n:1	270756
ENSDARG00000090687	ENSPANG00000017177	1:1	549143
ENSDARG00000063539	ENSPANG00000002941	n:m	
ENSDARG00000063539	ENSPANG00000000311	n:m	498022
ENSDARG00000099555	ENSPANG00000016677	1:1	267485
ENSDARG00000102890	ENSPANG00000010641	1:1	736962
ENSDARG00000105008	ENSPANG00000018251	1:1	815707
ENSDARG00000103305	ENSPANG00000011807	1:1	
ENSDARG00000100378	ENSPANG00000018681	1:1	835202
ENSDARG00000104834	ENSPANG00000014641	1:1	796226
ENSDARG00000102142	ENSPANG00000004695	1:1	851871
ENSDARG00000104631	ENSPANG00000012016	n:1	
ENSDARG00000062552	ENSPANG00000010821	n:1	270660
ENSDARG00000069867	ENSPANG00000013294	1:1	529679
ENSDARG00000042837	ENSPANG00000016869	n:1	
ENSDARG00000042835	ENSPANG00000005825	1:1	
ENSDARG00000042252	ENSPANG00000007491	1:1	549674
ENSDARG00000069852	ENSPANG00000007954	1:1	849538
ENSDARG00000042823	ENSPANG00000011394	1:1	842368
ENSDARG00000063475	ENSPANG00000018700	1:1	547804
ENSDARG00000014704	ENSPANG00000008343	1:1	815751
ENSDARG00000043241	ENSPANG00000011945	1:1	818437
ENSDARG00000043238	ENSPANG00000008372	1:1	550478
ENSDARG00000060308	ENSPANG00000021964	1:1	742494
ENSDARG00000030604	ENSPANG00000004972	n:1	547590
ENSDARG00000059304	ENSPANG00000011855	1:m	
ENSDARG00000059304	ENSPANG00000015178	1:m	
ENSDARG00000059304	ENSPANG00000009750	1:m	847022
ENSDARG00000059303	ENSPANG00000011867	n:m	804571
ENSDARG00000059303	ENSPANG00000021086	n:m	
ENSDARG00000070038	ENSPANG00000010059	n:1	
ENSDARG00000074747	ENSPANG00000015950	1:1	550184
ENSDARG00000074271	ENSPANG00000024484	1:1	851533
ENSDARG00000021633	ENSPANG00000017092	1:1	
ENSDARG00000087386	ENSPANG00000011222	n:1	811607
ENSDARG00000028118	ENSPANG00000006261	n:1	
ENSDARG00000044781	ENSPANG00000007705	1:1	698886
ENSDARG00000002385	ENSPANG00000019174	1:1	842709
ENSDARG00000100452	ENSPANG00000002964	1:1	495640
ENSDARG00000096597	ENSPANG00000014011	1:1	758949
ENSDARG00000011488	ENSPANG00000019522	1:1	653863
ENSDARG00000002795	ENSPANG00000002238	1:1	850822
ENSDARG00000012915	ENSPANG00000020886	1:1	547177
ENSDARG00000018073	ENSPANG00000021219	1:1	
ENSDARG00000042180	ENSPANG00000005824	n:1	742553
ENSDARG00000075253	ENSPANG00000009667	1:1	515611
ENSDARG00000100227	ENSPANG00000012138	1:1	756782
ENSDARG00000099524	ENSPANG00000012561	1:1	700748
ENSDARG00000062633	ENSPANG00000006775	n:1	
ENSDARG00000062553	ENSPANG00000007661	1:1	
ENSDARG00000055344	ENSPANG00000007641	n:1	708022
ENSDARG00000062577	ENSPANG00000018862	n:1	850684
ENSDARG00000026967	ENSPANG00000007938	1:1	839321
ENSDARG00000012177	ENSPANG00000021029	n:m	
ENSDARG00000012177	ENSPANG00000012031	n:m	522115
ENSDARG00000038278	ENSPANG00000019287	1:1	833975
ENSDARG00000100825	ENSPANG00000015474	n:1	
ENSDARG00000038106	ENSPANG00000016062	1:1	547078
ENSDARG00000027418	ENSPANG00000011893	1:1	263873
ENSDARG00000038107	ENSPANG00000008185	1:1	769009
ENSDARG00000091042	ENSPANG00000018632	1:1	815607
ENSDARG00000105120	ENSPANG00000014350	1:1	839437
ENSDARG00000098441	ENSPANG00000025887	1:1	826484
ENSDARG00000105088	ENSPANG00000004552	1:1	264865
ENSDARG00000037883	ENSPANG00000000426	1:1	
ENSDARG00000037884	ENSPANG00000003974	1:1	522113
ENSDARG00000102115	ENSPANG00000004040	1:1	309572
ENSDARG00000099186	ENSPANG00000024227	1:1	507673
ENSDARG00000100467	ENSPANG00000003944	1:1	815602
ENSDARG00000102902	ENSPANG00000017664	1:1	609490
ENSDARG00000100971	ENSPANG00000004274	1:1	812374
ENSDARG00000099031	ENSPANG00000000441	n:1	766728
ENSDARG00000101713	ENSPANG00000011055	1:1	790143
ENSDARG00000105059	ENSPANG00000007277	n:1	
ENSDARG00000016290	ENSPANG00000002388	n:m	
ENSDARG00000016290	ENSPANG00000002387	n:m	
ENSDARG00000016290	ENSPANG00000004994	n:m	794206
ENSDARG00000098171	ENSPANG00000026228	n:m	
ENSDARG00000098171	ENSPANG00000009650	n:m	752687
ENSDARG00000100941	ENSPANG00000002388	n:m	794203
ENSDARG00000100941	ENSPANG00000002387	n:m	
ENSDARG00000100941	ENSPANG00000004994	n:m	
ENSDARG00000100455	ENSPANG00000014926	1:1	774477
ENSDARG00000099927	ENSPANG00000014112	1:1	856760
ENSDARG00000101949	ENSPANG00000006756	1:1	795917
ENSDARG00000101130	ENSPANG00000006681	1:1	777442
ENSDARG00000099814	ENSPANG00000002640	1:1	799105
ENSDARG00000100919	ENSPANG00000006858	1:1	839560
ENSDARG00000102736	ENSPANG00000009514	1:1	844724
ENSDARG00000103692	ENSPANG00000009047	1:1	540072
ENSDARG00000104172	ENSPANG00000007813	n:1	
ENSDARG00000026448	ENSPANG00000003599	1:1	761056
ENSDARG00000074137	ENSPANG00000017376	1:1	822607
ENSDARG00000071658	ENSPANG00000021645	n:1	
ENSDARG00000042293	ENSPANG00000022142	n:1	638900
ENSDARG00000031299	ENSPANG00000022125	n:1	
ENSDARG00000045628	ENSPANG00000023435	1:1	522151
ENSDARG00000045626	ENSPANG00000023428	1:1	548495
ENSDARG00000003963	ENSPANG00000023415	1:1	716064
ENSDARG00000031562	ENSPANG00000022118	1:1	783074
ENSDARG00000057625	ENSPANG00000003448	1:1	
ENSDARG00000073926	ENSPANG00000022120	1:1	815461
ENSDARG00000006615	ENSPANG00000022102	1:1	813808
ENSDARG00000069790	ENSPANG00000004644	n:m	
ENSDARG00000069790	ENSPANG00000022304	n:m	
ENSDARG00000057691	ENSPANG00000022305	n:1	
ENSDARG00000030945	ENSPANG00000023450	1:1	856040
ENSDARG00000042509	ENSPANG00000024612	1:1	
ENSDARG00000016543	ENSPANG00000024613	n:1	841778
ENSDARG00000033978	ENSPANG00000024614	1:1	844902
ENSDARG00000058079	ENSPANG00000024256	1:1	530040
ENSDARG00000078578	ENSPANG00000023404	1:1	
ENSDARG00000069774	ENSPANG00000023367	n:1	
ENSDARG00000042418	ENSPANG00000019543	1:1	302953
ENSDARG00000062987	ENSPANG00000019053	1:1	782258
ENSDARG00000017261	ENSPANG00000022263	1:1	742789
ENSDARG00000087258	ENSPANG00000022386	n:m	
ENSDARG00000087258	ENSPANG00000022265	n:m	755513
ENSDARG00000062972	ENSPANG00000013801	1:1	864190
ENSDARG00000042332	ENSPANG00000025254	1:1	812111
ENSDARG00000018973	ENSPANG00000024331	1:1	832832
ENSDARG00000069744	ENSPANG00000014449	1:1	548671
ENSDARG00000057805	ENSPANG00000018773	1:1	855923
ENSDARG00000069742	ENSPANG00000007952	1:1	833367
ENSDARG00000090716	ENSPANG00000022267	n:1	
ENSDARG00000012450	ENSPANG00000022270	1:1	833782
ENSDARG00000058219	ENSPANG00000022250	1:1	696195
ENSDARG00000033544	ENSPANG00000004682	1:1	548896
ENSDARG00000058252	ENSPANG00000004946	n:1	
ENSDARG00000058254	ENSPANG00000019123	1:1	
ENSDARG00000104312	ENSPANG00000018867	1:1	805971
ENSDARG00000079378	ENSPANG00000012219	1:1	851522
ENSDARG00000031214	ENSPANG00000004727	n:1	
ENSDARG00000014849	ENSPANG00000020254	1:1	642023
ENSDARG00000087717	ENSPANG00000007319	1:1	825580
ENSDARG00000042677	ENSPANG00000015042	n:1	556551
ENSDARG00000033845	ENSPANG00000001817	n:1	
ENSDARG00000086037	ENSPANG00000006329	n:1	
ENSDARG00000042659	ENSPANG00000014430	1:1	798012
ENSDARG00000042658	ENSPANG00000002732	1:1	832459
ENSDARG00000076639	ENSPANG00000019291	n:1	840524
ENSDARG00000042646	ENSPANG00000004722	n:1	553044
ENSDARG00000037402	ENSPANG00000010374	1:1	
ENSDARG00000063372	ENSPANG00000018975	n:1	
ENSDARG00000058538	ENSPANG00000009915	n:1	554161
ENSDARG00000023814	ENSPANG00000009693	n:1	550698
ENSDARG00000020964	ENSPANG00000003101	1:m	759508
ENSDARG00000020964	ENSPANG00000004011	1:m	
ENSDARG00000017710	ENSPANG00000010571	1:1	812947
ENSDARG00000042724	ENSPANG00000007383	1:1	547071
ENSDARG00000069464	ENSPANG00000002971	n:m	
ENSDARG00000069464	ENSPANG00000004406	n:m	
ENSDARG00000025788	ENSPANG00000009027	1:1	
ENSDARG00000031098	ENSPANG00000010724	1:1	708549
ENSDARG00000041565	ENSPANG00000023530	1:1	853701
ENSDARG00000063307	ENSPANG00000024465	1:1	549734
ENSDARG00000073872	ENSPANG00000013800	1:1	684582
ENSDARG00000074791	ENSPANG00000023617	n:m	
ENSDARG00000074791	ENSPANG00000023619	n:m	
ENSDARG00000028259	ENSPANG00000023617	n:m	
ENSDARG00000028259	ENSPANG00000023619	n:m	
ENSDARG00000097205	ENSPANG00000023620	1:1	547727
ENSDARG00000093199	ENSPANG00000016557	n:m	
ENSDARG00000093199	ENSPANG00000006503	n:m	655844
ENSDARG00000093199	ENSPANG00000006739	n:m	
ENSDARG00000093199	ENSPANG00000025661	n:m	
ENSDARG00000056314	ENSPANG00000016557	n:m	
ENSDARG00000056314	ENSPANG00000006503	n:m	
ENSDARG00000056314	ENSPANG00000006739	n:m	655846
ENSDARG00000056314	ENSPANG00000025661	n:m	
ENSDARG00000041685	ENSPANG00000016557	n:m	
ENSDARG00000041685	ENSPANG00000006503	n:m	
ENSDARG00000041685	ENSPANG00000006739	n:m	
ENSDARG00000041685	ENSPANG00000025661	n:m	
ENSDARG00000041645	ENSPANG00000016557	n:m	
ENSDARG00000041645	ENSPANG00000006503	n:m	
ENSDARG00000041645	ENSPANG00000006739	n:m	
ENSDARG00000041645	ENSPANG00000025661	n:m	655858
ENSDARG00000078757	ENSPANG00000016557	n:m	
ENSDARG00000078757	ENSPANG00000006503	n:m	
ENSDARG00000078757	ENSPANG00000006739	n:m	
ENSDARG00000078757	ENSPANG00000025661	n:m	
ENSDARG00000041689	ENSPANG00000016141	1:1	754730
ENSDARG00000013892	ENSPANG00000002674	1:1	549548
ENSDARG00000041715	ENSPANG00000006648	n:1	
ENSDARG00000030139	ENSPANG00000011006	n:m	
ENSDARG00000030139	ENSPANG00000001984	n:m	
ENSDARG00000056804	ENSPANG00000023559	1:1	
ENSDARG00000032430	ENSPANG00000010187	n:1	
ENSDARG00000062315	ENSPANG00000009881	1:1	552344
ENSDARG00000056896	ENSPANG00000010676	1:1	798148
ENSDARG00000056926	ENSPANG00000005708	n:1	
ENSDARG00000062359	ENSPANG00000019800	1:1	769101
ENSDARG00000056934	ENSPANG00000026254	1:1	
ENSDARG00000075851	ENSPANG00000020665	1:1	802818
ENSDARG00000024920	ENSPANG00000019802	n:1	802950
ENSDARG00000030532	ENSPANG00000014881	n:1	728849
ENSDARG00000077161	ENSPANG00000017979	1:1	799034
ENSDARG00000009958	ENSPANG00000018962	1:1	827824
ENSDARG00000005368	ENSPANG00000011051	n:1	
ENSDARG00000074074	ENSPANG00000021114	1:1	265893
ENSDARG00000056134	ENSPANG00000003692	1:1	812941
ENSDARG00000004537	ENSPANG00000009309	1:1	548376
ENSDARG00000040571	ENSPANG00000008912	1:1	530855
ENSDARG00000040566	ENSPANG00000016441	1:1	
ENSDARG00000040568	ENSPANG00000020666	n:1	
ENSDARG00000073724	ENSPANG00000011052	1:1	799523
ENSDARG00000078068	ENSPANG00000004725	n:1	
ENSDARG00000055991	ENSPANG00000004726	1:1	857256
ENSDARG00000024966	ENSPANG00000007316	n:1	552216
ENSDARG00000040565	ENSPANG00000012803	n:1	
ENSDARG00000078355	ENSPANG00000021115	1:1	553889
ENSDARG00000010487	ENSPANG00000005314	1:1	755018
ENSDARG00000040559	ENSPANG00000024799	1:1	703478
ENSDARG00000040556	ENSPANG00000023531	1:1	829380
ENSDARG00000061895	ENSPANG00000022153	1:1	548795
ENSDARG00000007566	ENSPANG00000022164	1:1	548443
ENSDARG00000061862	ENSPANG00000023354	1:1	552018
ENSDARG00000055591	ENSPANG00000023365	1:1	852577
ENSDARG00000079414	ENSPANG00000023373	1:1	753212
ENSDARG00000075509	ENSPANG00000023370	n:1	859839
ENSDARG00000031814	ENSPANG00000023369	n:1	
ENSDARG00000041252	ENSPANG00000024610	1:1	808083
ENSDARG00000055632	ENSPANG00000024342	1:1	842337
ENSDARG00000092305	ENSPANG00000023511	1:1	813122
ENSDARG00000076834	ENSPANG00000023706	1:1	773302
ENSDARG00000055635	ENSPANG00000024600	1:1	813689
ENSDARG00000006399	ENSPANG00000024608	n:1	499497
ENSDARG00000055648	ENSPANG00000023156	1:1	797848
ENSDARG00000026654	ENSPANG00000023158	1:1	854296
ENSDARG00000075067	ENSPANG00000024292	1:1	
ENSDARG00000078768	ENSPANG00000023277	1:1	792034
ENSDARG00000093931	ENSPANG00000024630	1:1	
ENSDARG00000069324	ENSPANG00000024631	1:1	514977
ENSDARG00000090686	ENSPANG00000007636	n:1	778635
ENSDARG00000055838	ENSPANG00000024467	1:1	862677
ENSDARG00000032013	ENSPANG00000024454	n:1	
ENSDARG00000030913	ENSPANG00000024457	1:1	815996
ENSDARG00000018110	ENSPANG00000015374	1:1	552248
ENSDARG00000100826	ENSPANG00000014598	1:1	762158
ENSDARG00000055548	ENSPANG00000026022	1:1	551053
ENSDARG00000087793	ENSPANG00000023278	1:1	
ENSDARG00000069603	ENSPANG00000023292	n:1	551102
ENSDARG00000007744	ENSPANG00000024463	1:1	
ENSDARG00000057973	ENSPANG00000024596	1:1	851991
ENSDARG00000098528	ENSPANG00000001706	n:1	800163
ENSDARG00000003938	ENSPANG00000024592	1:1	803484
ENSDARG00000061383	ENSPANG00000024589	n:1	
ENSDARG00000079702	ENSPANG00000024598	1:1	817675
ENSDARG00000055255	ENSPANG00000024254	1:1	809059
ENSDARG00000034227	ENSPANG00000024255	1:1	830800
ENSDARG00000004636	ENSPANG00000014927	1:1	
ENSDARG00000090764	ENSPANG00000022159	1:1	798682
ENSDARG00000006120	ENSPANG00000022158	n:1	796964
ENSDARG00000030058	ENSPANG00000022155	1:1	823872
ENSDARG00000074410	ENSPANG00000022169	1:1	744149
ENSDARG00000014018	ENSPANG00000022127	1:1	551768
ENSDARG00000041137	ENSPANG00000023369	n:1	508664
ENSDARG00000041141	ENSPANG00000023297	1:1	818698
ENSDARG00000034453	ENSPANG00000023452	n:1	
ENSDARG00000026149	ENSPANG00000023509	1:1	548982
ENSDARG00000010610	ENSPANG00000023516	1:1	785208
ENSDARG00000055388	ENSPANG00000023514	n:1	
ENSDARG00000077285	ENSPANG00000024605	1:1	553233
ENSDARG00000026180	ENSPANG00000024607	1:1	778421
ENSDARG00000061579	ENSPANG00000024601	1:1	548318
ENSDARG00000036848	ENSPANG00000024604	1:1	
ENSDARG00000039490	ENSPANG00000024603	n:1	
ENSDARG00000039489	ENSPANG00000023275	1:1	800559
ENSDARG00000014652	ENSPANG00000023185	1:1	516771
ENSDARG00000061165	ENSPANG00000023148	1:1	788725
ENSDARG00000025977	ENSPANG00000023153	1:1	740606
ENSDARG00000079479	ENSPANG00000013282	1:1	270392
ENSDARG00000008808	ENSPANG00000007941	1:1	548730
ENSDARG00000025478	ENSPANG00000014706	1:1	657362
ENSDARG00000054456	ENSPANG00000000379	1:1	775564
ENSDARG00000074967	ENSPANG00000005539	1:1	
ENSDARG00000013804	ENSPANG00000018990	1:1	549871
ENSDARG00000068939	ENSPANG00000024259	1:1	
ENSDARG00000061551	ENSPANG00000024453	1:1	671266
ENSDARG00000040815	ENSPANG00000018404	1:1	550536
ENSDARG00000019949	ENSPANG00000015277	n:1	847728
ENSDARG00000076962	ENSPANG00000011141	1:1	816895
ENSDARG00000040984	ENSPANG00000017999	1:1	549763
ENSDARG00000054543	ENSPANG00000008067	n:1	835096
ENSDARG00000068965	ENSPANG00000011289	1:1	
ENSDARG00000098113	ENSPANG00000024300	1:1	
ENSDARG00000069066	ENSPANG00000023299	1:1	772151
ENSDARG00000028793	ENSPANG00000023539	1:1	548492
ENSDARG00000075528	ENSPANG00000023538	1:1	542375
ENSDARG00000031976	ENSPANG00000023535	n:1	800935
ENSDARG00000033973	ENSPANG00000022309	1:1	
ENSDARG00000032614	ENSPANG00000022319	1:1	
ENSDARG00000041060	ENSPANG00000023533	n:m	
ENSDARG00000041060	ENSPANG00000023179	n:m	847058
ENSDARG00000093059	ENSPANG00000023533	n:m	
ENSDARG00000093059	ENSPANG00000023179	n:m	
ENSDARG00000087311	ENSPANG00000023533	n:m	
ENSDARG00000087311	ENSPANG00000023179	n:m	
ENSDARG00000025903	ENSPANG00000023533	n:m	847056
ENSDARG00000025903	ENSPANG00000023179	n:m	
ENSDARG00000030933	ENSPANG00000023544	n:1	
ENSDARG00000021343	ENSPANG00000023554	1:1	774548
ENSDARG00000054748	ENSPANG00000022308	1:1	818106
ENSDARG00000061030	ENSPANG00000022307	1:1	
ENSDARG00000030479	ENSPANG00000005029	n:m	
ENSDARG00000030479	ENSPANG00000011105	n:m	
ENSDARG00000073917	ENSPANG00000005486	1:1	495178
ENSDARG00000019660	ENSPANG00000011982	n:1	
ENSDARG00000070025	ENSPANG00000024148	n:1	551282
ENSDARG00000059244	ENSPANG00000008374	n:1	
ENSDARG00000063711	ENSPANG00000006536	n:1	
ENSDARG00000015065	ENSPANG00000024813	n:1	
ENSDARG00000102626	ENSPANG00000006217	n:1	265978
ENSDARG00000102017	ENSPANG00000023049	1:1	548060
ENSDARG00000104267	ENSPANG00000009523	n:1	668682
ENSDARG00000103457	ENSPANG00000018678	1:1	304924
ENSDARG00000104664	ENSPANG00000003398	1:1	551281
ENSDARG00000102047	ENSPANG00000011126	1:1	823020
ENSDARG00000098897	ENSPANG00000012753	1:1	547042
ENSDARG00000100794	ENSPANG00000016548	1:1	829938
ENSDARG00000099563	ENSPANG00000024602	n:1	840904
ENSDARG00000101331	ENSPANG00000024261	1:1	810698
ENSDARG00000104023	ENSPANG00000010184	1:1	551513
ENSDARG00000099291	ENSPANG00000008544	1:1	
ENSDARG00000103443	ENSPANG00000021571	n:m	
ENSDARG00000103443	ENSPANG00000021572	n:m	
ENSDARG00000103443	ENSPANG00000026435	n:m	
ENSDARG00000101697	ENSPANG00000006249	1:1	
ENSDARG00000099918	ENSPANG00000009329	n:m	
ENSDARG00000099918	ENSPANG00000015865	n:m	
ENSDARG00000101959	ENSPANG00000022053	1:1	268577
ENSDARG00000027724	ENSPANG00000021188	1:1	518123
ENSDARG00000025595	ENSPANG00000004769	1:1	
ENSDARG00000005034	ENSPANG00000015088	1:1	792289
ENSDARG00000068892	ENSPANG00000008147	1:1	812153
ENSDARG00000068883	ENSPANG00000021496	n:1	641232
ENSDARG00000075892	ENSPANG00000025460	n:1	706018
ENSDARG00000013598	ENSPANG00000005134	n:m	730732
