drosophila_ID	anopheles_ID	orthotype	OMAgroup
FBgn0033315	AGAP009175	1:1	749416
FBgn0033317	AGAP008634	1:1	850694
FBgn0003892	AGAP011395	1:1	801874
FBgn0263120	AGAP003623	1:1	547056
FBgn0050354	AGAP002245	n:1	
FBgn0033323	AGAP007338	n:1	815192
FBgn0033324	AGAP007338	n:1	
FBgn0043576	AGAP006342	n:m	
FBgn0043576	AGAP006343	n:m	
FBgn0033326	AGAP007338	n:1	
FBgn0033327	AGAP006342	n:m	
FBgn0033327	AGAP006343	n:m	702358
FBgn0043575	AGAP006342	n:m	
FBgn0043575	AGAP006343	n:m	
FBgn0005695	AGAP011686	1:1	831247
FBgn0086784	AGAP012183	1:1	516361
FBgn0027585	AGAP012181	1:1	557591
FBgn0024189	AGAP010742	1:1	551577
FBgn0011286	AGAP010750	1:1	261712
FBgn0021825	AGAP011690	1:1	738158
FBgn0033339	AGAP011551	1:1	809150
FBgn0033341	AGAP012361	1:1	549803
FBgn0004921	AGAP010589	n:1	807619
FBgn0033342	AGAP010588	1:1	636211
FBgn0003074	AGAP012167	1:1	744093
FBgn0002552	AGAP010757	1:1	786263
FBgn0033348	AGAP010736	n:1	
FBgn0033349	AGAP012088	1:1	
FBgn0033350	AGAP011364	1:1	774907
FBgn0033351	AGAP010586	1:1	812169
FBgn0033352	AGAP010626	1:1	658842
FBgn0033354	AGAP009655	1:1	814567
FBgn0027607	AGAP009765	1:1	501141
FBgn0033357	AGAP010227	1:1	796812
FBgn0033362	AGAP008997	1:1	
FBgn0033363	AGAP008998	1:1	706276
FBgn0033367	AAC27383.1	1:1	773923
FBgn0033368	AGAP005983	1:1	547219
FBgn0011746	AGAP005987	1:1	
FBgn0025709	AGAP005988	1:m	849618
FBgn0025709	AGAP005989	1:m	
FBgn0010220	AGAP005130	1:1	547012
FBgn0033373	AGAP006767	1:1	816618
FBgn0033375	AGAP005220	1:1	808125
FBgn0033376	AGAP003279	1:1	554640
FBgn0015838	AGAP012288	1:1	810053
FBgn0033378	AGAP006365	1:1	547856
FBgn0033379	AGAP008635	1:1	864640
FBgn0033380	AGAP008050	1:1	844866
FBgn0033381	AAL58538.1	1:1	
FBgn0033382	AGAP006819	1:1	792028
FBgn0260972	AGAP008195	1:1	
FBgn0086656	AGAP005316	1:1	834316
FBgn0050342	AGAP001145	1:1	547471
FBgn0050344	AGAP005317	n:1	
FBgn0050345	AGAP005317	n:1	554279
FBgn0033388	AGAP005318	1:1	561496
FBgn0033389	AGAP006164	1:1	858906
FBgn0259728	AGAP006163	1:1	818723
FBgn0015477	AGAP005771	1:1	773263
FBgn0002567	AGAP007654	1:1	
FBgn0033391	AGAP007653	1:1	497994
FBgn0033392	AGAP012336	1:1	304795
FBgn0033395	AAL58559.1	n:1	
FBgn0015037	AAL58559.1	n:1	
FBgn0033397	AAL58559.1	n:1	
FBgn0020621	AGAP007587	1:1	700004
FBgn0083977	AGAP007590	1:1	333827
FBgn0033400	AGAP007098	1:1	495654
FBgn0033401	AGAP007586	1:1	851625
FBgn0026326	AGAP006632	1:1	547559
FBgn0028408	AGAP005254	1:1	774936
FBgn0033408	AGAP004416	1:1	830875
FBgn0028473	AGAP007050	1:1	859546
FBgn0016078	AGAP012445	1:1	495339
FBgn0033412	AGAP008661	1:1	
FBgn0033413	AGAP010959	1:1	750622
FBgn0029092	AAR13721.1	1:1	
FBgn0259234	AGAP007133	1:1	826024
FBgn0004360	AGAP010283	1:1	
FBgn0259246	AGAP010286	1:1	
FBgn0085436	AGAP009057	1:1	495606
FBgn0033427	AGAP008973	n:1	771982
FBgn0033428	AGAP011895	1:1	679003
FBgn0033429	AGAP012180	1:1	832856
FBgn0025286	AGAP011896	1:1	804033
FBgn0261016	AGAP011897	1:1	741343
FBgn0033431	AGAP012301	n:1	848393
FBgn0050338	AGAP011898	1:1	
FBgn0050339	AGAP004762	1:1	530548
FBgn0050000	AAM61893.1	n:m	
FBgn0050000	AAM61892.1	n:m	
FBgn0033438	AGAP011870	1:1	829942
FBgn0260474	AGAP009220	1:1	
FBgn0005614	AGAP010630	1:1	549676
FBgn0033443	AAT07965.1	1:1	788750
FBgn0033446	AGAP010640	1:1	558299
FBgn0050001	AGAP007025	1:1	333829
FBgn0033450	AGAP007326	1:1	817922
FBgn0033451	AGAP000698	1:m	831970
FBgn0033451	AGAP000699	1:m	
FBgn0266186	AGAP000700	1:1	812260
FBgn0023180	AGAP011246	1:1	
FBgn0023175	AGAP001973	1:1	489589
FBgn0033454	AGAP009615	1:1	547010
FBgn0027580	AGAP004742	1:1	859193
FBgn0050010	AGAP011455	1:1	641915
FBgn0011241	AGAP010478	1:1	811447
FBgn0033457	AGAP010397	1:1	833571
FBgn0050008	AGAP005513	1:1	
FBgn0033464	AGAP005515	1:1	308618
FBgn0033465	AGAP005894	1:1	646734
FBgn0011656	AGAP007608	1:1	548760
FBgn0033468	AGAP003662	1:1	530945
FBgn0027619	AGAP006613	1:1	685483
FBgn0000606	AAT92557.1	1:1	779586
FBgn0261014	AGAP005630	1:1	848754
FBgn0022382	AGAP004940	1:1	667799
FBgn0033473	AGAP007570	1:1	854835
FBgn0033474	AGAP004938	1:1	514616
FBgn0033475	AGAP007571	1:1	752838
FBgn0033476	AGAP007567	1:1	525803
FBgn0040773	AGAP007621	1:1	
FBgn0263260	AGAP008615	1:1	856504
FBgn0262169	AGAP007489	1:1	853651
FBgn0033479	AGAP003222	1:1	863337
FBgn0033480	AGAP005852	1:1	848313
FBgn0013435	AGAP005851	1:1	547161
FBgn0033481	AGAP005855	1:1	
FBgn0033482	AGAP005856	1:1	671240
FBgn0033484	AGAP006772	1:1	267002
FBgn0001291	AGAP006386	1:1	
FBgn0033485	AGAP007644	1:1	803147
FBgn0004907	AGAP007643	1:1	499498
FBgn0003071	AGAP007642	1:1	825099
FBgn0010531	AGAP007026	1:1	761251
FBgn0265512	AGAP011141	1:1	855856
FBgn0000448	AGAP009002	1:1	
FBgn0005619	AGAP009001	1:1	824805
FBgn0033500	AGAP007720	1:1	
FBgn0003660	AGAP007721	1:1	812262
FBgn0033502	AGAP007718	1:1	762855
FBgn0028426	AGAP009743	1:1	795864
FBgn0026403	AGAP008193	1:1	814003
FBgn0261698	AGAP007585	1:1	643284
FBgn0033518	AAU93514.1	n:1	548075
FBgn0033519	AGAP010716	n:1	
FBgn0033520	AAU93514.1	n:1	
FBgn0033521	AAU93514.1	n:1	
FBgn0262114	AGAP005063	1:1	516374
FBgn0033523	AGAP012191	n:1	
FBgn0001122	AGAP005773	1:1	498832
FBgn0033524	AAU93487.1	1:1	818997
FBgn0033526	AGAP007544	1:1	564331
FBgn0033527	AGAP009996	1:1	547014
FBgn0261862	AGAP010164	1:1	775315
FBgn0033528	AGAP005538	1:1	848595
FBgn0033529	AGAP006246	1:1	549212
FBgn0005630	AGAP005245	1:1	
FBgn0263102	AGAP005244	1:1	
FBgn0033538	AGAP007730	1:1	799584
FBgn0033539	AGAP006888	1:1	800558
FBgn0033540	AGAP006889	1:1	864183
FBgn0024836	AGAP004850	1:1	548880
FBgn0005586	AGAP005255	1:1	522117
FBgn0033543	AGAP005323	1:1	636835
FBgn0033544	AGAP005324	1:1	811304
FBgn0024956	AGAP008991	1:1	758829
FBgn0053144	AGAP005143	1:1	
FBgn0050018	AGAP004026	1:1	
FBgn0033547	AGAP005148	1:1	749744
FBgn0033548	AGAP005149	1:1	864200
FBgn0033549	AGAP002302	1:1	497725
FBgn0033550	AGAP005150	1:1	810994
FBgn0033551	AGAP012058	1:1	495290
FBgn0029134	AGAP010718	1:1	860128
FBgn0033555	AGAP009572	n:m	866320
FBgn0033555	AGAP000541	n:m	
FBgn0033556	AGAP010515	1:1	842310
FBgn0033557	AGAP010693	1:1	778452
FBgn0033558	AGAP010694	1:1	637287
FBgn0027525	AGAP010572	1:1	843096
FBgn0050015	AGAP010805	1:1	266167
FBgn0050016	AGAP000415	1:1	
FBgn0263510	AGAP004768	1:1	828338
FBgn0010356	AGAP011678	1:1	547024
FBgn0033564	AGAP001612	1:1	848815
FBgn0061356	AGAP010885	1:1	817677
FBgn0033570	AGAP003328	1:m	
FBgn0033570	AGAP012533	1:m	736739
FBgn0033571	AGAP010064	1:1	858986
FBgn0040765	AGAP007038	1:1	712422
FBgn0033578	AGAP004828	1:1	547712
FBgn0033579	AGAP004829	1:1	747617
FBgn0033581	AGAP004830	1:1	757740
FBgn0003396	AGAP007640	1:1	761575
FBgn0033582	AGAP006773	1:1	718252
FBgn0037084	AGAP006251	1:1	494703
FBgn0033584	AGAP011207	n:1	538657
FBgn0050021	AGAP010230	1:1	794785
FBgn0033590	AGAP006972	1:m	
FBgn0033590	AGAP006973	1:m	
FBgn0033593	AGAP009635	1:1	
FBgn0026386	AGAP004951	n:m	
FBgn0026386	AGAP004971	n:m	
FBgn0026386	AGAP004974	n:m	
FBgn0033597	AGAP009879	1:1	767622
FBgn0033599	AGAP007337	1:1	
FBgn0033602	AGAP010887	1:1	721065
FBgn0010423	AGAP007339	n:1	552293
FBgn0041174	AGAP002496	1:1	544743
FBgn0033608	AGAP012587	1:1	782173
FBgn0033609	AGAP006431	1:1	693564
FBgn0033610	AGAP005420	1:1	793678
FBgn0015582	AAY34441.1	1:1	839843
FBgn0259238	AGAP007064	1:1	709762
FBgn0033615	AGAP007102	1:1	658788
FBgn0025373	AGAP007104	1:1	858646
FBgn0016047	AGAP007100	1:1	803188
FBgn0003382	AGAP007099	1:1	266127
FBgn0011556	AGAP008291	1:1	
FBgn0010359	AGAP011477	n:1	
FBgn0050031	AGAP011477	n:1	
FBgn0050025	AGAP011477	n:1	
FBgn0010358	AGAP011477	n:1	
FBgn0033623	AGAP005268	1:1	336254
FBgn0033624	AGAP011832	1:1	855920
FBgn0001276	AGAP001237	1:1	761056
FBgn0024188	AGAP002568	1:1	
FBgn0033629	AGAP005233	1:1	641227
FBgn0033631	AAS17758.1	1:1	761256
FBgn0082585	AGAP005235	1:1	791501
FBgn0050022	AGAP003337	1:1	
FBgn0033633	AGAP008839	1:1	771971
FBgn0015872	AGAP008842	1:1	799151
FBgn0033635	AGAP008843	1:1	799148
FBgn0033636	AGAP008017	1:1	738325
FBgn0086712	AGAP000454	1:1	832534
FBgn0033638	AGAP009915	1:1	266265
FBgn0033639	AGAP007807	1:1	547915
FBgn0085257	AGAP006409	1:1	764341
FBgn0044020	AGAP005562	1:1	828173
FBgn0010516	AGAP004031	1:1	678914
FBgn0033653	AGAP011814	1:1	835330
FBgn0033654	AGAP011815	1:1	558099
FBgn0259832	AGAP011816	1:1	754698
FBgn0033656	AGAP011819	1:1	709328
FBgn0033657	AGAP010881	1:1	557818
FBgn0013756	AGAP001754	1:1	547332
FBgn0033658	AGAP004576	1:1	276655
FBgn0033659	AGAP010828	1:m	
FBgn0033659	AGAP010829	1:m	
FBgn0033661	AGAP007388	1:1	703509
FBgn0033663	AGAP007393	1:1	780354
FBgn0000556	AGAP007406	1:m	863716
FBgn0000556	AGAP003541	1:m	
FBgn0260959	AGAP007413	1:1	
FBgn0033665	AGAP007713	1:1	789336
FBgn0033668	AGAP007416	1:1	727441
FBgn0033669	AGAP007418	1:1	843217
FBgn0050036	AGAP002671	n:1	
FBgn0050037	AGAP002671	n:1	
FBgn0053145	AGAP002671	n:1	749438
FBgn0011704	AGAP006818	1:1	
FBgn0085260	AGAP003741	1:1	755604
FBgn0033672	AGAP002626	1:1	511468
FBgn0033673	AGAP003464	1:m	646358
FBgn0033673	AGAP012787	1:m	
FBgn0004839	AGAP011489	1:1	549492
FBgn0259985	AGAP007828	1:m	
FBgn0259985	AGAP010151	1:m	793011
FBgn0260012	AGAP010643	1:1	547042
FBgn0010339	AGAP010624	1:1	490078
FBgn0004463	AGAP008151	1:1	864213
FBgn0033679	AGAP011811	1:1	508839
FBgn0027495	AGAP005253	1:m	
FBgn0027495	AGAP010931	1:m	
FBgn0027495	AGAP011232	1:m	
FBgn0027495	AGAP011237	1:m	
FBgn0027495	AGAP011238	1:m	
FBgn0027495	AGAP011257	1:m	
FBgn0027495	AGAP011267	1:m	
FBgn0027495	AGAP011835	1:m	
FBgn0027495	AGAP009448	1:m	771975
FBgn0027495	AGAP012638	1:m	
FBgn0033685	AGAP011836	1:1	665414
FBgn0033687	AGAP006887	1:1	835577
FBgn0033688	AGAP006885	1:1	778421
FBgn0014184	AGAP010131	1:1	747573
FBgn0023167	AGAP012380	1:1	793363
FBgn0010621	AGAP008249	1:1	636212
FBgn0033690	AGAP007845	1:1	698434
FBgn0033692	AGAP010756	1:1	834619
FBgn0053964	AGAP010960	1:1	849920
FBgn0000426	AGAP002658	1:1	803790
FBgn0025454	AAU93494.1	n:1	
FBgn0033698	AGAP011822	1:1	689183
FBgn0033699	AGAP009998	1:1	861092
FBgn0020377	AGAP011974	n:1	
FBgn0000253	AGAP010957	1:1	546998
FBgn0033710	AGAP012307	1:1	
FBgn0033712	AGAP012309	1:1	838865
FBgn0033713	AGAP011570	1:1	851098
FBgn0264560	AGAP001527	1:1	516236
FBgn0033716	AGAP011316	1:1	818810
FBgn0033717	AGAP011315	1:1	694724
FBgn0266111	AGAP011454	1:1	838542
FBgn0050047	AGAP007676	n:m	
FBgn0050047	AGAP007677	n:m	822797
FBgn0050047	AGAP003078	n:m	
FBgn0050047	AGAP003423	n:m	
FBgn0050047	AGAP003432	n:m	
FBgn0050049	AGAP007676	n:m	
FBgn0050049	AGAP007677	n:m	
FBgn0050049	AGAP003078	n:m	
FBgn0050049	AGAP003423	n:m	
FBgn0050049	AGAP003432	n:m	
FBgn0050043	AGAP007676	n:m	
FBgn0050043	AGAP007677	n:m	
FBgn0050043	AGAP003078	n:m	
FBgn0050043	AGAP003423	n:m	
FBgn0050043	AGAP003432	n:m	822784
FBgn0033720	AGAP007676	n:m	
FBgn0033720	AGAP007677	n:m	
FBgn0033720	AGAP003078	n:m	
FBgn0033720	AGAP003423	n:m	
FBgn0033720	AGAP003432	n:m	
FBgn0050045	AGAP009876	1:1	682229
FBgn0050042	AGAP009874	1:1	703954
FBgn0033724	AGAP002244	1:1	
FBgn0033728	AGAP009871	1:1	682228
FBgn0033729	AGAP009870	n:1	697096
FBgn0033730	AGAP009869	1:1	682231
FBgn0033731	AGAP009868	1:1	686311
FBgn0033733	AGAP005907	n:m	
FBgn0033733	AGAP008544	n:m	
FBgn0033733	AGAP008545	n:m	
FBgn0033733	AGAP009159	n:m	
FBgn0033733	AGAP000154	n:m	
FBgn0033733	AGAP000907	n:m	
FBgn0033734	AGAP009867	1:1	857572
FBgn0033735	AGAP009161	1:1	786089
FBgn0033737	AGAP006031	1:1	547688
FBgn0050051	AGAP005132	1:1	836331
FBgn0010238	AGAP007500	1:1	549378
FBgn0033740	AGAP005732	1:1	333843
FBgn0033741	AGAP005221	1:1	684109
FBgn0045063	AGAP007080	1:1	636380
FBgn0033750	AGAP002349	1:1	728626
FBgn0033751	AGAP005198	1:1	748501
FBgn0033752	AGAP002840	1:1	845572
FBgn0011592	AGAP006083	1:1	527513
FBgn0033753	AAU93474.1	1:1	819235
FBgn0033754	AGAP000272	1:1	859644
FBgn0033755	AGAP007499	1:1	836439
FBgn0022764	AGAP007892	1:1	550594
FBgn0027356	AGAP005076	1:1	
FBgn0033757	AGAP004884	1:1	804968
FBgn0028683	AGAP005428	1:1	804014
FBgn0061359	AGAP008947	1:1	797051
FBgn0011604	AGAP010700	1:1	547137
FBgn0033760	AGAP010701	1:1	
FBgn0033761	AGAP011354	1:1	
FBgn0033762	AGAP012046	1:1	810856
FBgn0033763	AGAP012047	1:1	748772
FBgn0261673	AGAP005222	1:1	853531
FBgn0033766	AGAP005193	1:1	790080
FBgn0050053	AGAP003736	1:1	818863
FBgn0050052	AAQ16279.1	1:1	706654
FBgn0033769	AGAP000649	1:1	779421
FBgn0026619	AGAP007599	1:1	830187
FBgn0026741	AGAP004709	1:1	740976
FBgn0011227	AGAP004710	1:1	
FBgn0020930	AGAP006768	1:1	518122
FBgn0086904	AGAP006766	1:1	799943
FBgn0003326	AGAP007031	1:1	558834
FBgn0033775	AAV28177.1	n:m	
FBgn0033775	AAV28183.1	n:m	
FBgn0033775	AAL96668.1	n:m	819059
FBgn0033775	AAV28178.1	n:m	
FBgn0033775	AGAP012850	n:m	
FBgn0028963	AAL35507.1	n:m	789120
FBgn0028963	AGAP009520	n:m	
FBgn0250842	AGAP006417	n:m	
FBgn0250842	AGAP006418	n:m	
FBgn0250842	AAL68778.1	n:m	
FBgn0250842	AGAP006443	n:m	
FBgn0250842	AGAP010550	n:m	
FBgn0250842	AGAP008109	n:m	
FBgn0250842	AGAP000356	n:m	
FBgn0250842	AGAP000485	n:m	
FBgn0033777	AGAP007610	1:1	557461
FBgn0000181	AGAP006614	1:1	
FBgn0033778	AGAP005530	1:1	551698
FBgn0025692	AGAP005528	n:m	857149
FBgn0025692	AGAP005529	n:m	
FBgn0002069	AGAP005576	1:1	826486
FBgn0013305	AGAP005528	n:m	
FBgn0013305	AGAP005529	n:m	857144
FBgn0010488	AGAP004750	1:1	
FBgn0033781	AGAP009163	1:1	262775
FBgn0033783	AGAP006730	1:1	267381
FBgn0033785	AGAP007027	1:1	855296
FBgn0004512	AGAP005639	1:1	
FBgn0265185	AGAP006398	n:1	
FBgn0033787	AGAP006398	n:1	272565
FBgn0005624	AGAP006403	1:1	560458
FBgn0265623	AGAP006402	1:1	560207
FBgn0033791	AGAP006405	1:1	562535
FBgn0033792	AGAP003499	n:m	
FBgn0033792	AGAP000535	n:m	
FBgn0263998	AGAP007715	1:1	
FBgn0020370	AAV70248.1	1:1	531069
FBgn0085468	AGAP006630	1:1	723247
FBgn0020391	AGAP006988	1:1	548515
FBgn0033799	AGAP005223	1:1	742030
FBgn0086532	AGAP010427	1:1	805414
FBgn0053138	AGAP010428	1:1	700748
FBgn0053182	AGAP011180	1:1	685580
FBgn0027079	AGAP010420	1:1	490196
FBgn0005654	AGAP010406	1:1	828994
FBgn0033807	AGAP010878	1:1	803540
FBgn0033808	AGAP009614	1:1	
FBgn0033810	AGAP003919	1:1	849983
FBgn0043010	AGAP012460	1:1	853783
FBgn0033812	AGAP010074	1:1	801404
FBgn0033813	AGAP004102	1:1	
FBgn0033814	AGAP007491	1:1	833465
FBgn0033815	AGAP009199	n:1	
FBgn0033816	AGAP009772	1:1	849519
FBgn0033817	AAL59656.1	1:1	840003
FBgn0002789	AGAP012304	1:1	542530
FBgn0033826	AGAP009769	1:1	728964
FBgn0033836	AGAP004721	n:1	748751
FBgn0260475	AGAP004721	n:1	
FBgn0259221	AGAP011483	1:1	523652
FBgn0013765	AGAP002434	1:1	
FBgn0086757	AGAP001765	1:1	547873
FBgn0000119	AGAP011770	1:1	548953
FBgn0033842	AGAP007701	1:1	852861
FBgn0040477	AGAP007508	1:1	497256
FBgn0033844	AGAP011766	1:1	665131
FBgn0004638	AGAP011768	1:1	549796
FBgn0024556	AGAP006996	1:1	863708
FBgn0260964	AGAP004476	1:1	547601
FBgn0014877	AGAP011150	1:m	826944
FBgn0014877	AGAP012770	1:m	
FBgn0033860	AGAP007904	n:1	690853
FBgn0000633	AGAP011095	1:1	266967
FBgn0033868	AGAP007904	n:1	
FBgn0033869	AGAP012466	1:1	553610
FBgn0261041	AGAP005490	1:1	810119
FBgn0033876	AGAP011318	1:1	813557
FBgn0033879	AGAP011833	1:1	546865
FBgn0086356	AGAP008912	1:1	734480
FBgn0263697	AGAP005102	1:1	755016
FBgn0033883	AGAP011834	1:1	786330
FBgn0033884	AGAP012333	1:1	665685
FBgn0033885	AGAP000705	n:1	740485
FBgn0262739	AGAP011717	1:1	542653
FBgn0050481	AGAP011716	1:1	807319
FBgn0033886	AGAP004758	1:1	846382
FBgn0013770	AGAP011828	1:1	
FBgn0020766	AGAP012096	1:1	859625
FBgn0033887	AGAP001425	1:1	787089
FBgn0033890	AGAP007423	1:1	724746
FBgn0033891	AGAP010842	1:1	537141
FBgn0020620	AGAP003818	1:1	550120
FBgn0002643	AGAP006460	1:1	
FBgn0040752	AGAP010413	1:1	559557
FBgn0086895	AGAP007212	1:1	846760
FBgn0040751	AGAP011820	1:1	817214
FBgn0033899	AGAP011817	1:1	823090
FBgn0033900	AGAP011821	1:1	838650
FBgn0033901	ABA29466.1	1:1	831921
FBgn0033902	AGAP012281	1:1	845671
FBgn0033903	AGAP005239	n:1	497992
FBgn0033904	AGAP005239	n:1	
FBgn0033906	AGAP004819	n:1	775449
FBgn0033907	AGAP004818	1:1	
FBgn0000289	AGAP011566	1:1	558239
FBgn0050069	AGAP009638	1:1	
FBgn0033911	AGAP011116	1:1	547667
FBgn0033913	AGAP003205	1:1	550549
FBgn0261276	AGAP011286	1:1	824506
FBgn0033915	AGAP001752	1:1	
FBgn0033916	AGAP003821	1:1	
FBgn0033917	AGAP011530	1:1	771979
FBgn0001220	AGAP010876	1:1	546796
FBgn0033918	AGAP010432	1:1	730403
FBgn0027538	AGAP004781	1:1	
FBgn0033919	AGAP006184	1:1	789112
FBgn0261270	AGAP007967	1:1	829594
FBgn0261269	AGAP008152	1:1	549821
FBgn0263397	AGAP002150	1:1	702809
FBgn0033924	AGAP008252	1:1	851160
FBgn0033929	AGAP011110	1:1	846134
FBgn0085213	AGAP004003	n:m	
FBgn0085213	AGAP004004	n:m	
FBgn0085213	AGAP004007	n:m	
FBgn0085471	AGAP004003	n:m	
FBgn0085471	AGAP004004	n:m	
FBgn0085471	AGAP004007	n:m	336638
FBgn0085472	AGAP004003	n:m	
FBgn0085472	AGAP004004	n:m	
FBgn0085472	AGAP004007	n:m	
FBgn0033932	AGAP005464	1:m	657290
FBgn0033932	AGAP005465	1:m	
FBgn0033934	AGAP006701	1:1	
FBgn0033935	AGAP008831	1:1	838836
FBgn0033936	AGAP005345	1:1	738477
FBgn0261613	AGAP011087	1:1	
FBgn0001332	AGAP012282	1:1	730773
FBgn0024698	AGAP011340	1:1	685698
FBgn0050197	AGAP011460	1:1	333351
FBgn0265974	AGAP010388	1:1	531257
FBgn0033943	AGAP010390	1:1	780949
FBgn0050077	AGAP001887	1:1	714227
FBgn0010638	AGAP011504	1:1	732788
FBgn0033952	AGAP006906	n:m	
FBgn0033952	AGAP006907	n:m	
FBgn0033958	AGAP003204	1:1	548776
FBgn0028689	AGAP001440	1:1	830928
FBgn0050476	AGAP012177	1:1	796769
FBgn0033961	AGAP011829	1:1	794007
FBgn0266723	AGAP012080	1:1	782569
FBgn0020767	AGAP012085	1:1	842380
FBgn0001319	AGAP011437	1:1	848468
FBgn0016684	AGAP011426	1:1	550772
FBgn0027783	AGAP011425	1:1	546806
FBgn0028434	AGAP004029	1:1	803463
FBgn0033972	AGAP000444	1:1	547276
FBgn0033973	AGAP011210	1:1	823880
FBgn0053506	AGAP006719	1:1	830297
FBgn0053505	AGAP005320	1:1	828550
FBgn0264962	AGAP001271	1:1	554307
FBgn0013773	AAL93297.1	1:1	
FBgn0033979	AAL58569.1	n:m	
FBgn0033979	AAO62003.1	n:m	
FBgn0033979	AAP76391.1	n:m	
FBgn0013771	AAL93295.1	n:1	
FBgn0033980	AAL58569.1	n:m	
FBgn0033980	AAO62003.1	n:m	
FBgn0033980	AAP76391.1	n:m	
FBgn0033981	AAL93295.1	n:1	819166
FBgn0013772	AAL58569.1	n:m	
FBgn0013772	AAO62003.1	n:m	
FBgn0013772	AAP76391.1	n:m	
FBgn0033983	AGAP004358	1:1	844145
FBgn0033985	AGAP011987	1:1	261397
FBgn0033988	AGAP011293	1:1	738313
FBgn0033995	AGAP011252	1:1	836078
FBgn0033996	AGAP011394	1:1	798774
FBgn0033999	AGAP002353	n:m	
FBgn0033999	AGAP003500	n:m	
FBgn0033999	AGAP003501	n:m	
FBgn0034002	AGAP006281	1:1	696821
FBgn0259878	AGAP006282	1:1	733038
FBgn0003328	AGAP006826	n:m	
FBgn0003328	AGAP004303	n:m	845460
FBgn0034005	AGAP006826	n:m	845472
FBgn0034005	AGAP004303	n:m	
FBgn0004698	AGAP003345	1:1	809504
FBgn0034009	AGAP008418	1:1	266390
FBgn0013750	AGAP006890	1:1	775024
FBgn0034012	AGAP009890	1:1	730596
FBgn0034013	AGAP009061	1:1	835910
FBgn0011660	AGAP007126	1:1	782763
FBgn0000996	AGAP005321	1:1	742392
FBgn0026370	AGAP005322	n:1	
FBgn0034021	AGAP005242	1:1	336053
FBgn0034022	AGAP006468	1:1	
FBgn0034025	AGAP006925	1:1	677274
FBgn0019968	AGAP007592	1:1	548406
FBgn0050471	AGAP007659	n:1	
FBgn0050467	AGAP007510	1:1	747562
FBgn0034027	AGAP002003	1:1	846750
FBgn0022097	AGAP010298	1:1	840808
FBgn0034029	AGAP005210	1:1	547252
FBgn0034030	AGAP007613	1:1	
FBgn0034032	AGAP006969	1:1	856989
FBgn0024754	AGAP007494	1:1	547076
FBgn0013762	AGAP005772	1:1	547216
FBgn0034033	AGAP011858	1:1	842972
FBgn0034035	AGAP011723	1:1	547126
FBgn0262512	AGAP002473	1:1	752065
FBgn0050091	AGAP007043	n:m	
FBgn0050091	AGAP008558	n:m	
FBgn0050091	AGAP008808	n:m	
FBgn0053139	AGAP002970	1:1	822967
FBgn0266708	AGAP011398	1:1	552296
FBgn0050087	AGAP003686	1:1	
FBgn0053461	AAC02700.1	1:1	
FBgn0265991	AGAP006901	1:1	558522
FBgn0034046	AGAP004865	1:1	735018
FBgn0053465	AGAP004858	n:m	
FBgn0053465	AGAP003748	n:m	
FBgn0034045	AGAP008721	n:1	548727
FBgn0022160	AGAP004437	1:1	852558
FBgn0050085	AGAP010393	1:1	266216
FBgn0264089	AGAP002793	1:1	548043
FBgn0034053	AAV28190.1	1:1	818991
FBgn0050093	AGAP008850	1:1	843187
FBgn0034054	AGAP005683	1:1	250949
FBgn0034057	AGAP003613	1:1	514618
FBgn0034058	AGAP007812	1:1	728607
FBgn0034059	AGAP003614	1:1	817871
FBgn0020236	AGAP010156	1:1	735406
FBgn0034060	AGAP008098	1:1	515599
FBgn0034061	AGAP008099	1:1	862255
FBgn0034063	AGAP007601	1:1	560175
FBgn0034062	AGAP005473	1:m	
FBgn0034062	AGAP005480	1:m	
FBgn0034062	AGAP007513	1:m	
FBgn0034062	AGAP007514	1:m	
FBgn0010590	AGAP009271	1:1	860125
FBgn0034065	AGAP010483	1:1	844404
FBgn0034066	AGAP004626	1:1	497746
FBgn0034067	AGAP005170	1:1	853747
FBgn0034068	AGAP006473	1:1	716167
FBgn0034070	AGAP005165	1:1	556859
FBgn0034073	AGAP005161	1:1	842176
FBgn0014020	AGAP005160	1:1	522095
FBgn0265605	AGAP005159	1:1	522189
FBgn0034075	AGAP003218	1:1	
FBgn0010052	AGAP005833	1:m	
FBgn0010052	AGAP005834	1:m	780947
FBgn0010052	AGAP005835	1:m	
FBgn0010052	AGAP005836	1:m	
FBgn0010052	AGAP005837	1:m	
FBgn0086676	AGAP006346	1:1	553419
FBgn0001124	AGAP004142	1:1	793531
FBgn0050094	AGAP002480	1:1	700195
FBgn0027091	AGAP012283	1:1	838647
FBgn0029175	AGAP000081	1:1	531255
FBgn0034081	AGAP004478	1:1	758950
FBgn0034084	AGAP012306	1:1	
FBgn0034085	AGAP011650	1:1	759507
FBgn0015754	AGAP011849	1:1	547031
FBgn0034087	AGAP011851	1:1	815996
FBgn0265178	AGAP012186	1:1	
FBgn0015295	AGAP010710	1:1	554165
FBgn0034091	AGAP012194	1:1	548844
FBgn0034092	AAT51797.1	n:m	
FBgn0034092	AAT51798.1	n:m	
FBgn0034092	AGAP007345	n:m	
FBgn0034092	AAY21239.1	n:m	
FBgn0034092	AAC47326.1	n:m	
FBgn0034092	AAY24700.1	n:m	
FBgn0034092	AAY21240.1	n:m	
FBgn0034094	AGAP011169	1:1	781661
