mouse_ID	rat_ID	orthotype	OMAgroup
ENSMUSG00000095197	ENSRNOG00000050489	n:m	
ENSMUSG00000095197	ENSRNOG00000048062	n:m	
ENSMUSG00000095197	ENSRNOG00000050143	n:m	
ENSMUSG00000095197	ENSRNOG00000050561	n:m	
ENSMUSG00000095197	ENSRNOG00000050708	n:m	
ENSMUSG00000095197	ENSRNOG00000030235	n:m	284472
ENSMUSG00000095197	ENSRNOG00000049315	n:m	
ENSMUSG00000095197	ENSRNOG00000048384	n:m	
ENSMUSG00000095197	ENSRNOG00000050652	n:m	
ENSMUSG00000095197	ENSRNOG00000056665	n:m	
ENSMUSG00000095197	ENSRNOG00000053487	n:m	
ENSMUSG00000095197	ENSRNOG00000046401	n:m	
ENSMUSG00000095197	ENSRNOG00000047011	n:m	
ENSMUSG00000094087	ENSRNOG00000042197	n:m	
ENSMUSG00000094087	ENSRNOG00000050489	n:m	
ENSMUSG00000094087	ENSRNOG00000048062	n:m	
ENSMUSG00000094087	ENSRNOG00000050143	n:m	
ENSMUSG00000094087	ENSRNOG00000050561	n:m	
ENSMUSG00000094087	ENSRNOG00000050708	n:m	
ENSMUSG00000094087	ENSRNOG00000030235	n:m	
ENSMUSG00000094087	ENSRNOG00000049315	n:m	
ENSMUSG00000094087	ENSRNOG00000048384	n:m	
ENSMUSG00000094087	ENSRNOG00000050652	n:m	
ENSMUSG00000094087	ENSRNOG00000056665	n:m	
ENSMUSG00000094087	ENSRNOG00000053487	n:m	
ENSMUSG00000094087	ENSRNOG00000046401	n:m	
ENSMUSG00000094087	ENSRNOG00000047011	n:m	
ENSMUSG00000102313	ENSRNOG00000042197	n:m	
ENSMUSG00000102313	ENSRNOG00000050489	n:m	
ENSMUSG00000102313	ENSRNOG00000048062	n:m	
ENSMUSG00000102313	ENSRNOG00000050143	n:m	
ENSMUSG00000102313	ENSRNOG00000050561	n:m	
ENSMUSG00000102313	ENSRNOG00000050708	n:m	
ENSMUSG00000102313	ENSRNOG00000030235	n:m	
ENSMUSG00000102313	ENSRNOG00000049315	n:m	
ENSMUSG00000102313	ENSRNOG00000048384	n:m	
ENSMUSG00000102313	ENSRNOG00000050652	n:m	
ENSMUSG00000102313	ENSRNOG00000056665	n:m	
ENSMUSG00000102313	ENSRNOG00000053487	n:m	
ENSMUSG00000102313	ENSRNOG00000046401	n:m	
ENSMUSG00000102313	ENSRNOG00000047011	n:m	
ENSMUSG00000096078	ENSRNOG00000042197	n:m	
ENSMUSG00000096078	ENSRNOG00000050489	n:m	
ENSMUSG00000096078	ENSRNOG00000048062	n:m	
ENSMUSG00000096078	ENSRNOG00000050143	n:m	
ENSMUSG00000096078	ENSRNOG00000050561	n:m	
ENSMUSG00000096078	ENSRNOG00000050708	n:m	
ENSMUSG00000096078	ENSRNOG00000030235	n:m	
ENSMUSG00000096078	ENSRNOG00000049315	n:m	
ENSMUSG00000096078	ENSRNOG00000048384	n:m	
ENSMUSG00000096078	ENSRNOG00000050652	n:m	
ENSMUSG00000096078	ENSRNOG00000056665	n:m	
ENSMUSG00000096078	ENSRNOG00000053487	n:m	
ENSMUSG00000096078	ENSRNOG00000046401	n:m	
ENSMUSG00000096078	ENSRNOG00000047011	n:m	
ENSMUSG00000096767	ENSRNOG00000042197	n:m	
ENSMUSG00000096767	ENSRNOG00000050489	n:m	
ENSMUSG00000096767	ENSRNOG00000048062	n:m	
ENSMUSG00000096767	ENSRNOG00000050143	n:m	
ENSMUSG00000096767	ENSRNOG00000050561	n:m	
ENSMUSG00000096767	ENSRNOG00000050708	n:m	
ENSMUSG00000096767	ENSRNOG00000030235	n:m	
ENSMUSG00000096767	ENSRNOG00000049315	n:m	
ENSMUSG00000096767	ENSRNOG00000048384	n:m	
ENSMUSG00000096767	ENSRNOG00000050652	n:m	
ENSMUSG00000096767	ENSRNOG00000056665	n:m	
ENSMUSG00000096767	ENSRNOG00000053487	n:m	
ENSMUSG00000096767	ENSRNOG00000046401	n:m	
ENSMUSG00000096767	ENSRNOG00000047011	n:m	
ENSMUSG00000095117	ENSRNOG00000029776	n:m	
ENSMUSG00000095117	ENSRNOG00000055375	n:m	
ENSMUSG00000095117	ENSRNOG00000037495	n:m	
ENSMUSG00000096672	ENSRNOG00000042197	n:m	
ENSMUSG00000096672	ENSRNOG00000050489	n:m	
ENSMUSG00000096672	ENSRNOG00000048062	n:m	
ENSMUSG00000096672	ENSRNOG00000050143	n:m	
ENSMUSG00000096672	ENSRNOG00000050561	n:m	
ENSMUSG00000096672	ENSRNOG00000050708	n:m	
ENSMUSG00000096672	ENSRNOG00000030235	n:m	
ENSMUSG00000096672	ENSRNOG00000049315	n:m	
ENSMUSG00000096672	ENSRNOG00000048384	n:m	
ENSMUSG00000096672	ENSRNOG00000050652	n:m	
ENSMUSG00000096672	ENSRNOG00000056665	n:m	
ENSMUSG00000096672	ENSRNOG00000053487	n:m	
ENSMUSG00000096672	ENSRNOG00000046401	n:m	
ENSMUSG00000096672	ENSRNOG00000047011	n:m	
ENSMUSG00000094088	ENSRNOG00000042197	n:m	
ENSMUSG00000094088	ENSRNOG00000050489	n:m	
ENSMUSG00000094088	ENSRNOG00000048062	n:m	
ENSMUSG00000094088	ENSRNOG00000050143	n:m	
ENSMUSG00000094088	ENSRNOG00000050561	n:m	
ENSMUSG00000094088	ENSRNOG00000050708	n:m	
ENSMUSG00000094088	ENSRNOG00000030235	n:m	
ENSMUSG00000094088	ENSRNOG00000049315	n:m	
ENSMUSG00000094088	ENSRNOG00000048384	n:m	
ENSMUSG00000094088	ENSRNOG00000050652	n:m	
ENSMUSG00000094088	ENSRNOG00000056665	n:m	
ENSMUSG00000094088	ENSRNOG00000053487	n:m	
ENSMUSG00000094088	ENSRNOG00000046401	n:m	
ENSMUSG00000094088	ENSRNOG00000047011	n:m	
ENSMUSG00000095170	ENSRNOG00000029776	n:m	706500
ENSMUSG00000095170	ENSRNOG00000055375	n:m	
ENSMUSG00000095170	ENSRNOG00000037495	n:m	
ENSMUSG00000095519	ENSRNOG00000042197	n:m	
ENSMUSG00000095519	ENSRNOG00000050489	n:m	
ENSMUSG00000095519	ENSRNOG00000048062	n:m	
ENSMUSG00000095519	ENSRNOG00000050143	n:m	
ENSMUSG00000095519	ENSRNOG00000050561	n:m	
ENSMUSG00000095519	ENSRNOG00000050708	n:m	
ENSMUSG00000095519	ENSRNOG00000030235	n:m	
ENSMUSG00000095519	ENSRNOG00000049315	n:m	
ENSMUSG00000095519	ENSRNOG00000048384	n:m	
ENSMUSG00000095519	ENSRNOG00000050652	n:m	
ENSMUSG00000095519	ENSRNOG00000056665	n:m	
ENSMUSG00000095519	ENSRNOG00000053487	n:m	281829
ENSMUSG00000095519	ENSRNOG00000046401	n:m	
ENSMUSG00000095519	ENSRNOG00000047011	n:m	
ENSMUSG00000095863	ENSRNOG00000042197	n:m	
ENSMUSG00000095863	ENSRNOG00000050489	n:m	
ENSMUSG00000095863	ENSRNOG00000048062	n:m	
ENSMUSG00000095863	ENSRNOG00000050143	n:m	
ENSMUSG00000095863	ENSRNOG00000050561	n:m	
ENSMUSG00000095863	ENSRNOG00000050708	n:m	
ENSMUSG00000095863	ENSRNOG00000030235	n:m	
ENSMUSG00000095863	ENSRNOG00000049315	n:m	
ENSMUSG00000095863	ENSRNOG00000048384	n:m	
ENSMUSG00000095863	ENSRNOG00000050652	n:m	
ENSMUSG00000095863	ENSRNOG00000056665	n:m	
ENSMUSG00000095863	ENSRNOG00000053487	n:m	
ENSMUSG00000095863	ENSRNOG00000046401	n:m	
ENSMUSG00000095863	ENSRNOG00000047011	n:m	
ENSMUSG00000094502	ENSRNOG00000042197	n:m	
ENSMUSG00000094502	ENSRNOG00000050489	n:m	
ENSMUSG00000094502	ENSRNOG00000048062	n:m	
ENSMUSG00000094502	ENSRNOG00000050143	n:m	
ENSMUSG00000094502	ENSRNOG00000050561	n:m	
ENSMUSG00000094502	ENSRNOG00000050708	n:m	706437
ENSMUSG00000094502	ENSRNOG00000030235	n:m	
ENSMUSG00000094502	ENSRNOG00000049315	n:m	
ENSMUSG00000094502	ENSRNOG00000048384	n:m	
ENSMUSG00000094502	ENSRNOG00000050652	n:m	
ENSMUSG00000094502	ENSRNOG00000056665	n:m	
ENSMUSG00000094502	ENSRNOG00000053487	n:m	
ENSMUSG00000094502	ENSRNOG00000046401	n:m	
ENSMUSG00000094502	ENSRNOG00000047011	n:m	
ENSMUSG00000076731	ENSRNOG00000029776	n:m	
ENSMUSG00000076731	ENSRNOG00000055375	n:m	
ENSMUSG00000076731	ENSRNOG00000037495	n:m	
ENSMUSG00000096577	ENSRNOG00000042197	n:m	
ENSMUSG00000096577	ENSRNOG00000050489	n:m	
ENSMUSG00000096577	ENSRNOG00000048062	n:m	
ENSMUSG00000096577	ENSRNOG00000050143	n:m	
ENSMUSG00000096577	ENSRNOG00000050561	n:m	
ENSMUSG00000096577	ENSRNOG00000050708	n:m	
ENSMUSG00000096577	ENSRNOG00000030235	n:m	
ENSMUSG00000096577	ENSRNOG00000049315	n:m	
ENSMUSG00000096577	ENSRNOG00000048384	n:m	
ENSMUSG00000096577	ENSRNOG00000050652	n:m	
ENSMUSG00000096577	ENSRNOG00000056665	n:m	
ENSMUSG00000096577	ENSRNOG00000053487	n:m	
ENSMUSG00000096577	ENSRNOG00000046401	n:m	
ENSMUSG00000096577	ENSRNOG00000047011	n:m	
ENSMUSG00000096074	ENSRNOG00000042197	n:m	
ENSMUSG00000096074	ENSRNOG00000050489	n:m	
ENSMUSG00000096074	ENSRNOG00000048062	n:m	
ENSMUSG00000096074	ENSRNOG00000050143	n:m	
ENSMUSG00000096074	ENSRNOG00000050561	n:m	
ENSMUSG00000096074	ENSRNOG00000050708	n:m	
ENSMUSG00000096074	ENSRNOG00000030235	n:m	
ENSMUSG00000096074	ENSRNOG00000049315	n:m	
ENSMUSG00000096074	ENSRNOG00000048384	n:m	
ENSMUSG00000096074	ENSRNOG00000050652	n:m	
ENSMUSG00000096074	ENSRNOG00000056665	n:m	283280
ENSMUSG00000096074	ENSRNOG00000053487	n:m	
ENSMUSG00000096074	ENSRNOG00000046401	n:m	
ENSMUSG00000096074	ENSRNOG00000047011	n:m	
ENSMUSG00000076733	ENSRNOG00000029776	n:m	
ENSMUSG00000076733	ENSRNOG00000055375	n:m	706386
ENSMUSG00000076733	ENSRNOG00000037495	n:m	
ENSMUSG00000094124	ENSRNOG00000042197	n:m	
ENSMUSG00000094124	ENSRNOG00000050489	n:m	
ENSMUSG00000094124	ENSRNOG00000048062	n:m	281317
ENSMUSG00000094124	ENSRNOG00000050143	n:m	
ENSMUSG00000094124	ENSRNOG00000050561	n:m	
ENSMUSG00000094124	ENSRNOG00000050708	n:m	
ENSMUSG00000094124	ENSRNOG00000030235	n:m	
ENSMUSG00000094124	ENSRNOG00000049315	n:m	
ENSMUSG00000094124	ENSRNOG00000048384	n:m	
ENSMUSG00000094124	ENSRNOG00000050652	n:m	
ENSMUSG00000094124	ENSRNOG00000056665	n:m	
ENSMUSG00000094124	ENSRNOG00000053487	n:m	
ENSMUSG00000094124	ENSRNOG00000046401	n:m	
ENSMUSG00000094124	ENSRNOG00000047011	n:m	
ENSMUSG00000096020	ENSRNOG00000042197	n:m	
ENSMUSG00000096020	ENSRNOG00000050489	n:m	
ENSMUSG00000096020	ENSRNOG00000048062	n:m	
ENSMUSG00000096020	ENSRNOG00000050143	n:m	
ENSMUSG00000096020	ENSRNOG00000050561	n:m	
ENSMUSG00000096020	ENSRNOG00000050708	n:m	
ENSMUSG00000096020	ENSRNOG00000030235	n:m	
ENSMUSG00000096020	ENSRNOG00000049315	n:m	
ENSMUSG00000096020	ENSRNOG00000048384	n:m	
ENSMUSG00000096020	ENSRNOG00000050652	n:m	
ENSMUSG00000096020	ENSRNOG00000056665	n:m	
ENSMUSG00000096020	ENSRNOG00000053487	n:m	
ENSMUSG00000096020	ENSRNOG00000046401	n:m	
ENSMUSG00000096020	ENSRNOG00000047011	n:m	
ENSMUSG00000093896	ENSRNOG00000042197	n:m	
ENSMUSG00000093896	ENSRNOG00000050489	n:m	
ENSMUSG00000093896	ENSRNOG00000048062	n:m	
ENSMUSG00000093896	ENSRNOG00000050143	n:m	
ENSMUSG00000093896	ENSRNOG00000050561	n:m	
ENSMUSG00000093896	ENSRNOG00000050708	n:m	
ENSMUSG00000093896	ENSRNOG00000030235	n:m	
ENSMUSG00000093896	ENSRNOG00000049315	n:m	
ENSMUSG00000093896	ENSRNOG00000048384	n:m	
ENSMUSG00000093896	ENSRNOG00000050652	n:m	
ENSMUSG00000093896	ENSRNOG00000056665	n:m	
ENSMUSG00000093896	ENSRNOG00000053487	n:m	
ENSMUSG00000093896	ENSRNOG00000046401	n:m	
ENSMUSG00000093896	ENSRNOG00000047011	n:m	
ENSMUSG00000096452	ENSRNOG00000042197	n:m	
ENSMUSG00000096452	ENSRNOG00000050489	n:m	
ENSMUSG00000096452	ENSRNOG00000048062	n:m	
ENSMUSG00000096452	ENSRNOG00000050143	n:m	281902
ENSMUSG00000096452	ENSRNOG00000050561	n:m	
ENSMUSG00000096452	ENSRNOG00000050708	n:m	
ENSMUSG00000096452	ENSRNOG00000030235	n:m	
ENSMUSG00000096452	ENSRNOG00000049315	n:m	
ENSMUSG00000096452	ENSRNOG00000048384	n:m	
ENSMUSG00000096452	ENSRNOG00000050652	n:m	
ENSMUSG00000096452	ENSRNOG00000056665	n:m	
ENSMUSG00000096452	ENSRNOG00000053487	n:m	
ENSMUSG00000096452	ENSRNOG00000046401	n:m	
ENSMUSG00000096452	ENSRNOG00000047011	n:m	
ENSMUSG00000096326	ENSRNOG00000042197	n:m	
ENSMUSG00000096326	ENSRNOG00000050489	n:m	
ENSMUSG00000096326	ENSRNOG00000048062	n:m	
ENSMUSG00000096326	ENSRNOG00000050143	n:m	
ENSMUSG00000096326	ENSRNOG00000050561	n:m	
ENSMUSG00000096326	ENSRNOG00000050708	n:m	
ENSMUSG00000096326	ENSRNOG00000030235	n:m	
ENSMUSG00000096326	ENSRNOG00000049315	n:m	
ENSMUSG00000096326	ENSRNOG00000048384	n:m	
ENSMUSG00000096326	ENSRNOG00000050652	n:m	
ENSMUSG00000096326	ENSRNOG00000056665	n:m	
ENSMUSG00000096326	ENSRNOG00000053487	n:m	
ENSMUSG00000096326	ENSRNOG00000046401	n:m	
ENSMUSG00000096326	ENSRNOG00000047011	n:m	
ENSMUSG00000094075	ENSRNOG00000042197	n:m	
ENSMUSG00000094075	ENSRNOG00000050489	n:m	
ENSMUSG00000094075	ENSRNOG00000048062	n:m	
ENSMUSG00000094075	ENSRNOG00000050143	n:m	
ENSMUSG00000094075	ENSRNOG00000050561	n:m	
ENSMUSG00000094075	ENSRNOG00000050708	n:m	
ENSMUSG00000094075	ENSRNOG00000030235	n:m	
ENSMUSG00000094075	ENSRNOG00000049315	n:m	
ENSMUSG00000094075	ENSRNOG00000048384	n:m	
ENSMUSG00000094075	ENSRNOG00000050652	n:m	
ENSMUSG00000094075	ENSRNOG00000056665	n:m	
ENSMUSG00000094075	ENSRNOG00000053487	n:m	
ENSMUSG00000094075	ENSRNOG00000046401	n:m	
ENSMUSG00000094075	ENSRNOG00000047011	n:m	
ENSMUSG00000094689	ENSRNOG00000042197	n:m	
ENSMUSG00000094689	ENSRNOG00000050489	n:m	
ENSMUSG00000094689	ENSRNOG00000048062	n:m	
ENSMUSG00000094689	ENSRNOG00000050143	n:m	
ENSMUSG00000094689	ENSRNOG00000050561	n:m	
ENSMUSG00000094689	ENSRNOG00000050708	n:m	
ENSMUSG00000094689	ENSRNOG00000030235	n:m	
ENSMUSG00000094689	ENSRNOG00000049315	n:m	
ENSMUSG00000094689	ENSRNOG00000048384	n:m	
ENSMUSG00000094689	ENSRNOG00000050652	n:m	
ENSMUSG00000094689	ENSRNOG00000056665	n:m	
ENSMUSG00000094689	ENSRNOG00000053487	n:m	
ENSMUSG00000094689	ENSRNOG00000046401	n:m	
ENSMUSG00000094689	ENSRNOG00000047011	n:m	
ENSMUSG00000095127	ENSRNOG00000042197	n:m	
ENSMUSG00000095127	ENSRNOG00000050489	n:m	
ENSMUSG00000095127	ENSRNOG00000048062	n:m	
ENSMUSG00000095127	ENSRNOG00000050143	n:m	
ENSMUSG00000095127	ENSRNOG00000050561	n:m	
ENSMUSG00000095127	ENSRNOG00000050708	n:m	
ENSMUSG00000095127	ENSRNOG00000030235	n:m	
ENSMUSG00000095127	ENSRNOG00000049315	n:m	
ENSMUSG00000095127	ENSRNOG00000048384	n:m	
ENSMUSG00000095127	ENSRNOG00000050652	n:m	
ENSMUSG00000095127	ENSRNOG00000056665	n:m	
ENSMUSG00000095127	ENSRNOG00000053487	n:m	
ENSMUSG00000095127	ENSRNOG00000046401	n:m	
ENSMUSG00000095127	ENSRNOG00000047011	n:m	
ENSMUSG00000094940	ENSRNOG00000042197	n:m	
ENSMUSG00000094940	ENSRNOG00000050489	n:m	706475
ENSMUSG00000094940	ENSRNOG00000048062	n:m	
ENSMUSG00000094940	ENSRNOG00000050143	n:m	
ENSMUSG00000094940	ENSRNOG00000050561	n:m	
ENSMUSG00000094940	ENSRNOG00000050708	n:m	
ENSMUSG00000094940	ENSRNOG00000030235	n:m	
ENSMUSG00000094940	ENSRNOG00000049315	n:m	
ENSMUSG00000094940	ENSRNOG00000048384	n:m	
ENSMUSG00000094940	ENSRNOG00000050652	n:m	
ENSMUSG00000094940	ENSRNOG00000056665	n:m	
ENSMUSG00000094940	ENSRNOG00000053487	n:m	
ENSMUSG00000094940	ENSRNOG00000046401	n:m	
ENSMUSG00000094940	ENSRNOG00000047011	n:m	
ENSMUSG00000096150	ENSRNOG00000042197	n:m	
ENSMUSG00000096150	ENSRNOG00000050489	n:m	
ENSMUSG00000096150	ENSRNOG00000048062	n:m	
ENSMUSG00000096150	ENSRNOG00000050143	n:m	
ENSMUSG00000096150	ENSRNOG00000050561	n:m	
ENSMUSG00000096150	ENSRNOG00000050708	n:m	
ENSMUSG00000096150	ENSRNOG00000030235	n:m	
ENSMUSG00000096150	ENSRNOG00000049315	n:m	
ENSMUSG00000096150	ENSRNOG00000048384	n:m	
ENSMUSG00000096150	ENSRNOG00000050652	n:m	
ENSMUSG00000096150	ENSRNOG00000056665	n:m	
ENSMUSG00000096150	ENSRNOG00000053487	n:m	
ENSMUSG00000096150	ENSRNOG00000046401	n:m	
ENSMUSG00000096150	ENSRNOG00000047011	n:m	
ENSMUSG00000042063	ENSRNOG00000004268	1:1	610292
ENSMUSG00000011171	ENSRNOG00000004317	1:1	657370
ENSMUSG00000042050	ENSRNOG00000004520	1:1	549316
ENSMUSG00000078984	ENSRNOG00000060998	1:1	563721
ENSMUSG00000021171	ENSRNOG00000032391	1:1	745739
ENSMUSG00000042029	ENSRNOG00000004968	1:1	846213
ENSMUSG00000056553	ENSRNOG00000005003	1:1	529788
ENSMUSG00000041992	ENSRNOG00000005271	1:1	844705
ENSMUSG00000021175	ENSRNOG00000005410	1:1	829216
ENSMUSG00000018581	ENSRNOG00000005451	1:1	529444
ENSMUSG00000025323	ENSRNOG00000005472	1:1	548508
ENSMUSG00000048562	ENSRNOG00000005943	1:1	
ENSMUSG00000072791	ENSRNOG00000006398	1:1	550523
ENSMUSG00000025321	ENSRNOG00000006569	1:1	775855
ENSMUSG00000041886	ENSRNOG00000037436	1:1	764812
ENSMUSG00000048004	ENSRNOG00000037435	1:1	781671
ENSMUSG00000021218	ENSRNOG00000018091	1:1	859451
ENSMUSG00000033799	ENSRNOG00000018011	1:1	781604
ENSMUSG00000033781	ENSRNOG00000017967	1:1	552703
ENSMUSG00000063130	ENSRNOG00000031955	1:1	559307
ENSMUSG00000033765	ENSRNOG00000028576	n:1	
ENSMUSG00000099269	ENSRNOG00000028576	n:1	
ENSMUSG00000021215	ENSRNOG00000017765	1:1	555957
ENSMUSG00000021216	ENSRNOG00000028750	1:1	696227
ENSMUSG00000044988	ENSRNOG00000017759	1:1	258871
ENSMUSG00000033715	ENSRNOG00000017672	1:1	798300
ENSMUSG00000021214	ENSRNOG00000017531	1:1	798328
ENSMUSG00000021213	ENSRNOG00000050243	n:m	
ENSMUSG00000021213	ENSRNOG00000050040	n:m	798305
ENSMUSG00000021213	ENSRNOG00000033010	n:m	
ENSMUSG00000071551	ENSRNOG00000038319	1:1	798338
ENSMUSG00000021211	ENSRNOG00000050243	n:m	
ENSMUSG00000021211	ENSRNOG00000050040	n:m	
ENSMUSG00000021211	ENSRNOG00000033010	n:m	798316
ENSMUSG00000021210	ENSRNOG00000038331	1:1	
ENSMUSG00000021207	ENSRNOG00000029844	1:1	
ENSMUSG00000045410	ENSRNOG00000017165	1:1	798247
ENSMUSG00000021193	ENSRNOG00000016511	1:1	839507
ENSMUSG00000021196	ENSRNOG00000017163	1:1	825103
ENSMUSG00000052551	ENSRNOG00000030775	1:1	809893
ENSMUSG00000021147	ENSRNOG00000016834	1:1	842124
ENSMUSG00000058258	ENSRNOG00000016690	1:1	751740
ENSMUSG00000021148	ENSRNOG00000046404	n:m	751761
ENSMUSG00000021148	ENSRNOG00000045919	n:m	
ENSMUSG00000033520	ENSRNOG00000046404	n:m	
ENSMUSG00000033520	ENSRNOG00000045919	n:m	751750
ENSMUSG00000021149	ENSRNOG00000016217	1:1	859546
ENSMUSG00000033499	ENSRNOG00000015888	1:1	818656
ENSMUSG00000021156	ENSRNOG00000014670	1:1	845571
ENSMUSG00000046159	ENSRNOG00000049410	1:1	657281
ENSMUSG00000021313	ENSRNOG00000017060	1:1	772948
ENSMUSG00000021311	ENSRNOG00000017593	1:1	785799
ENSMUSG00000052374	ENSRNOG00000017833	1:1	548733
ENSMUSG00000050244	ENSRNOG00000047594	1:1	530358
ENSMUSG00000057554	ENSRNOG00000018046	1:1	847057
ENSMUSG00000095105	ENSRNOG00000002624	1:1	812382
ENSMUSG00000057069	ENSRNOG00000002609	1:1	516728
ENSMUSG00000056457	ENSRNOG00000039058	n:1	
ENSMUSG00000079092	ENSRNOG00000039058	n:1	
ENSMUSG00000055360	ENSRNOG00000039058	n:1	
ENSMUSG00000021306	ENSRNOG00000002480	1:1	824610
ENSMUSG00000005397	ENSRNOG00000002461	1:1	814004
ENSMUSG00000019726	ENSRNOG00000058094	1:1	843012
ENSMUSG00000021303	ENSRNOG00000047080	1:1	786205
ENSMUSG00000039242	ENSRNOG00000016855	1:1	769816
ENSMUSG00000039233	ENSRNOG00000029667	1:1	855855
ENSMUSG00000021302	ENSRNOG00000016767	1:1	858648
ENSMUSG00000039219	ENSRNOG00000049751	1:1	553372
ENSMUSG00000021301	ENSRNOG00000016046	1:1	
ENSMUSG00000015672	ENSRNOG00000015989	1:1	845777
ENSMUSG00000015671	ENSRNOG00000049920	1:1	489590
ENSMUSG00000039182	ENSRNOG00000015523	1:1	840901
ENSMUSG00000021318	ENSRNOG00000014395	1:1	794703
ENSMUSG00000041324	ENSRNOG00000014320	1:1	830950
ENSMUSG00000012429	ENSRNOG00000013806	1:1	755684
ENSMUSG00000041297	ENSRNOG00000013620	1:1	550488
ENSMUSG00000008859	ENSRNOG00000013454	1:1	522136
ENSMUSG00000075054	ENSRNOG00000013438	1:1	843981
ENSMUSG00000009734	ENSRNOG00000013237	1:1	828703
ENSMUSG00000041236	ENSRNOG00000012940	1:1	641428
ENSMUSG00000021314	ENSRNOG00000059510	1:m	
ENSMUSG00000021314	ENSRNOG00000012490	1:m	552663
ENSMUSG00000076749	ENSRNOG00000055197	n:1	675861
ENSMUSG00000091682	ENSRNOG00000055197	n:1	
ENSMUSG00000076752	ENSRNOG00000055197	n:1	
ENSMUSG00000003062	ENSRNOG00000052429	1:1	795891
ENSMUSG00000002808	ENSRNOG00000060141	1:1	712125
ENSMUSG00000021319	ENSRNOG00000054957	1:1	744913
ENSMUSG00000041138	ENSRNOG00000058285	1:1	794160
ENSMUSG00000053101	ENSRNOG00000059698	1:1	
ENSMUSG00000041112	ENSRNOG00000059705	1:1	795201
ENSMUSG00000021322	ENSRNOG00000054964	1:1	840656
ENSMUSG00000042869	ENSRNOG00000052917	1:1	272513
ENSMUSG00000060404	ENSRNOG00000061218	n:m	
ENSMUSG00000060404	ENSRNOG00000059342	n:m	660138
ENSMUSG00000071522	ENSRNOG00000061218	n:m	271469
ENSMUSG00000071522	ENSRNOG00000059342	n:m	
ENSMUSG00000045474	ENSRNOG00000057176	1:1	272701
ENSMUSG00000021326	ENSRNOG00000055917	1:1	515017
ENSMUSG00000004344	ENSRNOG00000057180	1:1	814253
ENSMUSG00000004341	ENSRNOG00000060749	1:1	814255
ENSMUSG00000036721	ENSRNOG00000052959	1:1	556557
ENSMUSG00000021327	ENSRNOG00000055000	1:1	554850
ENSMUSG00000022228	ENSRNOG00000053518	1:1	558090
ENSMUSG00000059395	ENSRNOG00000056708	1:1	551571
ENSMUSG00000054931	ENSRNOG00000051823	1:1	555579
ENSMUSG00000078139	ENSRNOG00000018343	n:1	
ENSMUSG00000079941	ENSRNOG00000016660	n:1	516570
ENSMUSG00000063894	ENSRNOG00000053635	1:1	267895
ENSMUSG00000046016	ENSRNOG00000053920	1:1	272372
ENSMUSG00000049737	ENSRNOG00000059426	1:1	272340
ENSMUSG00000108534	ENSRNOG00000054976	n:1	
ENSMUSG00000108674	ENSRNOG00000054976	n:1	272551
ENSMUSG00000094338	ENSRNOG00000059949	n:m	
ENSMUSG00000094338	ENSRNOG00000058187	n:m	
ENSMUSG00000094338	ENSRNOG00000055512	n:m	
ENSMUSG00000094338	ENSRNOG00000053845	n:m	
ENSMUSG00000094338	ENSRNOG00000054296	n:m	
ENSMUSG00000094338	ENSRNOG00000060769	n:m	
ENSMUSG00000071516	ENSRNOG00000022146	n:m	862343
ENSMUSG00000071516	ENSRNOG00000052845	n:m	
ENSMUSG00000071516	ENSRNOG00000051758	n:m	
ENSMUSG00000071516	ENSRNOG00000060492	n:m	
ENSMUSG00000071516	ENSRNOG00000059748	n:m	
ENSMUSG00000071516	ENSRNOG00000052594	n:m	
ENSMUSG00000071516	ENSRNOG00000048317	n:m	
ENSMUSG00000071516	ENSRNOG00000030736	n:m	
ENSMUSG00000071516	ENSRNOG00000052555	n:m	
ENSMUSG00000071516	ENSRNOG00000033045	n:m	
ENSMUSG00000071516	ENSRNOG00000010386	n:m	
ENSMUSG00000101355	ENSRNOG00000053155	n:m	
ENSMUSG00000101355	ENSRNOG00000056281	n:m	
ENSMUSG00000101355	ENSRNOG00000060366	n:m	
ENSMUSG00000114279	ENSRNOG00000059949	n:m	
ENSMUSG00000114279	ENSRNOG00000058187	n:m	
ENSMUSG00000114279	ENSRNOG00000055512	n:m	
ENSMUSG00000114279	ENSRNOG00000053845	n:m	
ENSMUSG00000114279	ENSRNOG00000054296	n:m	
ENSMUSG00000114279	ENSRNOG00000060769	n:m	801589
ENSMUSG00000067455	ENSRNOG00000045840	n:1	681428
ENSMUSG00000064288	ENSRNOG00000045840	n:1	
ENSMUSG00000063021	ENSRNOG00000022146	n:m	
ENSMUSG00000063021	ENSRNOG00000052845	n:m	
ENSMUSG00000063021	ENSRNOG00000051758	n:m	
ENSMUSG00000063021	ENSRNOG00000060492	n:m	
ENSMUSG00000063021	ENSRNOG00000059748	n:m	
ENSMUSG00000063021	ENSRNOG00000052594	n:m	
ENSMUSG00000063021	ENSRNOG00000048317	n:m	
ENSMUSG00000063021	ENSRNOG00000030736	n:m	
ENSMUSG00000063021	ENSRNOG00000052555	n:m	
ENSMUSG00000063021	ENSRNOG00000033045	n:m	
ENSMUSG00000063021	ENSRNOG00000010386	n:m	
ENSMUSG00000095217	ENSRNOG00000059949	n:m	
ENSMUSG00000095217	ENSRNOG00000058187	n:m	
ENSMUSG00000095217	ENSRNOG00000055512	n:m	
