mouse_ID	zebrafish_ID	orthotype	OMAgroup
ENSMUSG00000022041	ENSDARG00000006602	1:m	
ENSMUSG00000022041	ENSDARG00000057025	1:m	637248
ENSMUSG00000059456	ENSDARG00000022841	1:m	
ENSMUSG00000059456	ENSDARG00000039577	1:m	842740
ENSMUSG00000022043	ENSDARG00000092407	1:m	
ENSMUSG00000022043	ENSDARG00000060838	1:m	
ENSMUSG00000022043	ENSDARG00000022271	1:m	
ENSMUSG00000022043	ENSDARG00000095913	1:m	
ENSMUSG00000022043	ENSDARG00000070847	1:m	515005
ENSMUSG00000022043	ENSDARG00000040230	1:m	
ENSMUSG00000022043	ENSDARG00000052255	1:m	
ENSMUSG00000022043	ENSDARG00000058958	1:m	
ENSMUSG00000022043	ENSDARG00000093859	1:m	
ENSMUSG00000022043	ENSDARG00000104825	1:m	
ENSMUSG00000022043	ENSDARG00000052097	1:m	
ENSMUSG00000022043	ENSDARG00000102219	1:m	
ENSMUSG00000022043	ENSDARG00000102303	1:m	
ENSMUSG00000022043	ENSDARG00000101055	1:m	
ENSMUSG00000022043	ENSDARG00000099684	1:m	
ENSMUSG00000022043	ENSDARG00000102368	1:m	
ENSMUSG00000022043	ENSDARG00000102264	1:m	
ENSMUSG00000022043	ENSDARG00000100721	1:m	
ENSMUSG00000022043	ENSDARG00000099639	1:m	
ENSMUSG00000022043	ENSDARG00000033071	1:m	
ENSMUSG00000022043	ENSDARG00000031534	1:m	
ENSMUSG00000022044	ENSDARG00000043932	1:m	
ENSMUSG00000022044	ENSDARG00000030106	1:m	805610
ENSMUSG00000045875	ENSDARG00000028725	1:1	657312
ENSMUSG00000022048	ENSDARG00000032083	1:1	817090
ENSMUSG00000022051	ENSDARG00000028067	1:m	838432
ENSMUSG00000022051	ENSDARG00000025468	1:m	
ENSMUSG00000022052	ENSDARG00000006624	1:1	813726
ENSMUSG00000022053	ENSDARG00000091287	1:m	
ENSMUSG00000022053	ENSDARG00000042525	1:m	848469
ENSMUSG00000034327	ENSDARG00000010603	1:m	
ENSMUSG00000034327	ENSDARG00000021209	1:m	547408
ENSMUSG00000044447	ENSDARG00000001968	1:1	685645
ENSMUSG00000022054	ENSDARG00000021351	1:1	551426
ENSMUSG00000022055	ENSDARG00000057568	1:m	
ENSMUSG00000022055	ENSDARG00000012426	1:m	551833
ENSMUSG00000014725	ENSDARG00000035514	1:1	793418
ENSMUSG00000014813	ENSDARG00000003303	1:1	834188
ENSMUSG00000034248	ENSDARG00000073743	1:1	498023
ENSMUSG00000095463	ENSDARG00000038422	n:1	742255
ENSMUSG00000022066	ENSDARG00000038422	n:1	
ENSMUSG00000034205	ENSDARG00000044010	1:m	
ENSMUSG00000034205	ENSDARG00000044074	1:m	553420
ENSMUSG00000034194	ENSDARG00000099593	1:1	785646
ENSMUSG00000034190	ENSDARG00000041362	1:1	516196
ENSMUSG00000022074	ENSDARG00000004451	1:m	810546
ENSMUSG00000022074	ENSDARG00000004392	1:m	
ENSMUSG00000022075	ENSDARG00000074828	1:1	842477
ENSMUSG00000022085	ENSDARG00000107065	1:1	797463
ENSMUSG00000033730	ENSDARG00000089156	1:1	769867
ENSMUSG00000033712	ENSDARG00000038302	1:1	
ENSMUSG00000022090	ENSDARG00000069956	1:1	772996
ENSMUSG00000022091	ENSDARG00000037476	1:1	834184
ENSMUSG00000022092	ENSDARG00000057456	1:m	549216
ENSMUSG00000022092	ENSDARG00000014962	1:m	
ENSMUSG00000022094	ENSDARG00000102387	1:1	789343
ENSMUSG00000033644	ENSDARG00000062601	1:1	542659
ENSMUSG00000000776	ENSDARG00000104516	1:1	755576
ENSMUSG00000022098	ENSDARG00000028071	1:1	549922
ENSMUSG00000033595	ENSDARG00000041358	1:1	268142
ENSMUSG00000045211	ENSDARG00000041576	1:1	853446
ENSMUSG00000022095	ENSDARG00000060029	1:1	802302
ENSMUSG00000022099	ENSDARG00000013110	1:1	817669
ENSMUSG00000022101	ENSDARG00000102778	1:1	794557
ENSMUSG00000047911	ENSDARG00000053963	1:m	553676
ENSMUSG00000047911	ENSDARG00000076391	1:m	
ENSMUSG00000022100	ENSDARG00000005540	1:1	843436
ENSMUSG00000022102	ENSDARG00000078108	1:1	
ENSMUSG00000022103	ENSDARG00000044015	1:m	835154
ENSMUSG00000022103	ENSDARG00000042723	1:m	
ENSMUSG00000033470	ENSDARG00000010373	1:m	270756
ENSMUSG00000033470	ENSDARG00000069800	1:m	
ENSMUSG00000022106	ENSDARG00000090687	1:1	549143
ENSMUSG00000022105	ENSDARG00000006782	1:1	750666
ENSMUSG00000033446	ENSDARG00000062552	1:m	270660
ENSMUSG00000033446	ENSDARG00000069441	1:m	
ENSMUSG00000022108	ENSDARG00000007098	1:m	709729
ENSMUSG00000022108	ENSDARG00000041505	1:m	
ENSMUSG00000022109	ENSDARG00000041503	1:1	789906
ENSMUSG00000033405	ENSDARG00000022461	n:1	746348
ENSMUSG00000022110	ENSDARG00000005359	1:1	766905
ENSMUSG00000034997	ENSDARG00000058165	1:m	
ENSMUSG00000034997	ENSDARG00000057029	1:m	544186
ENSMUSG00000021996	ENSDARG00000019496	1:1	711102
ENSMUSG00000068015	ENSDARG00000078778	1:1	843390
ENSMUSG00000021998	ENSDARG00000023188	1:1	865015
ENSMUSG00000021999	ENSDARG00000037144	1:1	
ENSMUSG00000022000	ENSDARG00000037177	1:1	550895
ENSMUSG00000034893	ENSDARG00000101999	1:1	813007
ENSMUSG00000060126	ENSDARG00000092693	1:1	829788
ENSMUSG00000067995	ENSDARG00000069910	1:1	857037
ENSMUSG00000046523	ENSDARG00000068691	1:1	754800
ENSMUSG00000022008	ENSDARG00000058287	1:1	832802
ENSMUSG00000022010	ENSDARG00000038306	1:1	848091
ENSMUSG00000052584	ENSDARG00000094003	1:1	747416
ENSMUSG00000022012	ENSDARG00000060243	1:1	843399
ENSMUSG00000022013	ENSDARG00000038309	1:1	680785
ENSMUSG00000022016	ENSDARG00000075435	1:1	307465
ENSMUSG00000034731	ENSDARG00000018716	1:1	846204
ENSMUSG00000058997	ENSDARG00000078593	1:1	859755
ENSMUSG00000022018	ENSDARG00000035810	1:1	805314
ENSMUSG00000043881	ENSDARG00000078001	n:1	267366
ENSMUSG00000075502	ENSDARG00000078001	n:1	
ENSMUSG00000022024	ENSDARG00000100083	1:1	829859
ENSMUSG00000022025	ENSDARG00000100133	1:1	817038
ENSMUSG00000022026	ENSDARG00000041960	1:m	796781
ENSMUSG00000022026	ENSDARG00000087625	1:m	
ENSMUSG00000035566	ENSDARG00000027041	1:1	553535
ENSMUSG00000022021	ENSDARG00000090785	1:1	549341
ENSMUSG00000022019	ENSDARG00000025421	1:1	548061
ENSMUSG00000050505	ENSDARG00000036424	1:1	557697
ENSMUSG00000055421	ENSDARG00000063264	1:1	552847
ENSMUSG00000055639	ENSDARG00000069440	1:1	709611
ENSMUSG00000060377	ENSDARG00000058105	n:1	
ENSMUSG00000033186	ENSDARG00000096668	1:1	641932
ENSMUSG00000022070	ENSDARG00000042688	1:1	824669
ENSMUSG00000033166	ENSDARG00000060559	1:1	546986
ENSMUSG00000022064	ENSDARG00000013006	1:1	548487
ENSMUSG00000005148	ENSDARG00000015506	1:1	781641
ENSMUSG00000072294	ENSDARG00000032197	1:1	549124
ENSMUSG00000033083	ENSDARG00000075156	1:1	854254
ENSMUSG00000022111	ENSDARG00000030177	n:1	834113
ENSMUSG00000033060	ENSDARG00000053535	1:1	
ENSMUSG00000098557	ENSDARG00000053542	1:m	
ENSMUSG00000098557	ENSDARG00000069843	1:m	785982
ENSMUSG00000022126	ENSDARG00000069844	1:1	816335
ENSMUSG00000022125	ENSDARG00000076339	1:1	813687
ENSMUSG00000022124	ENSDARG00000103505	1:1	798789
ENSMUSG00000033004	ENSDARG00000001220	1:1	796717
ENSMUSG00000022122	ENSDARG00000089334	1:1	657340
ENSMUSG00000048349	ENSDARG00000005559	1:1	756337
ENSMUSG00000022119	ENSDARG00000104130	1:1	548386
ENSMUSG00000053253	ENSDARG00000033928	1:1	828263
ENSMUSG00000075478	ENSDARG00000104443	1:1	267239
ENSMUSG00000045871	ENSDARG00000098769	1:1	266895
ENSMUSG00000033214	ENSDARG00000103359	1:1	553710
ENSMUSG00000022112	ENSDARG00000103647	1:1	829023
ENSMUSG00000058571	ENSDARG00000104219	1:1	829024
ENSMUSG00000022129	ENSDARG00000006008	1:1	742598
ENSMUSG00000022131	ENSDARG00000099851	1:1	727171
ENSMUSG00000061517	ENSDARG00000008540	1:1	558074
ENSMUSG00000032849	ENSDARG00000058953	1:1	548365
ENSMUSG00000022132	ENSDARG00000104528	1:1	833115
ENSMUSG00000042156	ENSDARG00000000943	1:1	834899
ENSMUSG00000022136	ENSDARG00000041110	1:1	547041
ENSMUSG00000042104	ENSDARG00000062089	1:1	689151
ENSMUSG00000053465	ENSDARG00000069500	1:1	812140
ENSMUSG00000044819	ENSDARG00000033684	1:m	
ENSMUSG00000044819	ENSDARG00000040247	1:m	
ENSMUSG00000044819	ENSDARG00000078743	1:m	
ENSMUSG00000044819	ENSDARG00000029803	1:m	769133
ENSMUSG00000022139	ENSDARG00000018460	1:1	801461
ENSMUSG00000051615	ENSDARG00000040246	1:m	
ENSMUSG00000051615	ENSDARG00000077553	1:m	522216
ENSMUSG00000030662	ENSDARG00000040245	1:1	858801
ENSMUSG00000025555	ENSDARG00000074381	1:1	835881
ENSMUSG00000063410	ENSDARG00000100955	1:1	
ENSMUSG00000025557	ENSDARG00000044528	1:m	548245
ENSMUSG00000025557	ENSDARG00000100315	1:m	
ENSMUSG00000025558	ENSDARG00000016311	1:1	685647
ENSMUSG00000041765	ENSDARG00000093065	1:1	805286
ENSMUSG00000050350	ENSDARG00000062009	1:1	271018
ENSMUSG00000051212	ENSDARG00000074302	1:m	
ENSMUSG00000051212	ENSDARG00000010317	1:m	270333
ENSMUSG00000025544	ENSDARG00000003866	1:1	531078
ENSMUSG00000025545	ENSDARG00000029729	1:1	687388
ENSMUSG00000041703	ENSDARG00000016022	1:1	551405
ENSMUSG00000061524	ENSDARG00000015554	1:1	800570
ENSMUSG00000041650	ENSDARG00000028982	1:1	854896
ENSMUSG00000041625	ENSDARG00000070579	1:m	
ENSMUSG00000041625	ENSDARG00000038248	1:m	698011
ENSMUSG00000041625	ENSDARG00000070581	1:m	
ENSMUSG00000041594	ENSDARG00000020447	1:1	548973
ENSMUSG00000000197	ENSDARG00000001835	1:1	788271
ENSMUSG00000032925	ENSDARG00000040985	1:1	
ENSMUSG00000025551	ENSDARG00000040982	1:1	801783
ENSMUSG00000055737	ENSDARG00000054771	1:1	838945
ENSMUSG00000022184	ENSDARG00000074170	1:1	826333
ENSMUSG00000041935	ENSDARG00000054777	1:1	306680
ENSMUSG00000022186	ENSDARG00000054319	1:m	
ENSMUSG00000022186	ENSDARG00000013063	1:m	787020
ENSMUSG00000049148	ENSDARG00000054794	1:1	494765
ENSMUSG00000022181	ENSDARG00000093052	1:m	
ENSMUSG00000022181	ENSDARG00000057113	1:m	753870
ENSMUSG00000079105	ENSDARG00000057121	1:1	816882
ENSMUSG00000041841	ENSDARG00000034291	1:1	851843
ENSMUSG00000050697	ENSDARG00000060596	1:1	549144
ENSMUSG00000022151	ENSDARG00000035406	1:1	838932
ENSMUSG00000039942	ENSDARG00000035415	1:m	
ENSMUSG00000039942	ENSDARG00000059236	1:m	833971
ENSMUSG00000022150	ENSDARG00000053091	1:1	828057
ENSMUSG00000022149	ENSDARG00000016319	1:1	762671
ENSMUSG00000050310	ENSDARG00000002020	1:m	830382
ENSMUSG00000050310	ENSDARG00000100867	1:m	
ENSMUSG00000022146	ENSDARG00000039863	n:m	
ENSMUSG00000022146	ENSDARG00000098857	n:m	
ENSMUSG00000022146	ENSDARG00000100738	n:m	824083
ENSMUSG00000054263	ENSDARG00000039863	n:m	
ENSMUSG00000054263	ENSDARG00000098857	n:m	814693
ENSMUSG00000054263	ENSDARG00000100738	n:m	
ENSMUSG00000042961	ENSDARG00000099008	1:1	548845
ENSMUSG00000022144	ENSDARG00000039959	1:1	831251
ENSMUSG00000022142	ENSDARG00000001777	1:1	792887
ENSMUSG00000022141	ENSDARG00000061052	1:1	
ENSMUSG00000095663	ENSDARG00000100195	1:1	
ENSMUSG00000022253	ENSDARG00000007181	1:1	816618
ENSMUSG00000054115	ENSDARG00000004937	1:1	828842
ENSMUSG00000039704	ENSDARG00000017312	1:m	705808
ENSMUSG00000039704	ENSDARG00000099566	1:m	
ENSMUSG00000039676	ENSDARG00000003414	1:1	547782
ENSMUSG00000072663	ENSDARG00000098330	1:1	813021
ENSMUSG00000005268	ENSDARG00000016570	1:1	
ENSMUSG00000089678	ENSDARG00000100709	1:1	831435
ENSMUSG00000044224	ENSDARG00000105195	1:1	547545
ENSMUSG00000022247	ENSDARG00000098935	1:1	
ENSMUSG00000022248	ENSDARG00000040559	1:1	703478
ENSMUSG00000022246	ENSDARG00000039974	1:1	551990
ENSMUSG00000022244	ENSDARG00000057435	1:1	828425
ENSMUSG00000022243	ENSDARG00000002593	1:1	547682
ENSMUSG00000060735	ENSDARG00000057410	1:1	758934
ENSMUSG00000047497	ENSDARG00000067549	1:1	550780
ENSMUSG00000022241	ENSDARG00000013250	1:1	851106
ENSMUSG00000022206	ENSDARG00000035253	1:1	554231
ENSMUSG00000022205	ENSDARG00000053446	1:1	530102
ENSMUSG00000022201	ENSDARG00000027109	1:1	851410
ENSMUSG00000039458	ENSDARG00000059817	1:1	496536
ENSMUSG00000022200	ENSDARG00000044225	1:m	
ENSMUSG00000022200	ENSDARG00000052851	1:m	726717
ENSMUSG00000022197	ENSDARG00000059801	1:1	785968
ENSMUSG00000022195	ENSDARG00000011723	1:1	842526
ENSMUSG00000022191	ENSDARG00000055563	1:1	548301
ENSMUSG00000039385	ENSDARG00000055843	n:1	
ENSMUSG00000025370	ENSDARG00000055843	n:1	
ENSMUSG00000022321	ENSDARG00000055843	n:1	
ENSMUSG00000040452	ENSDARG00000078226	1:1	553457
ENSMUSG00000047565	ENSDARG00000058390	n:m	844017
ENSMUSG00000047565	ENSDARG00000058352	n:m	
ENSMUSG00000045763	ENSDARG00000053358	1:1	551413
ENSMUSG00000022272	ENSDARG00000074143	1:1	559539
ENSMUSG00000022270	ENSDARG00000079059	1:1	831164
ENSMUSG00000052253	ENSDARG00000014692	1:1	857281
ENSMUSG00000043556	ENSDARG00000062251	1:1	548213
ENSMUSG00000022265	ENSDARG00000071724	1:m	
ENSMUSG00000022265	ENSDARG00000014969	1:m	670443
ENSMUSG00000046034	ENSDARG00000079886	1:1	
ENSMUSG00000022263	ENSDARG00000000370	1:1	776857
ENSMUSG00000022262	ENSDARG00000087373	1:1	529434
ENSMUSG00000022240	ENSDARG00000003779	1:1	
ENSMUSG00000022237	ENSDARG00000058357	1:1	309164
ENSMUSG00000022236	ENSDARG00000058370	1:1	516805
ENSMUSG00000039100	ENSDARG00000076066	1:1	685719
ENSMUSG00000022235	ENSDARG00000073786	1:1	826805
ENSMUSG00000022234	ENSDARG00000045399	1:1	636212
ENSMUSG00000039065	ENSDARG00000033451	1:1	798830
ENSMUSG00000022231	ENSDARG00000058821	1:1	822266
ENSMUSG00000022261	ENSDARG00000002731	1:1	
ENSMUSG00000022255	ENSDARG00000004939	1:m	
ENSMUSG00000022255	ENSDARG00000014159	1:m	807333
ENSMUSG00000022257	ENSDARG00000035870	1:1	735121
ENSMUSG00000058600	ENSDARG00000035871	1:1	852017
ENSMUSG00000022323	ENSDARG00000035882	1:1	841613
ENSMUSG00000022329	ENSDARG00000011312	1:1	547940
ENSMUSG00000022330	ENSDARG00000038006	1:1	
ENSMUSG00000014313	ENSDARG00000038577	1:1	
ENSMUSG00000048230	ENSDARG00000104186	1:1	810409
ENSMUSG00000045996	ENSDARG00000075616	1:1	689055
ENSMUSG00000022280	ENSDARG00000012040	1:1	823642
ENSMUSG00000048307	ENSDARG00000044328	1:m	
ENSMUSG00000048307	ENSDARG00000015780	1:m	801475
ENSMUSG00000022283	ENSDARG00000017219	1:m	
ENSMUSG00000022283	ENSDARG00000021140	1:m	547768
ENSMUSG00000022285	ENSDARG00000013078	n:m	499498
ENSMUSG00000022285	ENSDARG00000075758	n:m	
ENSMUSG00000062397	ENSDARG00000056307	1:m	514934
ENSMUSG00000062397	ENSDARG00000035678	1:m	
ENSMUSG00000022286	ENSDARG00000061974	1:1	753166
ENSMUSG00000051359	ENSDARG00000070688	1:1	551232
ENSMUSG00000037487	ENSDARG00000018192	1:1	818934
ENSMUSG00000037458	ENSDARG00000052789	1:m	
ENSMUSG00000037458	ENSDARG00000035869	1:m	
ENSMUSG00000022295	ENSDARG00000023967	1:1	789799
ENSMUSG00000054196	ENSDARG00000001971	1:m	
ENSMUSG00000054196	ENSDARG00000087198	1:m	795291
ENSMUSG00000022299	ENSDARG00000026835	1:1	497994
ENSMUSG00000022300	ENSDARG00000002267	1:1	865108
ENSMUSG00000022303	ENSDARG00000078347	1:1	265659
ENSMUSG00000022304	ENSDARG00000079543	1:1	817086
ENSMUSG00000022305	ENSDARG00000098845	1:1	824620
ENSMUSG00000022306	ENSDARG00000040123	1:1	802328
ENSMUSG00000022307	ENSDARG00000063310	1:1	770994
ENSMUSG00000042895	ENSDARG00000033854	1:1	793982
ENSMUSG00000022309	ENSDARG00000030364	1:1	553679
ENSMUSG00000051920	ENSDARG00000079570	1:1	844715
ENSMUSG00000022336	ENSDARG00000090697	1:m	
ENSMUSG00000022336	ENSDARG00000002549	1:m	864619
ENSMUSG00000022337	ENSDARG00000003308	1:1	743401
ENSMUSG00000054409	ENSDARG00000091623	1:1	834961
ENSMUSG00000038760	ENSDARG00000076546	1:1	793711
ENSMUSG00000038736	ENSDARG00000036158	1:1	793644
ENSMUSG00000022338	ENSDARG00000070046	1:1	719310
ENSMUSG00000038725	ENSDARG00000091116	1:m	816869
ENSMUSG00000038725	ENSDARG00000040004	1:m	
ENSMUSG00000022339	ENSDARG00000040021	1:1	848209
ENSMUSG00000022340	ENSDARG00000060112	1:1	826609
ENSMUSG00000022342	ENSDARG00000070092	1:1	710853
ENSMUSG00000022311	ENSDARG00000077920	1:1	774523
ENSMUSG00000038679	ENSDARG00000104082	1:1	807420
ENSMUSG00000022312	ENSDARG00000102452	1:m	
ENSMUSG00000022312	ENSDARG00000036116	1:m	864406
ENSMUSG00000022313	ENSDARG00000105012	1:1	849937
ENSMUSG00000022314	ENSDARG00000035655	1:1	548014
ENSMUSG00000038622	ENSDARG00000101115	1:1	793694
ENSMUSG00000061731	ENSDARG00000103155	1:1	
ENSMUSG00000058656	ENSDARG00000069973	1:1	823465
ENSMUSG00000038591	ENSDARG00000104752	1:1	831925
ENSMUSG00000024479	ENSDARG00000077637	1:1	803204
ENSMUSG00000022425	ENSDARG00000011257	1:1	814041
ENSMUSG00000037343	ENSDARG00000102307	1:1	850674
ENSMUSG00000022422	ENSDARG00000019907	1:1	835901
ENSMUSG00000022419	ENSDARG00000040930	1:1	804556
ENSMUSG00000022371	ENSDARG00000025320	1:1	
ENSMUSG00000022370	ENSDARG00000056903	1:1	863276
ENSMUSG00000022369	ENSDARG00000090447	1:1	798807
ENSMUSG00000060429	ENSDARG00000041729	1:1	790823
ENSMUSG00000022367	ENSDARG00000036987	1:1	677238
ENSMUSG00000071757	ENSDARG00000055162	1:1	790167
ENSMUSG00000022365	ENSDARG00000021905	1:1	689448
ENSMUSG00000022364	ENSDARG00000074623	1:1	815939
ENSMUSG00000101892	ENSDARG00000010738	1:1	796510
ENSMUSG00000022360	ENSDARG00000076590	1:1	828353
ENSMUSG00000022359	ENSDARG00000070403	1:1	735018
ENSMUSG00000022358	ENSDARG00000040277	1:1	838962
ENSMUSG00000022357	ENSDARG00000040278	1:m	
ENSMUSG00000022357	ENSDARG00000031383	1:m	556556
ENSMUSG00000037119	ENSDARG00000003320	1:1	641390
ENSMUSG00000037106	ENSDARG00000019316	1:1	778034
ENSMUSG00000062373	ENSDARG00000076393	1:1	
ENSMUSG00000037085	ENSDARG00000060338	1:1	832207
ENSMUSG00000037075	ENSDARG00000036929	1:1	814184
ENSMUSG00000050891	ENSDARG00000036924	1:1	835751
ENSMUSG00000022354	ENSDARG00000041314	1:1	
ENSMUSG00000022351	ENSDARG00000079946	1:m	646739
ENSMUSG00000022351	ENSDARG00000063319	1:m	
ENSMUSG00000022350	ENSDARG00000101543	1:1	641383
ENSMUSG00000059586	ENSDARG00000076379	1:1	658765
ENSMUSG00000032501	ENSDARG00000076142	1:1	833319
ENSMUSG00000072568	ENSDARG00000032859	1:1	753291
ENSMUSG00000022346	ENSDARG00000045695	1:1	765418
ENSMUSG00000022378	ENSDARG00000045417	1:1	703491
ENSMUSG00000022377	ENSDARG00000039729	1:m	734463
ENSMUSG00000022377	ENSDARG00000029463	1:m	
ENSMUSG00000022376	ENSDARG00000031783	1:1	501068
ENSMUSG00000015002	ENSDARG00000005163	1:1	516361
ENSMUSG00000022375	ENSDARG00000053318	1:1	547488
ENSMUSG00000072501	ENSDARG00000017427	1:1	836691
ENSMUSG00000053469	ENSDARG00000020084	1:1	265992
ENSMUSG00000022372	ENSDARG00000100287	1:m	
ENSMUSG00000022372	ENSDARG00000054340	1:m	799538
ENSMUSG00000005124	ENSDARG00000076685	1:m	
ENSMUSG00000005124	ENSDARG00000054331	1:m	762176
ENSMUSG00000005125	ENSDARG00000032849	1:1	843909
ENSMUSG00000013846	ENSDARG00000038533	1:m	
ENSMUSG00000013846	ENSDARG00000079654	1:m	776348
ENSMUSG00000013846	ENSDARG00000079310	1:m	
ENSMUSG00000022335	ENSDARG00000077987	1:1	853526
ENSMUSG00000022332	ENSDARG00000101020	1:1	555886
ENSMUSG00000036800	ENSDARG00000105121	1:1	855170
ENSMUSG00000079022	ENSDARG00000101592	1:1	551786
ENSMUSG00000047921	ENSDARG00000099118	1:1	739619
ENSMUSG00000068391	ENSDARG00000042337	1:1	551199
ENSMUSG00000036698	ENSDARG00000061268	1:1	542653
ENSMUSG00000022607	ENSDARG00000004672	1:1	842739
ENSMUSG00000036661	ENSDARG00000013153	1:m	
ENSMUSG00000036661	ENSDARG00000078797	1:m	769739
ENSMUSG00000079020	ENSDARG00000104981	1:1	
ENSMUSG00000045281	ENSDARG00000077427	1:1	783468
ENSMUSG00000059895	ENSDARG00000039997	1:1	
ENSMUSG00000034730	ENSDARG00000075133	1:1	554644
ENSMUSG00000056665	ENSDARG00000103914	1:m	753545
ENSMUSG00000056665	ENSDARG00000100260	1:m	
ENSMUSG00000075604	ENSDARG00000042014	n:1	819661
ENSMUSG00000022589	ENSDARG00000042014	n:1	
ENSMUSG00000047003	ENSDARG00000079631	1:1	
ENSMUSG00000022580	ENSDARG00000052454	1:1	792213
ENSMUSG00000047591	ENSDARG00000044155	1:1	270710
ENSMUSG00000022574	ENSDARG00000027930	1:1	862702
ENSMUSG00000055762	ENSDARG00000030053	1:m	
ENSMUSG00000055762	ENSDARG00000102291	1:m	
ENSMUSG00000022571	ENSDARG00000015236	1:1	844488
ENSMUSG00000022570	ENSDARG00000042661	1:m	
ENSMUSG00000022570	ENSDARG00000039666	1:m	546862
ENSMUSG00000022570	ENSDARG00000039669	1:m	
ENSMUSG00000063704	ENSDARG00000100822	1:1	550813
ENSMUSG00000046761	ENSDARG00000060830	1:1	826925
ENSMUSG00000022568	ENSDARG00000000861	1:1	
ENSMUSG00000002524	ENSDARG00000032175	1:1	548231
ENSMUSG00000075590	ENSDARG00000009626	1:m	
ENSMUSG00000075590	ENSDARG00000032951	1:m	557956
ENSMUSG00000115388	ENSDARG00000096359	1:1	686171
ENSMUSG00000022565	ENSDARG00000021987	1:m	782631
ENSMUSG00000022565	ENSDARG00000062590	1:m	
ENSMUSG00000022564	ENSDARG00000101317	1:1	857144
ENSMUSG00000022562	ENSDARG00000045123	1:1	
ENSMUSG00000034259	ENSDARG00000103432	1:1	847594
ENSMUSG00000022561	ENSDARG00000074571	1:1	843648
ENSMUSG00000022551	ENSDARG00000038075	1:1	864514
ENSMUSG00000022552	ENSDARG00000076995	1:1	830295
ENSMUSG00000022553	ENSDARG00000013122	1:m	808708
ENSMUSG00000022553	ENSDARG00000036489	1:m	
ENSMUSG00000022554	ENSDARG00000101259	1:1	847353
ENSMUSG00000022558	ENSDARG00000016573	1:1	705890
ENSMUSG00000022557	ENSDARG00000063627	1:1	865103
ENSMUSG00000034161	ENSDARG00000011635	1:1	
ENSMUSG00000022556	ENSDARG00000008818	1:1	305335
ENSMUSG00000022555	ENSDARG00000103503	1:1	747426
ENSMUSG00000048385	ENSDARG00000040214	1:m	
ENSMUSG00000048385	ENSDARG00000100821	1:m	553450
ENSMUSG00000022559	ENSDARG00000077227	1:1	693564
ENSMUSG00000022560	ENSDARG00000102035	1:1	796190
ENSMUSG00000022550	ENSDARG00000075405	1:1	777444
ENSMUSG00000034022	ENSDARG00000034178	1:1	685698
ENSMUSG00000059323	ENSDARG00000103203	1:1	827863
ENSMUSG00000053929	ENSDARG00000061057	1:1	263048
ENSMUSG00000033837	ENSDARG00000055630	1:1	810393
ENSMUSG00000033819	ENSDARG00000076980	1:1	553884
ENSMUSG00000022546	ENSDARG00000055642	1:m	
ENSMUSG00000022546	ENSDARG00000019541	1:m	
ENSMUSG00000019080	ENSDARG00000093253	1:1	546883
ENSMUSG00000033762	ENSDARG00000077516	1:1	
ENSMUSG00000033707	ENSDARG00000101704	1:1	551944
ENSMUSG00000055041	ENSDARG00000029660	1:1	805532
ENSMUSG00000003970	ENSDARG00000014867	1:1	865813
ENSMUSG00000054967	ENSDARG00000107624	1:1	
ENSMUSG00000018893	ENSDARG00000031952	1:1	790207
ENSMUSG00000033565	ENSDARG00000052182	1:1	803004
ENSMUSG00000010601	ENSDARG00000068030	1:1	
ENSMUSG00000068252	ENSDARG00000007425	n:m	
ENSMUSG00000068252	ENSDARG00000023185	n:m	
ENSMUSG00000091650	ENSDARG00000007425	n:m	
ENSMUSG00000091650	ENSDARG00000023185	n:m	
ENSMUSG00000044309	ENSDARG00000007425	n:m	
ENSMUSG00000044309	ENSDARG00000023185	n:m	
ENSMUSG00000050014	ENSDARG00000007425	n:m	
ENSMUSG00000050014	ENSDARG00000023185	n:m	686388
ENSMUSG00000071716	ENSDARG00000007425	n:m	
ENSMUSG00000071716	ENSDARG00000023185	n:m	
ENSMUSG00000068246	ENSDARG00000007425	n:m	
ENSMUSG00000068246	ENSDARG00000023185	n:m	
ENSMUSG00000056656	ENSDARG00000007425	n:m	
ENSMUSG00000056656	ENSDARG00000023185	n:m	
ENSMUSG00000022443	ENSDARG00000001014	1:1	549257
ENSMUSG00000005354	ENSDARG00000034777	1:1	780365
ENSMUSG00000016552	ENSDARG00000061354	1:1	766934
ENSMUSG00000016554	ENSDARG00000021257	1:1	864430
ENSMUSG00000019146	ENSDARG00000032565	1:m	736860
ENSMUSG00000019146	ENSDARG00000102376	1:m	
ENSMUSG00000016637	ENSDARG00000099279	1:1	522132
ENSMUSG00000005716	ENSDARG00000034705	1:m	
ENSMUSG00000005716	ENSDARG00000009311	1:m	789889
ENSMUSG00000071715	ENSDARG00000040812	1:1	808258
ENSMUSG00000071711	ENSDARG00000093235	1:1	767850
ENSMUSG00000033287	ENSDARG00000056050	1:1	
ENSMUSG00000016942	ENSDARG00000102260	1:1	552845
ENSMUSG00000068227	ENSDARG00000075720	1:1	830213
ENSMUSG00000022440	ENSDARG00000055175	1:1	
ENSMUSG00000044933	ENSDARG00000103662	1:1	657382
ENSMUSG00000033220	ENSDARG00000038010	1:1	522129
ENSMUSG00000018008	ENSDARG00000038011	1:1	
ENSMUSG00000018169	ENSDARG00000042925	1:1	828033
ENSMUSG00000043501	ENSDARG00000054942	1:m	
ENSMUSG00000043501	ENSDARG00000088711	1:m	
