rat_ID	rat_bis_ID	orthotype	OMAgroup
ENSRNOG00000010629	ENSRNOG00000010629	1:1	
ENSRNOG00000003998	ENSRNOG00000003998	1:1	
ENSRNOG00000019459	ENSRNOG00000019459	1:1	
ENSRNOG00000023383	ENSRNOG00000023383	1:1	
ENSRNOG00000017297	ENSRNOG00000017297	1:1	
ENSRNOG00000017297	ENSRNOG00000017297	1:1	
ENSRNOG00000012638	ENSRNOG00000012638	1:1	
ENSRNOG00000012156	ENSRNOG00000012156	1:1	
ENSRNOG00000015079	ENSRNOG00000015079	1:1	
ENSRNOG00000000302	ENSRNOG00000000302	1:1	
ENSRNOG00000014571	ENSRNOG00000014571	1:1	
ENSRNOG00000018153	ENSRNOG00000018153	1:1	
ENSRNOG00000037627	ENSRNOG00000037627	1:1	
ENSRNOG00000002630	ENSRNOG00000002630	1:1	
ENSRNOG00000007457	ENSRNOG00000007457	1:1	
ENSRNOG00000007739	ENSRNOG00000007739	1:1	
ENSRNOG00000027990	ENSRNOG00000027990	1:1	
ENSRNOG00000057626	ENSRNOG00000057626	1:1	
ENSRNOG00000059744	ENSRNOG00000059744	1:1	
ENSRNOG00000016152	ENSRNOG00000016152	1:1	
ENSRNOG00000003125	ENSRNOG00000003125	1:1	
ENSRNOG00000028616	ENSRNOG00000028616	1:1	
ENSRNOG00000000593	ENSRNOG00000000593	1:1	
ENSRNOG00000018809	ENSRNOG00000018809	1:1	
ENSRNOG00000006976	ENSRNOG00000006976	1:1	
ENSRNOG00000009799	ENSRNOG00000009799	1:1	
ENSRNOG00000006420	ENSRNOG00000006420	1:1	
ENSRNOG00000024813	ENSRNOG00000024813	1:1	
ENSRNOG00000021614	ENSRNOG00000021614	1:1	
ENSRNOG00000001205	ENSRNOG00000001205	1:1	
ENSRNOG00000061876	ENSRNOG00000061876	1:1	
ENSRNOG00000023130	ENSRNOG00000023130	1:1	
ENSRNOG00000010461	ENSRNOG00000010461	1:1	
ENSRNOG00000004103	ENSRNOG00000004103	1:1	
ENSRNOG00000010550	ENSRNOG00000010550	1:1	
ENSRNOG00000005052	ENSRNOG00000005052	1:1	
ENSRNOG00000003786	ENSRNOG00000003786	1:1	
ENSRNOG00000012918	ENSRNOG00000012918	1:1	
ENSRNOG00000022922	ENSRNOG00000022922	1:1	
ENSRNOG00000000420	ENSRNOG00000000420	1:1	
ENSRNOG00000009713	ENSRNOG00000009713	1:1	
ENSRNOG00000060614	ENSRNOG00000060614	1:1	
ENSRNOG00000036664	ENSRNOG00000036664	1:1	
ENSRNOG00000028238	ENSRNOG00000028238	1:1	
ENSRNOG00000030449	ENSRNOG00000030449	1:1	
ENSRNOG00000005841	ENSRNOG00000005841	1:1	
ENSRNOG00000059500	ENSRNOG00000059500	1:1	
ENSRNOG00000013720	ENSRNOG00000013720	1:1	
ENSRNOG00000061246	ENSRNOG00000061246	1:1	
ENSRNOG00000018671	ENSRNOG00000018671	1:1	
ENSRNOG00000009225	ENSRNOG00000009225	1:1	
ENSRNOG00000019982	ENSRNOG00000019982	1:1	
ENSRNOG00000022771	ENSRNOG00000022771	1:1	
ENSRNOG00000008209	ENSRNOG00000008209	1:1	
ENSRNOG00000047213	ENSRNOG00000047213	1:1	
ENSRNOG00000015217	ENSRNOG00000015217	1:1	
ENSRNOG00000000095	ENSRNOG00000000095	1:1	
ENSRNOG00000003723	ENSRNOG00000003723	1:1	
ENSRNOG00000004205	ENSRNOG00000004205	1:1	
ENSRNOG00000043503	ENSRNOG00000043503	1:1	
ENSRNOG00000004016	ENSRNOG00000004016	1:1	
ENSRNOG00000002950	ENSRNOG00000002950	1:1	
ENSRNOG00000042253	ENSRNOG00000042253	1:1	
ENSRNOG00000006916	ENSRNOG00000006916	1:1	
ENSRNOG00000027818	ENSRNOG00000027818	1:1	
ENSRNOG00000008246	ENSRNOG00000008246	1:1	
ENSRNOG00000008376	ENSRNOG00000008376	1:1	
ENSRNOG00000005258	ENSRNOG00000005258	1:1	
ENSRNOG00000018168	ENSRNOG00000018168	1:1	
ENSRNOG00000024492	ENSRNOG00000024492	1:1	
ENSRNOG00000046330	ENSRNOG00000046330	1:1	
ENSRNOG00000005736	ENSRNOG00000005736	1:1	
ENSRNOG00000033134	ENSRNOG00000033134	1:1	
ENSRNOG00000049629	ENSRNOG00000049629	1:1	
ENSRNOG00000008605	ENSRNOG00000008605	1:1	
ENSRNOG00000004829	ENSRNOG00000004829	1:1	
ENSRNOG00000029785	ENSRNOG00000029785	1:1	
ENSRNOG00000003177	ENSRNOG00000003177	1:1	
ENSRNOG00000042620	ENSRNOG00000042620	1:1	
ENSRNOG00000051623	ENSRNOG00000051623	1:1	
ENSRNOG00000014531	ENSRNOG00000014531	1:1	
ENSRNOG00000005298	ENSRNOG00000005298	1:1	
ENSRNOG00000055648	ENSRNOG00000055648	1:1	
ENSRNOG00000000392	ENSRNOG00000000392	1:1	
ENSRNOG00000006770	ENSRNOG00000006770	1:1	
ENSRNOG00000014201	ENSRNOG00000014201	1:1	
ENSRNOG00000028211	ENSRNOG00000028211	1:1	
ENSRNOG00000027012	ENSRNOG00000027012	1:1	
ENSRNOG00000011518	ENSRNOG00000011518	1:1	
ENSRNOG00000031325	ENSRNOG00000031325	1:1	
ENSRNOG00000010846	ENSRNOG00000010846	1:1	
ENSRNOG00000009289	ENSRNOG00000009289	1:1	
ENSRNOG00000051382	ENSRNOG00000051382	1:1	
ENSRNOG00000010131	ENSRNOG00000010131	1:1	
ENSRNOG00000061012	ENSRNOG00000061012	1:1	
ENSRNOG00000015852	ENSRNOG00000015852	1:1	
ENSRNOG00000060979	ENSRNOG00000060979	1:1	
ENSRNOG00000028017	ENSRNOG00000028017	1:1	
ENSRNOG00000011567	ENSRNOG00000011567	1:1	
ENSRNOG00000004496	ENSRNOG00000004496	1:1	
ENSRNOG00000011260	ENSRNOG00000011260	1:1	
ENSRNOG00000039587	ENSRNOG00000039587	1:1	
ENSRNOG00000010698	ENSRNOG00000010698	1:1	
ENSRNOG00000017913	ENSRNOG00000017913	1:1	
ENSRNOG00000020915	ENSRNOG00000020915	1:1	
ENSRNOG00000012771	ENSRNOG00000012771	1:1	
ENSRNOG00000018931	ENSRNOG00000018931	1:1	
ENSRNOG00000013328	ENSRNOG00000013328	1:1	
ENSRNOG00000018666	ENSRNOG00000018666	1:1	
ENSRNOG00000015977	ENSRNOG00000015977	1:1	
ENSRNOG00000009332	ENSRNOG00000009332	1:1	
ENSRNOG00000016942	ENSRNOG00000016942	1:1	
ENSRNOG00000014791	ENSRNOG00000014791	1:1	
ENSRNOG00000018549	ENSRNOG00000018549	1:1	
ENSRNOG00000012604	ENSRNOG00000012604	1:1	
ENSRNOG00000003048	ENSRNOG00000003048	1:1	
ENSRNOG00000021137	ENSRNOG00000021137	1:1	
ENSRNOG00000009377	ENSRNOG00000009377	1:1	
ENSRNOG00000008945	ENSRNOG00000008945	1:1	
ENSRNOG00000008945	ENSRNOG00000008945	1:1	
ENSRNOG00000012868	ENSRNOG00000012868	1:1	
ENSRNOG00000007350	ENSRNOG00000007350	1:1	
ENSRNOG00000017692	ENSRNOG00000017692	1:1	
ENSRNOG00000012543	ENSRNOG00000012543	1:1	
ENSRNOG00000021088	ENSRNOG00000021088	1:1	
ENSRNOG00000018599	ENSRNOG00000018599	1:1	
ENSRNOG00000019463	ENSRNOG00000019463	1:1	
ENSRNOG00000007300	ENSRNOG00000007300	1:1	
ENSRNOG00000050180	ENSRNOG00000050180	1:1	
ENSRNOG00000026840	ENSRNOG00000026840	1:1	
ENSRNOG00000054838	ENSRNOG00000054838	1:1	
ENSRNOG00000001035	ENSRNOG00000001035	1:1	
ENSRNOG00000024363	ENSRNOG00000024363	1:1	
ENSRNOG00000026517	ENSRNOG00000026517	1:1	
ENSRNOG00000019394	ENSRNOG00000019394	1:1	
ENSRNOG00000000108	ENSRNOG00000000108	1:1	
ENSRNOG00000011994	ENSRNOG00000011994	1:1	
ENSRNOG00000049385	ENSRNOG00000049385	1:1	
ENSRNOG00000020710	ENSRNOG00000020710	1:1	
ENSRNOG00000043060	ENSRNOG00000043060	1:1	
ENSRNOG00000038973	ENSRNOG00000038973	1:1	
ENSRNOG00000021245	ENSRNOG00000021245	1:1	
ENSRNOG00000036695	ENSRNOG00000036695	1:1	
ENSRNOG00000025629	ENSRNOG00000025629	1:1	
ENSRNOG00000018069	ENSRNOG00000018069	1:1	
ENSRNOG00000001700	ENSRNOG00000001700	1:1	
ENSRNOG00000015122	ENSRNOG00000015122	1:1	
ENSRNOG00000005828	ENSRNOG00000005828	1:1	
ENSRNOG00000027797	ENSRNOG00000027797	1:1	
ENSRNOG00000016281	ENSRNOG00000016281	1:1	
ENSRNOG00000015461	ENSRNOG00000015461	1:1	
ENSRNOG00000018309	ENSRNOG00000018309	1:1	
ENSRNOG00000014303	ENSRNOG00000014303	1:1	
ENSRNOG00000003211	ENSRNOG00000003211	1:1	
ENSRNOG00000001733	ENSRNOG00000001733	1:1	
ENSRNOG00000011279	ENSRNOG00000011279	1:1	
ENSRNOG00000013852	ENSRNOG00000013852	1:1	
ENSRNOG00000001185	ENSRNOG00000001185	1:1	
ENSRNOG00000059016	ENSRNOG00000059016	1:1	
ENSRNOG00000011839	ENSRNOG00000011839	1:1	
ENSRNOG00000010748	ENSRNOG00000010748	1:1	
ENSRNOG00000001062	ENSRNOG00000001062	1:1	
ENSRNOG00000016367	ENSRNOG00000016367	1:1	
ENSRNOG00000015334	ENSRNOG00000015334	1:1	
ENSRNOG00000010474	ENSRNOG00000010474	1:1	
ENSRNOG00000010409	ENSRNOG00000010409	1:1	
ENSRNOG00000014516	ENSRNOG00000014516	1:1	
ENSRNOG00000045952	ENSRNOG00000045952	1:1	
ENSRNOG00000001888	ENSRNOG00000001888	1:1	
ENSRNOG00000014901	ENSRNOG00000014901	1:1	
ENSRNOG00000049681	ENSRNOG00000049681	1:1	
ENSRNOG00000011077	ENSRNOG00000011077	1:1	
ENSRNOG00000015385	ENSRNOG00000015385	1:1	
ENSRNOG00000000780	ENSRNOG00000000780	1:1	
ENSRNOG00000010986	ENSRNOG00000010986	1:1	
ENSRNOG00000032048	ENSRNOG00000032048	1:1	
ENSRNOG00000045558	ENSRNOG00000045558	1:1	
ENSRNOG00000011981	ENSRNOG00000011981	1:1	
ENSRNOG00000024482	ENSRNOG00000024482	1:1	
ENSRNOG00000000566	ENSRNOG00000000566	1:1	
ENSRNOG00000002851	ENSRNOG00000002851	1:1	
ENSRNOG00000002262	ENSRNOG00000002262	1:1	
ENSRNOG00000011307	ENSRNOG00000011307	1:1	
ENSRNOG00000026455	ENSRNOG00000026455	1:1	
ENSRNOG00000010085	ENSRNOG00000010085	1:1	
ENSRNOG00000007404	ENSRNOG00000007404	1:1	
ENSRNOG00000020601	ENSRNOG00000020601	1:1	
ENSRNOG00000028904	ENSRNOG00000028904	1:1	
ENSRNOG00000023020	ENSRNOG00000023020	1:1	
ENSRNOG00000020730	ENSRNOG00000020730	1:1	
ENSRNOG00000016234	ENSRNOG00000016234	1:1	
ENSRNOG00000032436	ENSRNOG00000032436	1:1	
ENSRNOG00000017724	ENSRNOG00000017724	1:1	
ENSRNOG00000007948	ENSRNOG00000007948	1:1	
ENSRNOG00000045670	ENSRNOG00000045670	1:1	
ENSRNOG00000029077	ENSRNOG00000029077	1:1	
ENSRNOG00000048237	ENSRNOG00000048237	1:1	
ENSRNOG00000024737	ENSRNOG00000024737	1:1	
ENSRNOG00000003847	ENSRNOG00000003847	1:1	
ENSRNOG00000004628	ENSRNOG00000004628	1:1	
ENSRNOG00000006139	ENSRNOG00000006139	1:1	
ENSRNOG00000001068	ENSRNOG00000001068	1:1	
ENSRNOG00000015583	ENSRNOG00000015583	1:1	
ENSRNOG00000020281	ENSRNOG00000020281	1:1	
ENSRNOG00000000523	ENSRNOG00000000523	1:1	
ENSRNOG00000014137	ENSRNOG00000014137	1:1	
ENSRNOG00000018564	ENSRNOG00000018564	1:1	
ENSRNOG00000020698	ENSRNOG00000020698	1:1	
ENSRNOG00000024142	ENSRNOG00000024142	1:1	
ENSRNOG00000006302	ENSRNOG00000006302	1:1	
ENSRNOG00000009886	ENSRNOG00000009886	1:1	
ENSRNOG00000003302	ENSRNOG00000003302	1:1	
ENSRNOG00000016603	ENSRNOG00000016603	1:1	
ENSRNOG00000003905	ENSRNOG00000003905	1:1	
ENSRNOG00000051948	ENSRNOG00000051948	1:1	
ENSRNOG00000019667	ENSRNOG00000019667	1:1	
ENSRNOG00000029260	ENSRNOG00000029260	1:1	
ENSRNOG00000010408	ENSRNOG00000010408	1:1	
ENSRNOG00000009398	ENSRNOG00000009398	1:1	
ENSRNOG00000043201	ENSRNOG00000043201	1:1	
ENSRNOG00000043143	ENSRNOG00000043143	1:1	
ENSRNOG00000018920	ENSRNOG00000018920	1:1	
ENSRNOG00000002579	ENSRNOG00000002579	1:1	
ENSRNOG00000004477	ENSRNOG00000004477	1:1	
ENSRNOG00000020693	ENSRNOG00000020693	1:1	
ENSRNOG00000002662	ENSRNOG00000002662	1:1	
ENSRNOG00000014832	ENSRNOG00000014832	1:1	
ENSRNOG00000012124	ENSRNOG00000012124	1:1	
ENSRNOG00000007478	ENSRNOG00000007478	1:1	
ENSRNOG00000009870	ENSRNOG00000009870	1:1	
ENSRNOG00000009275	ENSRNOG00000009275	1:1	
ENSRNOG00000003185	ENSRNOG00000003185	1:1	
ENSRNOG00000017265	ENSRNOG00000017265	1:1	
ENSRNOG00000004333	ENSRNOG00000004333	1:1	
ENSRNOG00000001689	ENSRNOG00000001689	1:1	
ENSRNOG00000012385	ENSRNOG00000012385	1:1	
ENSRNOG00000000858	ENSRNOG00000000858	1:1	
ENSRNOG00000011421	ENSRNOG00000011421	1:1	
ENSRNOG00000045765	ENSRNOG00000045765	1:1	
ENSRNOG00000011613	ENSRNOG00000011613	1:1	
ENSRNOG00000001647	ENSRNOG00000001647	1:1	
ENSRNOG00000008182	ENSRNOG00000008182	1:1	
ENSRNOG00000058658	ENSRNOG00000058658	1:1	
ENSRNOG00000016777	ENSRNOG00000016777	1:1	
ENSRNOG00000043006	ENSRNOG00000043006	1:1	
ENSRNOG00000007541	ENSRNOG00000007541	1:1	
ENSRNOG00000028556	ENSRNOG00000028556	1:1	
ENSRNOG00000007769	ENSRNOG00000007769	1:1	
ENSRNOG00000046984	ENSRNOG00000046984	1:1	
ENSRNOG00000020695	ENSRNOG00000020695	1:1	
ENSRNOG00000027707	ENSRNOG00000027707	1:1	
ENSRNOG00000008994	ENSRNOG00000008994	1:1	
ENSRNOG00000000867	ENSRNOG00000000867	1:1	
ENSRNOG00000050190	ENSRNOG00000050190	1:1	
ENSRNOG00000006500	ENSRNOG00000006500	1:1	
ENSRNOG00000005326	ENSRNOG00000005326	1:1	
ENSRNOG00000022910	ENSRNOG00000022910	1:1	
ENSRNOG00000020551	ENSRNOG00000020551	1:1	
ENSRNOG00000048309	ENSRNOG00000048309	1:1	
ENSRNOG00000003259	ENSRNOG00000003259	1:1	
ENSRNOG00000005377	ENSRNOG00000005377	1:1	
ENSRNOG00000031328	ENSRNOG00000031328	1:1	
ENSRNOG00000017833	ENSRNOG00000017833	1:1	
ENSRNOG00000001293	ENSRNOG00000001293	1:1	
ENSRNOG00000019734	ENSRNOG00000019734	1:1	
ENSRNOG00000017646	ENSRNOG00000017646	1:1	
ENSRNOG00000061857	ENSRNOG00000061857	1:1	
ENSRNOG00000042274	ENSRNOG00000042274	1:1	
ENSRNOG00000002218	ENSRNOG00000002218	1:1	
ENSRNOG00000014204	ENSRNOG00000014204	1:1	
ENSRNOG00000008613	ENSRNOG00000008613	1:1	
ENSRNOG00000015090	ENSRNOG00000015090	1:1	
ENSRNOG00000010719	ENSRNOG00000010719	1:1	
ENSRNOG00000033663	ENSRNOG00000033663	1:1	
ENSRNOG00000010636	ENSRNOG00000010636	1:1	
ENSRNOG00000008921	ENSRNOG00000008921	1:1	
ENSRNOG00000014490	ENSRNOG00000014490	1:1	
ENSRNOG00000024402	ENSRNOG00000024402	1:1	
ENSRNOG00000051307	ENSRNOG00000051307	1:1	
ENSRNOG00000016795	ENSRNOG00000016795	1:1	
ENSRNOG00000020975	ENSRNOG00000020975	1:1	
ENSRNOG00000021168	ENSRNOG00000021168	1:1	
ENSRNOG00000024818	ENSRNOG00000024818	1:1	
ENSRNOG00000019363	ENSRNOG00000019363	1:1	
ENSRNOG00000006995	ENSRNOG00000006995	1:1	
ENSRNOG00000053828	ENSRNOG00000053828	1:1	
ENSRNOG00000021478	ENSRNOG00000021478	1:1	
ENSRNOG00000012594	ENSRNOG00000012594	1:1	
ENSRNOG00000005765	ENSRNOG00000005765	1:1	
ENSRNOG00000003026	ENSRNOG00000003026	1:1	
ENSRNOG00000047314	ENSRNOG00000047314	1:1	
ENSRNOG00000046245	ENSRNOG00000046245	1:1	
ENSRNOG00000014155	ENSRNOG00000014155	1:1	
ENSRNOG00000010849	ENSRNOG00000010849	1:1	
ENSRNOG00000013186	ENSRNOG00000013186	1:1	
ENSRNOG00000020067	ENSRNOG00000020067	1:1	
ENSRNOG00000047491	ENSRNOG00000047491	1:1	
ENSRNOG00000012934	ENSRNOG00000012934	1:1	
ENSRNOG00000006146	ENSRNOG00000006146	1:1	
ENSRNOG00000000525	ENSRNOG00000000525	1:1	
ENSRNOG00000011659	ENSRNOG00000011659	1:1	
ENSRNOG00000034107	ENSRNOG00000034107	1:1	
ENSRNOG00000023271	ENSRNOG00000023271	1:1	
ENSRNOG00000023576	ENSRNOG00000023576	1:1	
ENSRNOG00000003120	ENSRNOG00000003120	1:1	
ENSRNOG00000029079	ENSRNOG00000029079	1:1	
ENSRNOG00000050742	ENSRNOG00000050742	1:1	
ENSRNOG00000033316	ENSRNOG00000033316	1:1	
ENSRNOG00000054775	ENSRNOG00000054775	1:1	
ENSRNOG00000018336	ENSRNOG00000018336	1:1	
ENSRNOG00000021007	ENSRNOG00000021007	1:1	
ENSRNOG00000053269	ENSRNOG00000053269	1:1	
ENSRNOG00000014030	ENSRNOG00000014030	1:1	
ENSRNOG00000015097	ENSRNOG00000015097	1:1	
ENSRNOG00000017085	ENSRNOG00000017085	1:1	
ENSRNOG00000013429	ENSRNOG00000013429	1:1	
ENSRNOG00000011704	ENSRNOG00000011704	1:1	
ENSRNOG00000015912	ENSRNOG00000015912	1:1	
ENSRNOG00000006238	ENSRNOG00000006238	1:1	
ENSRNOG00000013971	ENSRNOG00000013971	1:1	
ENSRNOG00000003174	ENSRNOG00000003174	1:1	
ENSRNOG00000027161	ENSRNOG00000027161	1:1	
ENSRNOG00000013919	ENSRNOG00000013919	1:1	
ENSRNOG00000022273	ENSRNOG00000022273	1:1	
ENSRNOG00000016980	ENSRNOG00000016980	1:1	
ENSRNOG00000005353	ENSRNOG00000005353	1:1	
ENSRNOG00000021399	ENSRNOG00000021399	1:1	
ENSRNOG00000014727	ENSRNOG00000014727	1:1	
ENSRNOG00000004259	ENSRNOG00000004259	1:1	
ENSRNOG00000000112	ENSRNOG00000000112	1:1	
ENSRNOG00000012357	ENSRNOG00000012357	1:1	
ENSRNOG00000006800	ENSRNOG00000006800	1:1	
ENSRNOG00000019451	ENSRNOG00000019451	1:1	
ENSRNOG00000009785	ENSRNOG00000009785	1:1	
ENSRNOG00000039265	ENSRNOG00000039265	1:1	
ENSRNOG00000009574	ENSRNOG00000009574	1:1	
ENSRNOG00000060337	ENSRNOG00000060337	1:1	
ENSRNOG00000020847	ENSRNOG00000020847	1:1	
ENSRNOG00000003121	ENSRNOG00000003121	1:1	
ENSRNOG00000004972	ENSRNOG00000004972	1:1	
ENSRNOG00000001769	ENSRNOG00000001769	1:1	
ENSRNOG00000036839	ENSRNOG00000036839	1:1	
ENSRNOG00000008279	ENSRNOG00000008279	1:1	
ENSRNOG00000052637	ENSRNOG00000052637	1:1	
ENSRNOG00000008362	ENSRNOG00000008362	1:1	
ENSRNOG00000042833	ENSRNOG00000042833	1:1	
ENSRNOG00000010727	ENSRNOG00000010727	1:1	
ENSRNOG00000023322	ENSRNOG00000023322	1:1	
ENSRNOG00000012323	ENSRNOG00000012323	1:1	
ENSRNOG00000025274	ENSRNOG00000025274	1:1	
ENSRNOG00000018176	ENSRNOG00000018176	1:1	
ENSRNOG00000007884	ENSRNOG00000007884	1:1	
ENSRNOG00000011008	ENSRNOG00000011008	1:1	
ENSRNOG00000018456	ENSRNOG00000018456	1:1	
ENSRNOG00000003980	ENSRNOG00000003980	1:1	
ENSRNOG00000006587	ENSRNOG00000006587	1:1	
ENSRNOG00000057290	ENSRNOG00000057290	1:1	
ENSRNOG00000018279	ENSRNOG00000018279	1:1	
ENSRNOG00000017215	ENSRNOG00000017215	1:1	
ENSRNOG00000008459	ENSRNOG00000008459	1:1	
ENSRNOG00000019529	ENSRNOG00000019529	1:1	
ENSRNOG00000016686	ENSRNOG00000016686	1:1	
ENSRNOG00000013011	ENSRNOG00000013011	1:1	
ENSRNOG00000029941	ENSRNOG00000029941	1:1	
ENSRNOG00000008048	ENSRNOG00000008048	1:1	
ENSRNOG00000054017	ENSRNOG00000054017	1:1	
ENSRNOG00000008965	ENSRNOG00000008965	1:1	
ENSRNOG00000031814	ENSRNOG00000031814	1:1	
ENSRNOG00000019330	ENSRNOG00000019330	1:1	
ENSRNOG00000047563	ENSRNOG00000047563	1:1	
ENSRNOG00000004093	ENSRNOG00000004093	1:1	
ENSRNOG00000021233	ENSRNOG00000021233	1:1	
ENSRNOG00000039091	ENSRNOG00000039091	1:1	
ENSRNOG00000048932	ENSRNOG00000048932	1:1	
ENSRNOG00000020495	ENSRNOG00000020495	1:1	
ENSRNOG00000016214	ENSRNOG00000016214	1:1	
ENSRNOG00000059166	ENSRNOG00000059166	1:1	
ENSRNOG00000017916	ENSRNOG00000017916	1:1	
ENSRNOG00000025592	ENSRNOG00000025592	1:1	
ENSRNOG00000033508	ENSRNOG00000033508	1:1	
ENSRNOG00000005623	ENSRNOG00000005623	1:1	
ENSRNOG00000006077	ENSRNOG00000006077	1:1	
ENSRNOG00000005504	ENSRNOG00000005504	1:1	
ENSRNOG00000019990	ENSRNOG00000019990	1:1	
ENSRNOG00000019490	ENSRNOG00000019490	1:1	
ENSRNOG00000014543	ENSRNOG00000014543	1:1	
ENSRNOG00000012192	ENSRNOG00000012192	1:1	
ENSRNOG00000011164	ENSRNOG00000011164	1:1	
ENSRNOG00000008174	ENSRNOG00000008174	1:1	
ENSRNOG00000008615	ENSRNOG00000008615	1:1	
ENSRNOG00000014079	ENSRNOG00000014079	1:1	
ENSRNOG00000022586	ENSRNOG00000022586	1:1	
ENSRNOG00000012236	ENSRNOG00000012236	1:1	
ENSRNOG00000000411	ENSRNOG00000000411	1:1	
ENSRNOG00000001106	ENSRNOG00000001106	1:1	
ENSRNOG00000029549	ENSRNOG00000029549	1:1	
ENSRNOG00000000522	ENSRNOG00000000522	1:1	
ENSRNOG00000029304	ENSRNOG00000029304	1:1	
ENSRNOG00000004910	ENSRNOG00000004910	1:1	
ENSRNOG00000049780	ENSRNOG00000049780	1:1	
ENSRNOG00000011879	ENSRNOG00000011879	1:1	
ENSRNOG00000013895	ENSRNOG00000013895	1:1	
ENSRNOG00000033206	ENSRNOG00000033206	1:1	
ENSRNOG00000007681	ENSRNOG00000007681	1:1	
ENSRNOG00000005261	ENSRNOG00000005261	1:1	
ENSRNOG00000059463	ENSRNOG00000059463	1:1	
ENSRNOG00000009267	ENSRNOG00000009267	1:1	
ENSRNOG00000019186	ENSRNOG00000019186	1:1	
ENSRNOG00000020330	ENSRNOG00000020330	1:1	
ENSRNOG00000019240	ENSRNOG00000019240	1:1	
ENSRNOG00000013642	ENSRNOG00000013642	1:1	
ENSRNOG00000020386	ENSRNOG00000020386	1:1	
ENSRNOG00000019684	ENSRNOG00000019684	1:1	
ENSRNOG00000003599	ENSRNOG00000003599	1:1	
ENSRNOG00000023065	ENSRNOG00000023065	1:1	
ENSRNOG00000009956	ENSRNOG00000009956	1:1	
ENSRNOG00000012100	ENSRNOG00000012100	1:1	
ENSRNOG00000017332	ENSRNOG00000017332	1:1	
ENSRNOG00000021379	ENSRNOG00000021379	1:1	
ENSRNOG00000007766	ENSRNOG00000007766	1:1	
ENSRNOG00000046530	ENSRNOG00000046530	1:1	
ENSRNOG00000011617	ENSRNOG00000011617	1:1	
ENSRNOG00000021390	ENSRNOG00000021390	1:1	
ENSRNOG00000003958	ENSRNOG00000003958	1:1	
ENSRNOG00000039815	ENSRNOG00000039815	1:1	
ENSRNOG00000011276	ENSRNOG00000011276	1:1	
ENSRNOG00000002055	ENSRNOG00000002055	1:1	
ENSRNOG00000017612	ENSRNOG00000017612	1:1	
ENSRNOG00000010833	ENSRNOG00000010833	1:1	
ENSRNOG00000043342	ENSRNOG00000043342	1:1	
ENSRNOG00000012255	ENSRNOG00000012255	1:1	
ENSRNOG00000008629	ENSRNOG00000008629	1:1	
ENSRNOG00000003038	ENSRNOG00000003038	1:1	
ENSRNOG00000012778	ENSRNOG00000012778	1:1	
ENSRNOG00000020762	ENSRNOG00000020762	1:1	
ENSRNOG00000016366	ENSRNOG00000016366	1:1	
ENSRNOG00000017745	ENSRNOG00000017745	1:1	
ENSRNOG00000026662	ENSRNOG00000026662	1:1	
ENSRNOG00000016873	ENSRNOG00000016873	1:1	
ENSRNOG00000021215	ENSRNOG00000021215	1:1	
ENSRNOG00000000936	ENSRNOG00000000936	1:1	
ENSRNOG00000018387	ENSRNOG00000018387	1:1	
ENSRNOG00000002705	ENSRNOG00000002705	1:1	
ENSRNOG00000021919	ENSRNOG00000021919	1:1	
ENSRNOG00000010042	ENSRNOG00000010042	1:1	
ENSRNOG00000001842	ENSRNOG00000001842	1:1	
ENSRNOG00000004588	ENSRNOG00000004588	1:1	
ENSRNOG00000033262	ENSRNOG00000033262	1:1	
ENSRNOG00000011162	ENSRNOG00000011162	1:1	
ENSRNOG00000020573	ENSRNOG00000020573	1:1	
ENSRNOG00000000786	ENSRNOG00000000786	1:1	
ENSRNOG00000020702	ENSRNOG00000020702	1:1	
ENSRNOG00000011283	ENSRNOG00000011283	1:1	
ENSRNOG00000013128	ENSRNOG00000013128	1:1	
ENSRNOG00000009958	ENSRNOG00000009958	1:1	
ENSRNOG00000021724	ENSRNOG00000021724	1:1	
ENSRNOG00000030888	ENSRNOG00000030888	1:1	
ENSRNOG00000010495	ENSRNOG00000010495	1:1	
ENSRNOG00000006770	ENSRNOG00000006770	1:1	
ENSRNOG00000047046	ENSRNOG00000047046	1:1	
ENSRNOG00000009756	ENSRNOG00000009756	1:1	
ENSRNOG00000019946	ENSRNOG00000019946	1:1	
ENSRNOG00000017097	ENSRNOG00000017097	1:1	
ENSRNOG00000020577	ENSRNOG00000020577	1:1	
ENSRNOG00000005762	ENSRNOG00000005762	1:1	
ENSRNOG00000010479	ENSRNOG00000010479	1:1	
ENSRNOG00000000098	ENSRNOG00000000098	1:1	
ENSRNOG00000018552	ENSRNOG00000018552	1:1	
ENSRNOG00000016698	ENSRNOG00000016698	1:1	
ENSRNOG00000004307	ENSRNOG00000004307	1:1	
ENSRNOG00000016217	ENSRNOG00000016217	1:1	
ENSRNOG00000013577	ENSRNOG00000013577	1:1	
ENSRNOG00000018325	ENSRNOG00000018325	1:1	
ENSRNOG00000019063	ENSRNOG00000019063	1:1	
ENSRNOG00000001417	ENSRNOG00000001417	1:1	
ENSRNOG00000011627	ENSRNOG00000011627	1:1	
ENSRNOG00000020289	ENSRNOG00000020289	1:1	
ENSRNOG00000010436	ENSRNOG00000010436	1:1	
ENSRNOG00000018791	ENSRNOG00000018791	1:1	
ENSRNOG00000013742	ENSRNOG00000013742	1:1	
ENSRNOG00000021144	ENSRNOG00000021144	1:1	
