rat_ID	baboon_ID	orthotype	OMAgroup
ENSRNOG00000030614	ENSPANG00000005159	n:m	
ENSRNOG00000030614	ENSPANG00000016417	n:m	
ENSRNOG00000002024	ENSPANG00000026369	1:1	553458
ENSRNOG00000001912	ENSPANG00000026371	1:1	776167
ENSRNOG00000030149	ENSPANG00000012150	1:1	834746
ENSRNOG00000024829	ENSPANG00000025278	n:1	
ENSRNOG00000002050	ENSPANG00000009845	1:1	790200
ENSRNOG00000024779	ENSPANG00000004759	1:1	864214
ENSRNOG00000002055	ENSPANG00000017817	1:1	862840
ENSRNOG00000002074	ENSPANG00000017819	1:1	
ENSRNOG00000002085	ENSPANG00000013419	1:1	795901
ENSRNOG00000029628	ENSPANG00000022288	1:1	775051
ENSRNOG00000002100	ENSPANG00000005495	1:1	714236
ENSRNOG00000002128	ENSPANG00000012149	1:1	865946
ENSRNOG00000002137	ENSPANG00000018913	1:1	547544
ENSRNOG00000002139	ENSPANG00000006883	1:1	804143
ENSRNOG00000002153	ENSPANG00000007654	1:1	548105
ENSRNOG00000002144	ENSPANG00000009817	1:1	852352
ENSRNOG00000050100	ENSPANG00000007652	1:1	782604
ENSRNOG00000002164	ENSPANG00000024021	1:1	806097
ENSRNOG00000002169	ENSPANG00000007651	1:1	848302
ENSRNOG00000002175	ENSPANG00000006882	1:1	730534
ENSRNOG00000002199	ENSPANG00000008925	1:1	732221
ENSRNOG00000002216	ENSPANG00000023285	1:1	696525
ENSRNOG00000046829	ENSPANG00000009816	1:1	550829
ENSRNOG00000002227	ENSPANG00000025525	1:1	810535
ENSRNOG00000002244	ENSPANG00000021718	1:1	792956
ENSRNOG00000002266	ENSPANG00000021441	1:1	804164
ENSRNOG00000002267	ENSPANG00000019862	1:1	844006
ENSRNOG00000002272	ENSPANG00000012441	1:1	794794
ENSRNOG00000002275	ENSPANG00000011213	1:1	550418
ENSRNOG00000026828	ENSPANG00000017814	1:1	792239
ENSRNOG00000002097	ENSPANG00000024162	1:1	522186
ENSRNOG00000002106	ENSPANG00000008485	1:1	547349
ENSRNOG00000002120	ENSPANG00000009236	1:1	813314
ENSRNOG00000002135	ENSPANG00000007510	1:1	843545
ENSRNOG00000026585	ENSPANG00000010298	1:1	746038
ENSRNOG00000002152	ENSPANG00000000847	1:1	840565
ENSRNOG00000002174	ENSPANG00000022291	1:1	825956
ENSRNOG00000002196	ENSPANG00000012558	1:1	
ENSRNOG00000002205	ENSPANG00000000147	1:1	854932
ENSRNOG00000002248	ENSPANG00000018310	1:1	714218
ENSRNOG00000026150	ENSPANG00000018308	1:1	263991
ENSRNOG00000026091	ENSPANG00000018307	1:1	733813
ENSRNOG00000002271	ENSPANG00000012559	1:1	830210
ENSRNOG00000002278	ENSPANG00000016343	1:1	548407
ENSRNOG00000025925	ENSPANG00000021493	1:1	552638
ENSRNOG00000025882	ENSPANG00000010321	1:1	523043
ENSRNOG00000004778	ENSPANG00000019103	1:1	702795
ENSRNOG00000058588	ENSPANG00000025042	1:1	547399
ENSRNOG00000002302	ENSPANG00000020531	1:1	552401
ENSRNOG00000002312	ENSPANG00000022429	1:1	523669
ENSRNOG00000002320	ENSPANG00000007991	1:1	650885
ENSRNOG00000002327	ENSPANG00000006774	1:1	637255
ENSRNOG00000002336	ENSPANG00000014209	1:1	637267
ENSRNOG00000057953	ENSPANG00000013663	1:1	756317
ENSRNOG00000002349	ENSPANG00000025578	1:1	637272
ENSRNOG00000002360	ENSPANG00000016344	1:1	637265
ENSRNOG00000038891	ENSPANG00000021591	1:1	836863
ENSRNOG00000034200	ENSPANG00000011786	1:1	523652
ENSRNOG00000025670	ENSPANG00000025579	1:1	795711
ENSRNOG00000053303	ENSPANG00000016087	1:1	826921
ENSRNOG00000002246	ENSPANG00000024558	1:1	810856
ENSRNOG00000051929	ENSPANG00000022050	1:1	747743
ENSRNOG00000002318	ENSPANG00000025221	1:1	839837
ENSRNOG00000002343	ENSPANG00000016830	1:1	834114
ENSRNOG00000025494	ENSPANG00000001045	1:1	826175
ENSRNOG00000002408	ENSPANG00000005980	1:1	609647
ENSRNOG00000002484	ENSPANG00000016171	1:1	637251
ENSRNOG00000002540	ENSPANG00000017744	1:1	522209
ENSRNOG00000027152	ENSPANG00000005533	1:1	826591
ENSRNOG00000002541	ENSPANG00000001639	1:1	548187
ENSRNOG00000027088	ENSPANG00000014212	1:1	547263
ENSRNOG00000031052	ENSPANG00000023589	n:m	
ENSRNOG00000031052	ENSPANG00000019434	n:m	852399
ENSRNOG00000002553	ENSPANG00000006965	1:1	857325
ENSRNOG00000002643	ENSPANG00000016219	1:1	862272
ENSRNOG00000002759	ENSPANG00000001640	1:1	862736
ENSRNOG00000002855	ENSPANG00000016220	1:1	547178
ENSRNOG00000002932	ENSPANG00000003767	1:1	835186
ENSRNOG00000008421	ENSPANG00000003768	1:1	549065
ENSRNOG00000026518	ENSPANG00000016908	1:1	807682
ENSRNOG00000026504	ENSPANG00000016873	n:1	784721
ENSRNOG00000038722	ENSPANG00000018956	1:1	552685
ENSRNOG00000002163	ENSPANG00000000584	1:1	797222
ENSRNOG00000057505	ENSPANG00000020108	n:m	
ENSRNOG00000057505	ENSPANG00000000277	n:m	
ENSRNOG00000057505	ENSPANG00000005234	n:m	
ENSRNOG00000057505	ENSPANG00000010652	n:m	
ENSRNOG00000057505	ENSPANG00000016384	n:m	
ENSRNOG00000002180	ENSPANG00000015230	1:1	854255
ENSRNOG00000002185	ENSPANG00000024997	1:1	815749
ENSRNOG00000002192	ENSPANG00000018258	1:1	783484
ENSRNOG00000002191	ENSPANG00000018422	1:1	271554
ENSRNOG00000051837	ENSPANG00000015662	1:1	640633
ENSRNOG00000056826	ENSPANG00000021175	1:1	740929
ENSRNOG00000012367	ENSPANG00000015663	1:1	552304
ENSRNOG00000002956	ENSPANG00000016909	1:1	797884
ENSRNOG00000003003	ENSPANG00000019571	1:1	822591
ENSRNOG00000043124	ENSPANG00000019759	1:1	657315
ENSRNOG00000046327	ENSPANG00000021176	1:1	814553
ENSRNOG00000055911	ENSPANG00000011293	n:1	
ENSRNOG00000004932	ENSPANG00000000072	1:1	836682
ENSRNOG00000004626	ENSPANG00000001642	1:1	721721
ENSRNOG00000004130	ENSPANG00000019352	1:1	689587
ENSRNOG00000003924	ENSPANG00000024999	1:1	675290
ENSRNOG00000049244	ENSPANG00000021177	1:1	839793
ENSRNOG00000003887	ENSPANG00000016910	1:1	
ENSRNOG00000024454	ENSPANG00000020855	1:1	840797
ENSRNOG00000003869	ENSPANG00000010364	1:1	761255
ENSRNOG00000003844	ENSPANG00000020685	1:1	846759
ENSRNOG00000002224	ENSPANG00000016828	1:1	495182
ENSRNOG00000002207	ENSPANG00000020532	1:1	866597
ENSRNOG00000002177	ENSPANG00000020313	1:1	861536
ENSRNOG00000004473	ENSPANG00000005420	1:1	762822
ENSRNOG00000024634	ENSPANG00000007746	1:1	814897
ENSRNOG00000004279	ENSPANG00000008144	1:1	802983
ENSRNOG00000032350	ENSPANG00000001124	1:1	549606
ENSRNOG00000004140	ENSPANG00000001123	1:1	529947
ENSRNOG00000003840	ENSPANG00000007747	1:1	548043
ENSRNOG00000038572	ENSPANG00000000938	1:1	689245
ENSRNOG00000003704	ENSPANG00000011425	1:1	551472
ENSRNOG00000003592	ENSPANG00000007793	1:1	817391
ENSRNOG00000003289	ENSPANG00000005671	1:1	690847
ENSRNOG00000027195	ENSPANG00000018188	1:1	736961
ENSRNOG00000003253	ENSPANG00000010254	1:1	508589
ENSRNOG00000003205	ENSPANG00000020686	1:1	709654
ENSRNOG00000003174	ENSPANG00000000667	1:1	642560
ENSRNOG00000003098	ENSPANG00000007794	1:1	533108
ENSRNOG00000003095	ENSPANG00000020832	1:1	783482
ENSRNOG00000003069	ENSPANG00000005673	1:1	
ENSRNOG00000003064	ENSPANG00000021309	1:1	764250
ENSRNOG00000005261	ENSPANG00000013334	1:1	829156
ENSRNOG00000059715	ENSPANG00000019572	1:1	516606
ENSRNOG00000005094	ENSPANG00000020404	1:1	555178
ENSRNOG00000005043	ENSPANG00000017542	1:1	652008
ENSRNOG00000004719	ENSPANG00000017678	1:1	809432
ENSRNOG00000029107	ENSPANG00000006585	n:1	
ENSRNOG00000050437	ENSPANG00000015664	1:1	553648
ENSRNOG00000060782	ENSPANG00000021310	1:1	738406
ENSRNOG00000017074	ENSPANG00000023566	1:1	522109
ENSRNOG00000033640	ENSPANG00000007882	n:1	703826
ENSRNOG00000010598	ENSPANG00000000271	1:1	731064
ENSRNOG00000051169	ENSPANG00000015016	1:1	793709
ENSRNOG00000028534	ENSPANG00000002997	1:1	266463
ENSRNOG00000028498	ENSPANG00000001382	1:1	546995
ENSRNOG00000005338	ENSPANG00000023315	1:1	657314
ENSRNOG00000028423	ENSPANG00000013335	1:1	793014
ENSRNOG00000005346	ENSPANG00000019220	1:1	814026
ENSRNOG00000005374	ENSPANG00000021311	1:1	548265
ENSRNOG00000005633	ENSPANG00000015665	1:1	555059
ENSRNOG00000005700	ENSPANG00000005675	1:1	758984
ENSRNOG00000006139	ENSPANG00000002440	1:1	812775
ENSRNOG00000006876	ENSPANG00000016782	1:1	
ENSRNOG00000028108	ENSPANG00000019573	1:1	807903
ENSRNOG00000031397	ENSPANG00000019894	1:1	551909
ENSRNOG00000007025	ENSPANG00000025947	1:1	554344
ENSRNOG00000007564	ENSPANG00000025494	1:1	796473
ENSRNOG00000038427	ENSPANG00000021494	1:1	279744
ENSRNOG00000004998	ENSPANG00000013336	1:1	784712
ENSRNOG00000005108	ENSPANG00000008569	1:1	849409
ENSRNOG00000058202	ENSPANG00000019017	1:1	
ENSRNOG00000056162	ENSPANG00000016783	1:1	
ENSRNOG00000054224	ENSPANG00000019574	1:1	542386
ENSRNOG00000006400	ENSPANG00000008521	1:1	
ENSRNOG00000027623	ENSPANG00000007833	1:1	798796
ENSRNOG00000027326	ENSPANG00000007240	1:1	783075
ENSRNOG00000006593	ENSPANG00000017848	1:1	
ENSRNOG00000006845	ENSPANG00000016850	1:1	792864
ENSRNOG00000060665	ENSPANG00000019575	1:1	843302
ENSRNOG00000007882	ENSPANG00000019760	1:1	551988
ENSRNOG00000007993	ENSPANG00000007834	1:m	804562
ENSRNOG00000007993	ENSPANG00000025762	1:m	
ENSRNOG00000008182	ENSPANG00000007655	1:1	551188
ENSRNOG00000008474	ENSPANG00000008200	1:1	
ENSRNOG00000008898	ENSPANG00000006054	1:1	856829
ENSRNOG00000008947	ENSPANG00000017849	1:1	797850
ENSRNOG00000009154	ENSPANG00000022910	1:1	736931
ENSRNOG00000009299	ENSPANG00000004306	1:1	657379
ENSRNOG00000009313	ENSPANG00000015064	1:1	854202
ENSRNOG00000022419	ENSPANG00000018167	1:1	824668
ENSRNOG00000009572	ENSPANG00000021871	1:1	561184
ENSRNOG00000030568	ENSPANG00000016251	1:1	818554
ENSRNOG00000010867	ENSPANG00000012405	1:1	754835
ENSRNOG00000011847	ENSPANG00000015062	1:1	550365
ENSRNOG00000012147	ENSPANG00000009642	1:1	864996
ENSRNOG00000012534	ENSPANG00000018032	1:1	546942
ENSRNOG00000013039	ENSPANG00000018890	1:1	834380
ENSRNOG00000013747	ENSPANG00000021586	1:1	817933
ENSRNOG00000013805	ENSPANG00000019351	1:1	851647
ENSRNOG00000013832	ENSPANG00000006875	1:1	851642
ENSRNOG00000013930	ENSPANG00000013408	1:m	
ENSRNOG00000013930	ENSPANG00000008338	1:m	495212
ENSRNOG00000014874	ENSPANG00000001128	1:1	831738
ENSRNOG00000015033	ENSPANG00000024535	1:1	811477
ENSRNOG00000015255	ENSPANG00000007327	1:1	797958
ENSRNOG00000049351	ENSPANG00000024534	1:1	642864
ENSRNOG00000015474	ENSPANG00000019016	1:1	846069
ENSRNOG00000016427	ENSPANG00000024554	1:1	741080
ENSRNOG00000016818	ENSPANG00000024533	1:1	550182
ENSRNOG00000017259	ENSPANG00000007581	1:1	
ENSRNOG00000017329	ENSPANG00000005178	1:1	830338
ENSRNOG00000037162	ENSPANG00000004932	1:1	796758
ENSRNOG00000017548	ENSPANG00000020344	1:1	832007
ENSRNOG00000005113	ENSPANG00000006703	1:1	270015
ENSRNOG00000005122	ENSPANG00000019190	1:1	696435
ENSRNOG00000005397	ENSPANG00000024432	1:1	857760
ENSRNOG00000005428	ENSPANG00000005494	1:1	863587
ENSRNOG00000006033	ENSPANG00000013162	1:1	553769
ENSRNOG00000017775	ENSPANG00000004876	1:1	
ENSRNOG00000055471	ENSPANG00000015907	1:1	499509
ENSRNOG00000045749	ENSPANG00000011744	n:1	
ENSRNOG00000048891	ENSPANG00000015910	1:1	266033
ENSRNOG00000018319	ENSPANG00000015908	1:1	795107
ENSRNOG00000018412	ENSPANG00000025532	1:1	730344
ENSRNOG00000018475	ENSPANG00000012702	1:1	551804
ENSRNOG00000018590	ENSPANG00000023194	1:1	490078
ENSRNOG00000018859	ENSPANG00000012703	1:1	784745
ENSRNOG00000019000	ENSPANG00000004086	1:1	550181
ENSRNOG00000019325	ENSPANG00000015145	1:1	495209
ENSRNOG00000025121	ENSPANG00000024406	1:1	832010
ENSRNOG00000019361	ENSPANG00000018617	1:1	840913
ENSRNOG00000019451	ENSPANG00000017602	1:1	831039
ENSRNOG00000019624	ENSPANG00000023079	1:1	757776
ENSRNOG00000019645	ENSPANG00000009932	1:1	497407
ENSRNOG00000024945	ENSPANG00000015188	1:1	709075
ENSRNOG00000004168	ENSPANG00000021969	1:1	778666
ENSRNOG00000004280	ENSPANG00000026054	1:1	767632
ENSRNOG00000004515	ENSPANG00000009607	1:1	818187
ENSRNOG00000042041	ENSPANG00000001169	1:1	736701
ENSRNOG00000004555	ENSPANG00000021970	1:1	
ENSRNOG00000004640	ENSPANG00000000861	1:1	796288
ENSRNOG00000004672	ENSPANG00000016349	1:1	
ENSRNOG00000004940	ENSPANG00000000860	1:1	764332
ENSRNOG00000005147	ENSPANG00000010462	1:1	830265
ENSRNOG00000005218	ENSPANG00000020772	1:1	842396
ENSRNOG00000006394	ENSPANG00000016350	1:1	548327
ENSRNOG00000006740	ENSPANG00000017139	1:1	835135
ENSRNOG00000024390	ENSPANG00000017140	1:1	305895
ENSRNOG00000007002	ENSPANG00000009277	1:1	780270
ENSRNOG00000037865	ENSPANG00000004088	1:1	
ENSRNOG00000007120	ENSPANG00000008276	1:1	496543
ENSRNOG00000007349	ENSPANG00000017141	1:1	649714
ENSRNOG00000059061	ENSPANG00000020774	1:1	
ENSRNOG00000007849	ENSPANG00000020624	1:1	794898
ENSRNOG00000057703	ENSPANG00000025010	1:1	817997
ENSRNOG00000007948	ENSPANG00000008277	1:1	809656
ENSRNOG00000008374	ENSPANG00000025011	1:1	705903
ENSRNOG00000008456	ENSPANG00000008278	1:1	786179
ENSRNOG00000008716	ENSPANG00000026169	1:1	551633
ENSRNOG00000008786	ENSPANG00000011720	1:1	515693
ENSRNOG00000008951	ENSPANG00000026058	1:1	812836
ENSRNOG00000027032	ENSPANG00000008279	1:1	511482
ENSRNOG00000051487	ENSPANG00000000469	1:1	750830
ENSRNOG00000010298	ENSPANG00000000372	1:1	787953
ENSRNOG00000010706	ENSPANG00000016394	1:1	782693
ENSRNOG00000011979	ENSPANG00000015133	1:1	795672
ENSRNOG00000012184	ENSPANG00000023114	1:1	826071
ENSRNOG00000012378	ENSPANG00000019050	1:1	547632
ENSRNOG00000013532	ENSPANG00000014548	1:1	691238
ENSRNOG00000013647	ENSPANG00000023968	1:1	740343
ENSRNOG00000013720	ENSPANG00000002445	1:1	797852
ENSRNOG00000014098	ENSPANG00000007078	1:1	792405
ENSRNOG00000014409	ENSPANG00000022523	1:1	548797
ENSRNOG00000061527	ENSPANG00000021695	1:1	793274
ENSRNOG00000014785	ENSPANG00000023969	1:1	778467
ENSRNOG00000052080	ENSPANG00000006925	1:1	550024
ENSRNOG00000004670	ENSPANG00000002446	1:1	547019
ENSRNOG00000005016	ENSPANG00000015988	1:1	498653
ENSRNOG00000005130	ENSPANG00000026232	1:1	864282
ENSRNOG00000054513	ENSPANG00000007148	1:1	553857
ENSRNOG00000027864	ENSPANG00000023862	n:m	
ENSRNOG00000027864	ENSPANG00000001576	n:m	
ENSRNOG00000027864	ENSPANG00000020650	n:m	
ENSRNOG00000027864	ENSPANG00000004988	n:m	
ENSRNOG00000027864	ENSPANG00000015678	n:m	
ENSRNOG00000027864	ENSPANG00000002780	n:m	
ENSRNOG00000027864	ENSPANG00000008659	n:m	
ENSRNOG00000027864	ENSPANG00000007547	n:m	556378
ENSRNOG00000027864	ENSPANG00000013031	n:m	
ENSRNOG00000027864	ENSPANG00000014105	n:m	
ENSRNOG00000027864	ENSPANG00000025756	n:m	
ENSRNOG00000027864	ENSPANG00000006283	n:m	
ENSRNOG00000027864	ENSPANG00000012174	n:m	
ENSRNOG00000027864	ENSPANG00000012171	n:m	
ENSRNOG00000027864	ENSPANG00000013032	n:m	
ENSRNOG00000027864	ENSPANG00000019440	n:m	
ENSRNOG00000052275	ENSPANG00000008062	n:1	862324
ENSRNOG00000061438	ENSPANG00000011293	n:1	
ENSRNOG00000059140	ENSPANG00000000682	1:1	549726
ENSRNOG00000060825	ENSPANG00000000406	1:1	845787
ENSRNOG00000053875	ENSPANG00000000405	1:1	557377
ENSRNOG00000052477	ENSPANG00000004288	1:1	805741
ENSRNOG00000055684	ENSPANG00000001208	1:1	560394
ENSRNOG00000053766	ENSPANG00000014132	1:1	774005
ENSRNOG00000059479	ENSPANG00000000194	1:1	
ENSRNOG00000058780	ENSPANG00000019614	1:1	823393
ENSRNOG00000061910	ENSPANG00000016470	1:1	823392
ENSRNOG00000050800	ENSPANG00000020782	n:1	
ENSRNOG00000025695	ENSPANG00000021643	1:1	550183
ENSRNOG00000004865	ENSPANG00000016093	1:1	805574
ENSRNOG00000005141	ENSPANG00000009981	1:1	843985
ENSRNOG00000005105	ENSPANG00000000696	1:1	497899
ENSRNOG00000004972	ENSPANG00000018933	1:1	791983
ENSRNOG00000025645	ENSPANG00000016095	1:1	783199
ENSRNOG00000049076	ENSPANG00000022524	1:1	807432
ENSRNOG00000027801	ENSPANG00000010328	1:1	774918
ENSRNOG00000037621	ENSPANG00000020442	1:1	805621
ENSRNOG00000004444	ENSPANG00000005244	1:1	552297
ENSRNOG00000004327	ENSPANG00000020090	1:1	824801
ENSRNOG00000004290	ENSPANG00000010329	1:1	843159
ENSRNOG00000004281	ENSPANG00000019108	1:1	772963
ENSRNOG00000004090	ENSPANG00000013856	n:1	749120
ENSRNOG00000005180	ENSPANG00000022185	1:1	824606
ENSRNOG00000005203	ENSPANG00000015177	1:1	793347
ENSRNOG00000004332	ENSPANG00000023117	1:1	852094
ENSRNOG00000023026	ENSPANG00000019905	1:1	306011
ENSRNOG00000005214	ENSPANG00000005755	1:1	825271
ENSRNOG00000005326	ENSPANG00000018930	1:1	824979
ENSRNOG00000057321	ENSPANG00000024026	1:1	
ENSRNOG00000005524	ENSPANG00000014103	1:1	857228
ENSRNOG00000022857	ENSPANG00000011915	1:1	640838
ENSRNOG00000005982	ENSPANG00000002886	1:1	685551
ENSRNOG00000006185	ENSPANG00000007449	1:1	831253
ENSRNOG00000004606	ENSPANG00000008059	1:1	850819
ENSRNOG00000004888	ENSPANG00000015698	1:1	842380
ENSRNOG00000004959	ENSPANG00000007073	1:1	784100
ENSRNOG00000027282	ENSPANG00000009710	1:1	803334
ENSRNOG00000005248	ENSPANG00000025917	1:1	507671
ENSRNOG00000005393	ENSPANG00000021214	1:1	270972
ENSRNOG00000005411	ENSPANG00000019355	1:1	793704
ENSRNOG00000005464	ENSPANG00000007113	1:1	828934
ENSRNOG00000006329	ENSPANG00000008630	1:1	844924
ENSRNOG00000007125	ENSPANG00000022299	1:1	762587
ENSRNOG00000008079	ENSPANG00000020689	1:1	835508
ENSRNOG00000008103	ENSPANG00000014437	1:1	847394
ENSRNOG00000054331	ENSPANG00000019775	1:1	830398
ENSRNOG00000059469	ENSPANG00000023386	1:1	727317
ENSRNOG00000008917	ENSPANG00000016912	1:1	547738
ENSRNOG00000009220	ENSPANG00000019048	1:1	776015
ENSRNOG00000009267	ENSPANG00000007808	1:1	749415
ENSRNOG00000009281	ENSPANG00000006093	1:1	641788
ENSRNOG00000009639	ENSPANG00000009346	n:m	
ENSRNOG00000009639	ENSPANG00000016331	n:m	
ENSRNOG00000009642	ENSPANG00000019105	1:1	636210
ENSRNOG00000009881	ENSPANG00000010259	1:1	828223
ENSRNOG00000009935	ENSPANG00000006892	1:1	529351
ENSRNOG00000051889	ENSPANG00000025375	1:1	816774
ENSRNOG00000052142	ENSPANG00000016913	1:1	537814
ENSRNOG00000054669	ENSPANG00000017323	1:1	831255
ENSRNOG00000054896	ENSPANG00000022181	1:1	801404
ENSRNOG00000054151	ENSPANG00000018036	1:1	850196
ENSRNOG00000054437	ENSPANG00000006148	1:1	778511
ENSRNOG00000006261	ENSPANG00000014543	1:1	770940
ENSRNOG00000011856	ENSPANG00000005578	1:1	547445
ENSRNOG00000027249	ENSPANG00000021497	1:1	829518
ENSRNOG00000007864	ENSPANG00000014544	1:1	
ENSRNOG00000003374	ENSPANG00000016914	1:1	816187
ENSRNOG00000003553	ENSPANG00000022521	1:1	551261
ENSRNOG00000003600	ENSPANG00000022846	1:1	866516
ENSRNOG00000003712	ENSPANG00000022844	1:1	515657
ENSRNOG00000003901	ENSPANG00000022522	1:1	842760
ENSRNOG00000004057	ENSPANG00000021274	1:1	551104
ENSRNOG00000004145	ENSPANG00000000623	1:1	
ENSRNOG00000004161	ENSPANG00000014549	1:1	547330
ENSRNOG00000004456	ENSPANG00000016915	1:1	813211
ENSRNOG00000004621	ENSPANG00000005683	1:1	790165
ENSRNOG00000037462	ENSPANG00000004287	1:1	551791
ENSRNOG00000005434	ENSPANG00000000683	1:1	266010
ENSRNOG00000006356	ENSPANG00000001209	1:1	774562
ENSRNOG00000042419	ENSPANG00000000195	1:1	
ENSRNOG00000060340	ENSPANG00000014551	1:1	812576
ENSRNOG00000007283	ENSPANG00000009778	1:1	825454
ENSRNOG00000001531	ENSPANG00000025448	1:1	
ENSRNOG00000032471	ENSPANG00000000697	1:1	
ENSRNOG00000005783	ENSPANG00000022509	1:1	848213
ENSRNOG00000005985	ENSPANG00000022497	1:1	643286
ENSRNOG00000014237	ENSPANG00000022473	1:1	558707
ENSRNOG00000013968	ENSPANG00000022475	1:1	754341
ENSRNOG00000013505	ENSPANG00000022478	1:1	810730
ENSRNOG00000013236	ENSPANG00000022471	1:1	689070
ENSRNOG00000013034	ENSPANG00000022463	1:1	709077
ENSRNOG00000012850	ENSPANG00000022464	1:1	811025
ENSRNOG00000012325	ENSPANG00000022465	1:1	783684
ENSRNOG00000011461	ENSPANG00000022467	1:1	531858
ENSRNOG00000010765	ENSPANG00000022469	1:1	681411
ENSRNOG00000010516	ENSPANG00000022455	1:1	812935
ENSRNOG00000009783	ENSPANG00000022457	1:1	549955
ENSRNOG00000057755	ENSPANG00000022458	1:1	262572
ENSRNOG00000056617	ENSPANG00000022454	1:1	831421
ENSRNOG00000009297	ENSPANG00000022450	1:1	675697
ENSRNOG00000009274	ENSPANG00000022452	1:1	832926
ENSRNOG00000009042	ENSPANG00000022453	1:1	547081
ENSRNOG00000008949	ENSPANG00000022442	1:1	828362
ENSRNOG00000040122	ENSPANG00000022440	1:1	812133
ENSRNOG00000027012	ENSPANG00000022376	1:1	807194
ENSRNOG00000054782	ENSPANG00000022377	1:1	548657
ENSRNOG00000007632	ENSPANG00000022380	1:1	809811
ENSRNOG00000007136	ENSPANG00000011604	1:m	
ENSRNOG00000007136	ENSPANG00000022381	1:m	550247
ENSRNOG00000007046	ENSPANG00000022383	1:1	496270
ENSRNOG00000006898	ENSPANG00000022374	1:1	547666
ENSRNOG00000006554	ENSPANG00000022357	1:1	827847
ENSRNOG00000042253	ENSPANG00000022361	1:1	747527
ENSRNOG00000048195	ENSPANG00000022364	1:1	746361
ENSRNOG00000006422	ENSPANG00000021146	1:1	749672
ENSRNOG00000047005	ENSPANG00000020767	1:1	808744
ENSRNOG00000006341	ENSPANG00000024969	1:1	709595
ENSRNOG00000000341	ENSPANG00000024492	1:1	814003
ENSRNOG00000018148	ENSPANG00000005515	n:1	
ENSRNOG00000014661	ENSPANG00000009480	1:1	829548
ENSRNOG00000032690	ENSPANG00000019092	n:1	
ENSRNOG00000008794	ENSPANG00000019092	n:1	553814
ENSRNOG00000008565	ENSPANG00000005603	1:1	790172
ENSRNOG00000008140	ENSPANG00000012879	1:1	854026
ENSRNOG00000046912	ENSPANG00000006662	1:1	791412
ENSRNOG00000006649	ENSPANG00000008138	1:1	824522
ENSRNOG00000024061	ENSPANG00000023177	1:1	730605
ENSRNOG00000006143	ENSPANG00000012686	1:1	833311
ENSRNOG00000005993	ENSPANG00000012595	1:1	546807
ENSRNOG00000005857	ENSPANG00000004211	1:1	273595
ENSRNOG00000005883	ENSPANG00000009079	1:1	783142
ENSRNOG00000005957	ENSPANG00000003494	1:1	516616
ENSRNOG00000021557	ENSPANG00000024800	1:m	
ENSRNOG00000021557	ENSPANG00000023221	1:m	271404
ENSRNOG00000006746	ENSPANG00000006337	1:1	270509
ENSRNOG00000006751	ENSPANG00000014295	1:1	816738
ENSRNOG00000007246	ENSPANG00000008978	1:1	775958
ENSRNOG00000027633	ENSPANG00000011418	1:1	306217
ENSRNOG00000009206	ENSPANG00000015063	1:1	761079
ENSRNOG00000039871	ENSPANG00000020596	1:1	805960
ENSRNOG00000009419	ENSPANG00000005383	1:1	750810
ENSRNOG00000027383	ENSPANG00000005180	1:1	795714
ENSRNOG00000008203	ENSPANG00000021872	1:1	829745
ENSRNOG00000008570	ENSPANG00000015659	1:1	836917
ENSRNOG00000007206	ENSPANG00000015061	1:1	515579
ENSRNOG00000031535	ENSPANG00000008289	n:1	833984
ENSRNOG00000007320	ENSPANG00000006375	1:1	747581
ENSRNOG00000007378	ENSPANG00000005667	1:1	852229
ENSRNOG00000007817	ENSPANG00000026401	1:1	307860
ENSRNOG00000007895	ENSPANG00000019216	1:1	508337
ENSRNOG00000008024	ENSPANG00000001127	1:1	829351
ENSRNOG00000039829	ENSPANG00000006374	1:1	818233
ENSRNOG00000008167	ENSPANG00000015059	1:1	547978
ENSRNOG00000009291	ENSPANG00000008562	1:1	637204
ENSRNOG00000009470	ENSPANG00000018826	1:1	549291
ENSRNOG00000031307	ENSPANG00000008289	n:1	
ENSRNOG00000050968	ENSPANG00000000702	1:1	833974
ENSRNOG00000049099	ENSPANG00000012046	n:m	
ENSRNOG00000049099	ENSPANG00000018140	n:m	
ENSRNOG00000049099	ENSPANG00000020321	n:m	
ENSRNOG00000006334	ENSPANG00000007166	1:1	818552
ENSRNOG00000026328	ENSPANG00000016043	1:1	824609
ENSRNOG00000021183	ENSPANG00000007283	1:1	799718
ENSRNOG00000006462	ENSPANG00000008287	1:1	516729
ENSRNOG00000007203	ENSPANG00000023304	1:1	848757
ENSRNOG00000007956	ENSPANG00000017508	1:1	709074
ENSRNOG00000008641	ENSPANG00000000766	1:1	750036
ENSRNOG00000009102	ENSPANG00000000767	1:1	843339
ENSRNOG00000009481	ENSPANG00000017507	1:1	670933
ENSRNOG00000009694	ENSPANG00000008284	1:1	830959
ENSRNOG00000009785	ENSPANG00000015151	1:1	674368
ENSRNOG00000009811	ENSPANG00000022395	1:1	860022
ENSRNOG00000010178	ENSPANG00000021096	1:m	842886
ENSRNOG00000010178	ENSPANG00000021973	1:m	
ENSRNOG00000010489	ENSPANG00000004323	1:1	769096
ENSRNOG00000011039	ENSPANG00000015150	1:1	
ENSRNOG00000011167	ENSPANG00000017506	1:1	724746
ENSRNOG00000011377	ENSPANG00000018402	1:1	544249
ENSRNOG00000011611	ENSPANG00000018091	1:1	550613
