mouse_ID	baboon_ID	orthotype	OMAgroup
ENSMUSG00000037697	ENSPANG00000017507	1:1	670933
ENSMUSG00000021835	ENSPANG00000008284	1:1	830959
ENSMUSG00000037628	ENSPANG00000015151	1:1	674368
ENSMUSG00000015759	ENSPANG00000022395	1:1	860022
ENSMUSG00000055128	ENSPANG00000021096	1:m	842886
ENSMUSG00000055128	ENSPANG00000021973	1:m	
ENSMUSG00000021838	ENSPANG00000004323	1:1	769096
ENSMUSG00000037580	ENSPANG00000015150	1:1	
ENSMUSG00000037572	ENSPANG00000017506	1:1	724746
ENSMUSG00000048379	ENSPANG00000018402	1:1	544249
ENSMUSG00000021840	ENSPANG00000018091	1:1	550613
ENSMUSG00000050335	ENSPANG00000004321	1:1	
ENSMUSG00000037544	ENSPANG00000023585	1:1	785635
ENSMUSG00000037536	ENSPANG00000014185	1:1	813199
ENSMUSG00000037526	ENSPANG00000023985	1:1	853495
ENSMUSG00000021843	ENSPANG00000015295	1:1	548871
ENSMUSG00000021846	ENSPANG00000009936	1:1	844925
ENSMUSG00000036339	ENSPANG00000004318	1:1	698671
ENSMUSG00000021848	ENSPANG00000004317	1:1	727315
ENSMUSG00000061244	ENSPANG00000022394	1:1	720832
ENSMUSG00000036291	ENSPANG00000017145	1:1	834109
ENSMUSG00000036282	ENSPANG00000024264	1:1	741323
ENSMUSG00000021850	ENSPANG00000022393	1:1	776445
ENSMUSG00000021852	ENSPANG00000004316	1:1	856991
ENSMUSG00000036242	ENSPANG00000016609	1:1	772159
ENSMUSG00000048933	ENSPANG00000015195	1:1	733089
ENSMUSG00000059488	ENSPANG00000024792	1:1	270906
ENSMUSG00000050030	ENSPANG00000025033	1:1	739926
ENSMUSG00000049011	ENSPANG00000006581	1:1	271676
ENSMUSG00000109835	ENSPANG00000018568	1:1	271405
ENSMUSG00000091873	ENSPANG00000018896	1:m	
ENSMUSG00000091873	ENSPANG00000015610	1:m	272023
ENSMUSG00000045306	ENSPANG00000010007	1:1	271923
ENSMUSG00000046210	ENSPANG00000023459	1:1	271535
ENSMUSG00000094692	ENSPANG00000007305	1:1	272575
ENSMUSG00000053815	ENSPANG00000002487	1:1	270852
ENSMUSG00000057179	ENSPANG00000002730	n:1	
ENSMUSG00000059069	ENSPANG00000002730	n:1	271167
ENSMUSG00000006288	ENSPANG00000026179	1:1	724703
ENSMUSG00000071470	ENSPANG00000023212	1:1	665348
ENSMUSG00000036023	ENSPANG00000018567	1:1	493291
ENSMUSG00000006281	ENSPANG00000024122	1:1	640628
ENSMUSG00000090799	ENSPANG00000021796	1:1	556761
ENSMUSG00000006289	ENSPANG00000021798	1:1	804776
ENSMUSG00000035960	ENSPANG00000022757	1:1	862024
ENSMUSG00000035953	ENSPANG00000005900	1:1	853699
ENSMUSG00000115338	ENSPANG00000020785	n:1	861633
ENSMUSG00000021871	ENSPANG00000020785	n:1	
ENSMUSG00000068417	ENSPANG00000020785	n:1	
ENSMUSG00000021872	ENSPANG00000019884	1:1	262967
ENSMUSG00000052382	ENSPANG00000009034	1:1	304948
ENSMUSG00000059648	ENSPANG00000010829	1:1	304949
ENSMUSG00000068407	ENSPANG00000018895	1:1	304975
ENSMUSG00000035932	ENSPANG00000009033	1:1	271685
ENSMUSG00000021876	ENSPANG00000019318	1:1	753953
ENSMUSG00000072115	ENSPANG00000005899	n:1	753954
ENSMUSG00000072575	ENSPANG00000007680	1:1	304951
ENSMUSG00000021880	ENSPANG00000014249	1:1	304973
ENSMUSG00000035896	ENSPANG00000021106	1:1	753956
ENSMUSG00000059606	ENSPANG00000021107	n:m	304969
ENSMUSG00000059606	ENSPANG00000005471	n:m	
ENSMUSG00000047894	ENSPANG00000005899	n:1	
ENSMUSG00000050766	ENSPANG00000021107	n:m	
ENSMUSG00000050766	ENSPANG00000005471	n:m	
ENSMUSG00000047222	ENSPANG00000021107	n:m	
ENSMUSG00000047222	ENSPANG00000005471	n:m	652356
ENSMUSG00000060615	ENSPANG00000005899	n:1	
ENSMUSG00000062148	ENSPANG00000021107	n:m	
ENSMUSG00000062148	ENSPANG00000005471	n:m	
ENSMUSG00000004561	ENSPANG00000021109	1:1	809337
ENSMUSG00000072572	ENSPANG00000011743	1:1	789345
ENSMUSG00000004558	ENSPANG00000021105	1:1	843911
ENSMUSG00000008813	ENSPANG00000020506	1:1	720778
ENSMUSG00000068392	ENSPANG00000022673	1:1	308455
ENSMUSG00000004562	ENSPANG00000000451	1:1	807327
ENSMUSG00000049295	ENSPANG00000007539	1:1	765409
ENSMUSG00000072571	ENSPANG00000000650	1:1	799106
ENSMUSG00000044286	ENSPANG00000000651	1:1	270512
ENSMUSG00000060373	ENSPANG00000020782	1:1	271114
ENSMUSG00000057132	ENSPANG00000021790	1:1	809182
ENSMUSG00000035726	ENSPANG00000020915	1:1	547016
ENSMUSG00000053754	ENSPANG00000011742	1:1	551406
ENSMUSG00000022159	ENSPANG00000021789	1:1	522123
ENSMUSG00000016831	ENSPANG00000003914	1:1	762160
ENSMUSG00000022160	ENSPANG00000021788	1:1	495797
ENSMUSG00000049532	ENSPANG00000020006	1:1	751474
ENSMUSG00000095030	ENSPANG00000022541	n:1	
ENSMUSG00000094140	ENSPANG00000022541	n:1	716409
ENSMUSG00000063867	ENSPANG00000016418	n:1	
ENSMUSG00000063106	ENSPANG00000016418	n:1	271730
ENSMUSG00000076758	ENSPANG00000020007	1:1	
ENSMUSG00000035626	ENSPANG00000007302	1:1	271605
ENSMUSG00000076759	ENSPANG00000020780	1:1	282370
ENSMUSG00000076760	ENSPANG00000020005	n:m	
ENSMUSG00000076760	ENSPANG00000023392	n:m	
ENSMUSG00000076760	ENSPANG00000009945	n:m	
ENSMUSG00000076761	ENSPANG00000020005	n:m	
ENSMUSG00000076761	ENSPANG00000023392	n:m	
ENSMUSG00000076761	ENSPANG00000009945	n:m	
ENSMUSG00000104620	ENSPANG00000020828	n:m	
ENSMUSG00000104620	ENSPANG00000022756	n:m	
ENSMUSG00000105533	ENSPANG00000020828	n:m	
ENSMUSG00000105533	ENSPANG00000022756	n:m	
ENSMUSG00000096746	ENSPANG00000020828	n:m	
ENSMUSG00000096746	ENSPANG00000022756	n:m	281177
ENSMUSG00000094023	ENSPANG00000020828	n:m	
ENSMUSG00000094023	ENSPANG00000022756	n:m	
ENSMUSG00000095426	ENSPANG00000020826	n:1	
ENSMUSG00000094792	ENSPANG00000020005	n:m	
ENSMUSG00000094792	ENSPANG00000023392	n:m	281133
ENSMUSG00000094792	ENSPANG00000009945	n:m	
ENSMUSG00000095088	ENSPANG00000020827	n:1	282372
ENSMUSG00000076778	ENSPANG00000022754	n:1	
ENSMUSG00000095854	ENSPANG00000020779	n:1	
ENSMUSG00000096653	ENSPANG00000002877	n:1	
ENSMUSG00000094914	ENSPANG00000023393	n:1	
ENSMUSG00000095495	ENSPANG00000023393	n:1	
ENSMUSG00000094758	ENSPANG00000022754	n:1	
ENSMUSG00000095560	ENSPANG00000020779	n:1	
ENSMUSG00000105953	ENSPANG00000002877	n:1	
ENSMUSG00000093953	ENSPANG00000020005	n:m	
ENSMUSG00000093953	ENSPANG00000023392	n:m	
ENSMUSG00000093953	ENSPANG00000009945	n:m	
ENSMUSG00000090868	ENSPANG00000023393	n:1	
ENSMUSG00000096106	ENSPANG00000020005	n:m	
ENSMUSG00000096106	ENSPANG00000023392	n:m	
ENSMUSG00000096106	ENSPANG00000009945	n:m	
ENSMUSG00000105721	ENSPANG00000020828	n:m	
ENSMUSG00000105721	ENSPANG00000022756	n:m	
ENSMUSG00000095643	ENSPANG00000022754	n:1	
ENSMUSG00000076796	ENSPANG00000000821	n:m	281910
ENSMUSG00000076796	ENSPANG00000005896	n:m	
ENSMUSG00000096329	ENSPANG00000022754	n:1	
ENSMUSG00000094619	ENSPANG00000020779	n:1	
ENSMUSG00000095736	ENSPANG00000020828	n:m	282178
ENSMUSG00000095736	ENSPANG00000022756	n:m	
ENSMUSG00000076800	ENSPANG00000020826	n:1	
ENSMUSG00000095646	ENSPANG00000020005	n:m	
ENSMUSG00000095646	ENSPANG00000023392	n:m	
ENSMUSG00000095646	ENSPANG00000009945	n:m	279120
ENSMUSG00000104629	ENSPANG00000022754	n:1	
ENSMUSG00000096827	ENSPANG00000020779	n:1	
ENSMUSG00000094413	ENSPANG00000002877	n:1	
ENSMUSG00000093813	ENSPANG00000023393	n:1	
ENSMUSG00000096541	ENSPANG00000023393	n:1	
ENSMUSG00000094779	ENSPANG00000022754	n:1	
ENSMUSG00000093801	ENSPANG00000020779	n:1	
ENSMUSG00000104915	ENSPANG00000002877	n:1	
ENSMUSG00000094877	ENSPANG00000020005	n:m	
ENSMUSG00000094877	ENSPANG00000023392	n:m	
ENSMUSG00000094877	ENSPANG00000009945	n:m	
ENSMUSG00000094231	ENSPANG00000023393	n:1	
ENSMUSG00000096168	ENSPANG00000020005	n:m	
ENSMUSG00000096168	ENSPANG00000023392	n:m	
ENSMUSG00000096168	ENSPANG00000009945	n:m	
ENSMUSG00000105080	ENSPANG00000020828	n:m	
ENSMUSG00000105080	ENSPANG00000022756	n:m	
ENSMUSG00000096038	ENSPANG00000022754	n:1	
ENSMUSG00000076822	ENSPANG00000000821	n:m	
ENSMUSG00000076822	ENSPANG00000005896	n:m	
ENSMUSG00000076823	ENSPANG00000022754	n:1	
ENSMUSG00000076824	ENSPANG00000020779	n:1	
ENSMUSG00000096417	ENSPANG00000020828	n:m	
ENSMUSG00000096417	ENSPANG00000022756	n:m	
ENSMUSG00000096908	ENSPANG00000020828	n:m	
ENSMUSG00000096908	ENSPANG00000022756	n:m	
ENSMUSG00000094766	ENSPANG00000020828	n:m	
ENSMUSG00000094766	ENSPANG00000022756	n:m	
ENSMUSG00000096900	ENSPANG00000020009	1:m	
ENSMUSG00000096900	ENSPANG00000005897	1:m	
ENSMUSG00000096149	ENSPANG00000020826	n:1	739968
ENSMUSG00000096551	ENSPANG00000020005	n:m	
ENSMUSG00000096551	ENSPANG00000023392	n:m	
ENSMUSG00000096551	ENSPANG00000009945	n:m	
ENSMUSG00000096615	ENSPANG00000020827	n:1	
ENSMUSG00000106620	ENSPANG00000020828	n:m	
ENSMUSG00000106620	ENSPANG00000022756	n:m	
ENSMUSG00000076839	ENSPANG00000022754	n:1	
ENSMUSG00000094016	ENSPANG00000002877	n:1	
ENSMUSG00000094966	ENSPANG00000023393	n:1	
ENSMUSG00000076846	ENSPANG00000022754	n:1	
ENSMUSG00000095711	ENSPANG00000020779	n:1	
ENSMUSG00000076848	ENSPANG00000002877	n:1	
ENSMUSG00000094828	ENSPANG00000020005	n:m	
ENSMUSG00000094828	ENSPANG00000023392	n:m	
ENSMUSG00000094828	ENSPANG00000009945	n:m	
ENSMUSG00000096678	ENSPANG00000023393	n:1	280279
ENSMUSG00000095607	ENSPANG00000020005	n:m	
ENSMUSG00000095607	ENSPANG00000023392	n:m	
ENSMUSG00000095607	ENSPANG00000009945	n:m	
ENSMUSG00000096138	ENSPANG00000020828	n:m	
ENSMUSG00000096138	ENSPANG00000022756	n:m	
ENSMUSG00000076855	ENSPANG00000000821	n:m	
ENSMUSG00000076855	ENSPANG00000005896	n:m	282330
ENSMUSG00000094562	ENSPANG00000022754	n:1	
ENSMUSG00000094212	ENSPANG00000020779	n:1	281040
ENSMUSG00000076858	ENSPANG00000020005	n:m	280660
ENSMUSG00000076858	ENSPANG00000023392	n:m	
ENSMUSG00000076858	ENSPANG00000009945	n:m	
ENSMUSG00000076861	ENSPANG00000007534	1:1	282223
ENSMUSG00000076862	ENSPANG00000020558	1:1	281098
ENSMUSG00000076863	ENSPANG00000026143	1:1	280858
ENSMUSG00000076864	ENSPANG00000026144	1:1	282972
ENSMUSG00000076865	ENSPANG00000026148	n:m	
ENSMUSG00000076865	ENSPANG00000020463	n:m	739969
ENSMUSG00000076866	ENSPANG00000026148	n:m	739971
ENSMUSG00000076866	ENSPANG00000020463	n:m	
ENSMUSG00000106289	ENSPANG00000025061	1:1	282748
ENSMUSG00000104876	ENSPANG00000003913	1:1	721149
ENSMUSG00000076873	ENSPANG00000020912	1:1	709707
ENSMUSG00000076928	ENSPANG00000022567	1:1	721150
ENSMUSG00000022174	ENSPANG00000022399	1:1	842813
ENSMUSG00000040997	ENSPANG00000003912	1:1	547493
ENSMUSG00000000959	ENSPANG00000011741	1:1	792592
ENSMUSG00000000958	ENSPANG00000020911	1:1	756823
ENSMUSG00000010406	ENSPANG00000021102	1:1	
ENSMUSG00000000957	ENSPANG00000023206	1:1	829934
ENSMUSG00000022175	ENSPANG00000003911	1:1	839167
ENSMUSG00000022176	ENSPANG00000026142	1:1	725338
ENSMUSG00000023110	ENSPANG00000017607	1:1	850473
ENSMUSG00000022177	ENSPANG00000008423	1:m	
ENSMUSG00000022177	ENSPANG00000015306	1:m	764817
ENSMUSG00000022178	ENSPANG00000011738	1:1	556304
ENSMUSG00000022179	ENSPANG00000011161	1:1	304964
ENSMUSG00000022193	ENSPANG00000015305	1:1	860128
ENSMUSG00000072423	ENSPANG00000017114	1:1	860136
ENSMUSG00000059674	ENSPANG00000019643	1:1	553269
ENSMUSG00000022185	ENSPANG00000019644	1:1	550667
ENSMUSG00000052435	ENSPANG00000019646	1:1	774898
ENSMUSG00000022180	ENSPANG00000024120	1:1	756801
ENSMUSG00000112858	ENSPANG00000026177	1:1	762119
ENSMUSG00000057156	ENSPANG00000004893	1:1	790166
ENSMUSG00000072494	ENSPANG00000026141	1:1	808475
ENSMUSG00000092232	ENSPANG00000021100	1:1	263358
ENSMUSG00000022199	ENSPANG00000004892	1:1	551945
ENSMUSG00000022203	ENSPANG00000019642	1:1	843242
ENSMUSG00000040770	ENSPANG00000026140	1:1	
ENSMUSG00000040759	ENSPANG00000022753	1:1	785658
ENSMUSG00000040752	ENSPANG00000019641	1:1	559350
ENSMUSG00000053093	ENSPANG00000023391	1:1	
ENSMUSG00000022204	ENSPANG00000026138	1:1	852335
ENSMUSG00000040721	ENSPANG00000020555	1:1	266003
ENSMUSG00000045691	ENSPANG00000020371	1:1	788571
ENSMUSG00000040701	ENSPANG00000020372	1:1	515695
ENSMUSG00000022208	ENSPANG00000020373	1:1	744891
ENSMUSG00000022209	ENSPANG00000015304	1:1	
ENSMUSG00000022210	ENSPANG00000011737	1:m	508556
ENSMUSG00000022210	ENSPANG00000020819	1:m	
ENSMUSG00000022211	ENSPANG00000015716	1:1	553398
ENSMUSG00000022212	ENSPANG00000015718	1:1	496868
ENSMUSG00000040632	ENSPANG00000015719	1:1	741277
ENSMUSG00000040618	ENSPANG00000021098	1:1	862559
ENSMUSG00000022214	ENSPANG00000015302	1:1	547631
ENSMUSG00000022215	ENSPANG00000000808	1:1	743593
ENSMUSG00000022216	ENSPANG00000011733	1:1	728570
ENSMUSG00000022217	ENSPANG00000000809	1:1	853725
ENSMUSG00000079197	ENSPANG00000009739	n:1	
ENSMUSG00000047098	ENSPANG00000000383	1:1	304962
ENSMUSG00000002324	ENSPANG00000020368	1:1	549831
ENSMUSG00000002319	ENSPANG00000026278	1:1	858802
ENSMUSG00000002320	ENSPANG00000020367	1:1	531081
ENSMUSG00000007591	ENSPANG00000022714	1:1	550935
ENSMUSG00000002329	ENSPANG00000022716	1:1	764182
ENSMUSG00000010376	ENSPANG00000010368	1:1	754151
ENSMUSG00000002326	ENSPANG00000018787	1:1	865149
ENSMUSG00000007589	ENSPANG00000021784	1:1	774567
ENSMUSG00000022218	ENSPANG00000021783	1:1	824227
ENSMUSG00000040472	ENSPANG00000023991	1:1	831368
ENSMUSG00000002332	ENSPANG00000005894	1:1	508613
ENSMUSG00000019297	ENSPANG00000022712	1:1	853994
ENSMUSG00000022219	ENSPANG00000020817	1:1	306179
ENSMUSG00000040432	ENSPANG00000010653	1:1	778007
ENSMUSG00000046908	ENSPANG00000004404	1:1	793721
ENSMUSG00000022220	ENSPANG00000021097	1:1	501074
ENSMUSG00000075592	ENSPANG00000018562	1:1	304961
ENSMUSG00000040380	ENSPANG00000000897	1:1	276540
ENSMUSG00000047153	ENSPANG00000025553	1:1	836265
ENSMUSG00000022223	ENSPANG00000025555	1:1	779421
ENSMUSG00000022225	ENSPANG00000020366	1:1	559133
ENSMUSG00000040314	ENSPANG00000020460	1:1	556010
ENSMUSG00000079186	ENSPANG00000015301	1:1	
ENSMUSG00000015437	ENSPANG00000023854	1:1	556229
ENSMUSG00000022229	ENSPANG00000025664	1:1	523675
ENSMUSG00000000365	ENSPANG00000007640	1:1	826190
ENSMUSG00000064128	ENSPANG00000011535	1:1	844897
ENSMUSG00000054509	ENSPANG00000006504	1:1	
ENSMUSG00000079184	ENSPANG00000018684	1:1	826047
ENSMUSG00000021938	ENSPANG00000001992	1:1	551332
ENSMUSG00000048582	ENSPANG00000018279	1:1	809211
ENSMUSG00000046352	ENSPANG00000003539	1:1	828856
ENSMUSG00000040055	ENSPANG00000019513	1:1	828857
ENSMUSG00000021947	ENSPANG00000012763	1:1	547411
ENSMUSG00000040040	ENSPANG00000009591	1:1	547457
ENSMUSG00000050222	ENSPANG00000006444	1:1	308366
ENSMUSG00000021951	ENSPANG00000001274	1:1	823080
ENSMUSG00000021952	ENSPANG00000001765	1:1	843437
ENSMUSG00000114942	ENSPANG00000005798	n:1	
ENSMUSG00000021959	ENSPANG00000005798	n:1	553711
ENSMUSG00000021963	ENSPANG00000022551	n:1	
ENSMUSG00000021965	ENSPANG00000005799	1:1	815455
ENSMUSG00000021967	ENSPANG00000011852	1:1	264001
ENSMUSG00000021969	ENSPANG00000012548	1:1	514622
ENSMUSG00000021973	ENSPANG00000012762	1:1	755429
ENSMUSG00000021974	ENSPANG00000017719	1:1	787958
ENSMUSG00000035469	ENSPANG00000013866	1:1	550248
ENSMUSG00000044703	ENSPANG00000009973	n:1	
ENSMUSG00000091649	ENSPANG00000009973	n:1	302653
ENSMUSG00000071350	ENSPANG00000017051	1:1	832449
ENSMUSG00000021981	ENSPANG00000022217	1:1	
ENSMUSG00000021982	ENSPANG00000017052	1:1	815617
ENSMUSG00000044461	ENSPANG00000002307	1:1	839082
ENSMUSG00000021983	ENSPANG00000000263	1:1	523665
ENSMUSG00000063895	ENSPANG00000015485	n:1	
ENSMUSG00000114797	ENSPANG00000015485	n:1	548144
ENSMUSG00000021987	ENSPANG00000024014	1:1	496533
ENSMUSG00000021986	ENSPANG00000008318	1:1	807638
ENSMUSG00000071347	ENSPANG00000008184	1:1	550670
ENSMUSG00000021993	ENSPANG00000007641	1:1	708022
ENSMUSG00000060548	ENSPANG00000002309	1:1	810034
ENSMUSG00000048279	ENSPANG00000018632	1:1	815607
ENSMUSG00000035296	ENSPANG00000008185	1:1	769009
ENSMUSG00000043157	ENSPANG00000006280	1:1	775048
ENSMUSG00000021928	ENSPANG00000016575	1:1	516546
ENSMUSG00000021929	ENSPANG00000012863	1:1	515828
ENSMUSG00000021930	ENSPANG00000010055	1:1	842748
ENSMUSG00000035235	ENSPANG00000021160	1:1	515018
ENSMUSG00000048281	ENSPANG00000006004	1:1	721168
ENSMUSG00000021932	ENSPANG00000022424	1:1	761019
ENSMUSG00000021933	ENSPANG00000017675	1:1	553267
ENSMUSG00000035184	ENSPANG00000022783	1:1	802807
ENSMUSG00000091155	ENSPANG00000009663	1:1	847851
ENSMUSG00000035161	ENSPANG00000007049	1:1	785957
ENSMUSG00000014547	ENSPANG00000015000	1:1	835316
ENSMUSG00000075573	ENSPANG00000011031	1:1	303873
ENSMUSG00000075571	ENSPANG00000005416	1:1	303224
ENSMUSG00000054763	ENSPANG00000006558	1:1	782726
ENSMUSG00000021939	ENSPANG00000022330	1:1	767901
ENSMUSG00000021273	ENSPANG00000008516	1:1	797671
ENSMUSG00000035121	ENSPANG00000011568	1:1	843959
ENSMUSG00000021944	ENSPANG00000017468	1:1	822282
ENSMUSG00000014453	ENSPANG00000023416	1:1	551892
ENSMUSG00000035095	ENSPANG00000008480	1:1	749827
ENSMUSG00000021953	ENSPANG00000009086	1:1	547107
ENSMUSG00000035078	ENSPANG00000004962	1:1	496540
ENSMUSG00000035067	ENSPANG00000008515	1:1	795303
ENSMUSG00000021958	ENSPANG00000011251	1:1	548163
ENSMUSG00000063060	ENSPANG00000002883	1:1	785230
ENSMUSG00000021961	ENSPANG00000005669	1:1	830488
ENSMUSG00000046049	ENSPANG00000008117	1:1	553205
ENSMUSG00000034623	ENSPANG00000000691	1:1	553771
ENSMUSG00000052099	ENSPANG00000024538	1:1	275409
ENSMUSG00000054733	ENSPANG00000016252	1:1	717327
ENSMUSG00000060012	ENSPANG00000020594	1:1	550700
ENSMUSG00000021972	ENSPANG00000014537	1:1	794699
ENSMUSG00000021975	ENSPANG00000016305	1:1	851214
ENSMUSG00000021978	ENSPANG00000016340	1:1	844120
ENSMUSG00000007989	ENSPANG00000010199	1:1	641173
ENSMUSG00000034532	ENSPANG00000019570	1:1	844812
ENSMUSG00000034522	ENSPANG00000017244	1:1	703924
ENSMUSG00000045731	ENSPANG00000022004	1:1	792994
ENSMUSG00000022031	ENSPANG00000019350	1:1	822311
ENSMUSG00000061356	ENSPANG00000010200	1:1	709360
ENSMUSG00000022032	ENSPANG00000021266	1:1	824086
ENSMUSG00000022033	ENSPANG00000024523	1:1	818093
ENSMUSG00000022034	ENSPANG00000008112	1:1	267904
ENSMUSG00000022035	ENSPANG00000012552	1:1	817009
ENSMUSG00000034463	ENSPANG00000016907	1:1	774534
ENSMUSG00000022037	ENSPANG00000024524	1:1	265321
ENSMUSG00000022039	ENSPANG00000009843	1:1	555265
ENSMUSG00000022040	ENSPANG00000001096	1:1	552563
ENSMUSG00000022041	ENSPANG00000015733	1:1	637248
ENSMUSG00000059456	ENSPANG00000019189	1:1	842740
ENSMUSG00000022043	ENSPANG00000017759	1:1	515005
ENSMUSG00000022044	ENSPANG00000007322	1:1	805610
ENSMUSG00000045875	ENSPANG00000024527	1:1	657312
ENSMUSG00000022048	ENSPANG00000024528	1:1	817090
ENSMUSG00000046204	ENSPANG00000007854	1:1	706270
ENSMUSG00000022051	ENSPANG00000000724	1:1	838432
ENSMUSG00000022052	ENSPANG00000024529	1:1	813726
ENSMUSG00000022053	ENSPANG00000020231	1:1	848469
ENSMUSG00000048922	ENSPANG00000008115	1:1	755617
ENSMUSG00000034327	ENSPANG00000019100	1:1	547408
ENSMUSG00000015812	ENSPANG00000018166	1:1	795939
ENSMUSG00000044447	ENSPANG00000005750	1:1	685645
ENSMUSG00000022054	ENSPANG00000018460	1:1	551426
ENSMUSG00000022055	ENSPANG00000011988	1:1	551833
ENSMUSG00000022056	ENSPANG00000017131	1:1	552917
ENSMUSG00000022057	ENSPANG00000022045	1:1	555180
ENSMUSG00000014725	ENSPANG00000005176	1:1	793418
ENSMUSG00000014813	ENSPANG00000012404	1:1	834188
ENSMUSG00000044186	ENSPANG00000019014	1:1	755658
ENSMUSG00000022061	ENSPANG00000004934	1:1	795930
ENSMUSG00000034248	ENSPANG00000000653	1:1	498023
ENSMUSG00000047977	ENSPANG00000016809	n:1	
ENSMUSG00000095463	ENSPANG00000000652	n:1	742255
ENSMUSG00000098773	ENSPANG00000016809	n:1	
ENSMUSG00000022066	ENSPANG00000000652	n:1	
ENSMUSG00000034205	ENSPANG00000011564	1:1	
ENSMUSG00000034194	ENSPANG00000000453	1:1	
ENSMUSG00000034190	ENSPANG00000024531	1:1	516196
ENSMUSG00000022074	ENSPANG00000009912	1:m	
ENSMUSG00000022074	ENSPANG00000005889	1:m	810546
ENSMUSG00000022075	ENSPANG00000020434	1:1	842477
ENSMUSG00000022085	ENSPANG00000022788	1:1	797463
ENSMUSG00000033730	ENSPANG00000019015	1:1	769867
ENSMUSG00000022089	ENSPANG00000020851	1:1	547229
ENSMUSG00000033712	ENSPANG00000018828	1:1	785214
ENSMUSG00000044551	ENSPANG00000026225	1:1	728844
ENSMUSG00000022090	ENSPANG00000022732	1:1	772996
ENSMUSG00000022091	ENSPANG00000018889	1:1	834184
ENSMUSG00000022092	ENSPANG00000015060	1:1	549216
ENSMUSG00000022094	ENSPANG00000014294	1:1	789343
ENSMUSG00000033644	ENSPANG00000018061	1:1	542659
ENSMUSG00000000776	ENSPANG00000009440	1:1	755576
ENSMUSG00000003469	ENSPANG00000025358	1:1	841872
ENSMUSG00000022098	ENSPANG00000018462	1:1	549922
ENSMUSG00000022097	ENSPANG00000020597	1:1	769889
ENSMUSG00000033595	ENSPANG00000026028	1:1	268142
ENSMUSG00000033589	ENSPANG00000020181	1:1	775455
ENSMUSG00000022096	ENSPANG00000022909	1:1	266366
ENSMUSG00000045211	ENSPANG00000016695	1:1	853446
ENSMUSG00000022095	ENSPANG00000009530	1:1	802302
ENSMUSG00000022099	ENSPANG00000020182	1:1	817669
ENSMUSG00000022100	ENSPANG00000008979	1:1	843436
ENSMUSG00000022102	ENSPANG00000008980	1:1	774874
ENSMUSG00000022103	ENSPANG00000008821	1:1	835154
ENSMUSG00000033487	ENSPANG00000006006	1:1	548610
ENSMUSG00000033470	ENSPANG00000010610	1:1	270756
ENSMUSG00000022106	ENSPANG00000017177	1:1	549143
ENSMUSG00000022105	ENSPANG00000007572	1:1	750666
ENSMUSG00000033446	ENSPANG00000010821	1:1	270660
ENSMUSG00000022108	ENSPANG00000010611	1:1	709729
ENSMUSG00000022109	ENSPANG00000017223	1:1	789906
ENSMUSG00000033405	ENSPANG00000018183	n:1	746348
ENSMUSG00000022110	ENSPANG00000002938	1:1	766905
ENSMUSG00000034997	ENSPANG00000022427	1:1	544186
ENSMUSG00000021996	ENSPANG00000010192	1:1	711102
ENSMUSG00000068015	ENSPANG00000006286	1:1	843390
ENSMUSG00000034959	ENSPANG00000012223	1:1	769121
ENSMUSG00000021997	ENSPANG00000012865	1:1	790409
ENSMUSG00000021998	ENSPANG00000008557	1:1	865015
ENSMUSG00000021999	ENSPANG00000009473	1:1	539176
ENSMUSG00000022000	ENSPANG00000014127	1:1	550895
ENSMUSG00000091722	ENSPANG00000012225	1:1	650689
ENSMUSG00000034913	ENSPANG00000017956	1:1	828569
ENSMUSG00000034893	ENSPANG00000012226	1:1	813007
ENSMUSG00000022003	ENSPANG00000018184	1:1	498024
ENSMUSG00000060126	ENSPANG00000005716	1:1	829788
ENSMUSG00000067995	ENSPANG00000023048	1:1	857037
ENSMUSG00000046523	ENSPANG00000004546	1:1	754800
ENSMUSG00000022008	ENSPANG00000001285	1:1	832802
ENSMUSG00000022009	ENSPANG00000014890	1:1	
ENSMUSG00000022010	ENSPANG00000017753	1:1	848091
ENSMUSG00000044350	ENSPANG00000009474	1:1	836371
ENSMUSG00000034795	ENSPANG00000021626	1:1	848045
ENSMUSG00000022012	ENSPANG00000017128	1:1	
ENSMUSG00000022013	ENSPANG00000016508	1:1	680785
ENSMUSG00000022014	ENSPANG00000012981	1:1	749843
ENSMUSG00000045655	ENSPANG00000016866	1:1	779632
ENSMUSG00000022015	ENSPANG00000021433	1:1	762828
ENSMUSG00000022016	ENSPANG00000012071	1:1	307465
ENSMUSG00000034731	ENSPANG00000002940	1:1	846204
ENSMUSG00000058997	ENSPANG00000024519	1:1	859755
ENSMUSG00000022018	ENSPANG00000007573	1:1	805314
ENSMUSG00000022020	ENSPANG00000012072	1:1	675303
ENSMUSG00000022022	ENSPANG00000010809	1:1	847662
ENSMUSG00000043881	ENSPANG00000023472	1:1	267366
ENSMUSG00000022023	ENSPANG00000016720	1:1	742344
ENSMUSG00000036461	ENSPANG00000005718	1:1	743474
ENSMUSG00000022024	ENSPANG00000025937	1:1	829859
ENSMUSG00000022025	ENSPANG00000012752	1:1	817038
ENSMUSG00000036422	ENSPANG00000007570	1:1	551596
ENSMUSG00000022026	ENSPANG00000024154	1:1	796781
ENSMUSG00000035566	ENSPANG00000004614	1:1	553535
